Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,11,3
7,11,3
8,11,3
9,10,2
10,10,2
11,11,3
12,10,2
13,15,4
14,15,4
15,15,4
16,15,4
17,15,4
18,24,5
19,24,5
20,24,5
21,24,5
22,24,5
23,37,8
24,24,5
25,28,6
26,28,6
27,28,6
28,28,6
29,29,7
30,28,6
31,28,6
32,28,6
33,28,6
34,28,6
35,28,6
36,28,6
37,37,8
38,24,5
39,24,5
40,37,8
41,24,5
42,37,8
43,37,8
44,37,8
45,24,5
46,46,9
47,46,9
48,48,10
49,11,3
50,11,3
51,51,11
52,10,2
