Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,216,8037.32
,,,,,,,217,7535.49
,,,,,,,218,7280.89
,,,,,,,219,7146.22
,,,,,,,220,7150.24
,,,,,,,221,7350.57
,,,,,,,222,8068.14
,,,,,,,223,9146.84
,,,,,,,224,9684.85
,,,,,,,225,9702.94
,,,,,,,226,9637.95
,,,,,,,227,9581.0
,,,,,,,228,9467.77
,,,,,,,229,9327.74
,,,,,,,230,9247.34
,,,,,,,231,9079.17
,,,,,,,232,8996.76
,,,,,,,233,9120.71
,,,,,,,234,9630.58
,,,,,,,235,10293.21
,,,,,,,236,10137.77
,,,,,,,237,9745.15
,,,,,,,238,9067.11
,,,,,,,239,8183.38
,,,,,,,240,7374.02
,,,,,,,241,6884.92
,,,,,,,242,6618.26
,,,,,,,243,6482.25
,,,,,,,244,6452.1
,,,,,,,245,6647.74
,,,,,,,246,7330.47
,,,,,,,247,8357.58
,,,,,,,248,8995.42
,,,,,,,249,9136.79
,,,,,,,250,9185.03
,,,,,,,251,9218.53
,,,,,,,252,9209.15
,,,,,,,253,9122.05
,,,,,,,254,9080.51
,,,,,,,255,8978.0
,,,,,,,256,8915.69
,,,,,,,257,9025.57
,,,,,,,258,9503.28
,,,,,,,259,10020.52
,,,,,,,260,9836.27
,,,,,,,261,9422.21
,,,,,,,262,8754.22
,,,,,,,263,7867.81
,,,,,,,264,7094.63
,,,,,,,265,6592.13
,,,,,,,266,6331.5
,,,,,,,267,6198.84
,,,,,,,268,6172.71
,,,,,,,269,6372.37
,,,,,,,270,7053.09
,,,,,,,271,8218.22
,,,,,,,272,8996.76
,,,,,,,273,9243.99
,,,,,,,274,9333.77
,,,,,,,275,9375.98
,,,,,,,276,9325.06
,,,,,,,277,9192.4
,,,,,,,278,9107.98
,,,,,,,279,8979.34
,,,,,,,280,8932.44
,,,,,,,281,9041.65
,,,,,,,282,9423.55
,,,,,,,283,9987.02
,,,,,,,284,9817.51
,,,,,,,285,9492.56
,,,,,,,286,9006.81
,,,,,,,287,8324.08
,,,,,,,288,7627.28
,,,,,,,289,7142.87
,,,,,,,290,6896.98
,,,,,,,291,6774.37
,,,,,,,292,6747.57
,,,,,,,293,6844.72
,,,,,,,294,7130.81
,,,,,,,295,7532.14
,,,,,,,296,8126.43
,,,,,,,297,8689.9
,,,,,,,298,9040.98
,,,,,,,299,9116.02
,,,,,,,300,9047.68
,,,,,,,301,8886.88
,,,,,,,302,8688.56
,,,,,,,303,8517.04
,,,,,,,304,8452.05
,,,,,,,305,8583.37
,,,,,,,306,9004.13
,,,,,,,307,9666.76
,,,,,,,308,9539.46
,,,,,,,309,9276.15
,,,,,,,310,8847.35
,,,,,,,311,8256.41
,,,,,,,312,7675.52
,,,,,,,313,7231.98
,,,,,,,314,7098.65
,,,,,,,315,6966.66
,,,,,,,316,6829.98
,,,,,,,317,6799.83
,,,,,,,318,6905.69
,,,,,,,319,7156.27
,,,,,,,320,7439.68
,,,,,,,321,7866.47
,,,,,,,322,8253.73
,,,,,,,323,8455.4
,,,,,,,324,8506.32
,,,,,,,325,8447.36
,,,,,,,326,8277.85
,,,,,,,327,8071.49
,,,,,,,328,7942.85
,,,,,,,329,7978.36
,,,,,,,330,8210.85
,,,,,,,331,8612.85
,,,,,,,332,9329.08
,,,,,,,333,9185.03
,,,,,,,334,8626.92
,,,,,,,335,7908.01
,,,,,,,336,7156.94
,,,,,,,337,6685.93
,,,,,,,338,6411.9
,,,,,,,339,6308.72
,,,,,,,340,6322.79
,,,,,,,341,6511.06
,,,,,,,342,7187.76
,,,,,,,343,8464.11
,,,,,,,344,9203.12
,,,,,,,345,9302.95
,,,,,,,346,9266.77
,,,,,,,347,9298.26
,,,,,,,348,9277.49
,,,,,,,349,9181.68
,,,,,,,350,9122.05
,,,,,,,351,8982.02
,,,,,,,352,8852.71
,,,,,,,353,8817.87
,,,,,,,354,8933.11
,,,,,,,355,9232.6
,,,,,,,356,9717.68
,,,,,,,357,9426.9
,,,,,,,358,8744.84
,,,,,,,359,7866.47
,,,,,,,360,7053.76
,,,,,,,361,6500.34
,,,,,,,362,6183.43
,,,,,,,363,6032.68
,,,,,,,364,5997.17
,,,,,,,365,6155.96
,,,,,,,366,6758.29
,,,,,,,367,7992.43
,,,,,,,368,8821.22
,,,,,,,369,9047.68
,,,,,,,370,9133.44
,,,,,,,371,9195.08
,,,,,,,372,9207.14
,,,,,,,373,9155.55
,,,,,,,374,9139.47
,,,,,,,375,9045.67
,,,,,,,376,8955.22
,,,,,,,377,8961.92
,,,,,,,378,9061.08
,,,,,,,379,9203.12
,,,,,,,380,9648.67
,,,,,,,381,9384.02
,,,,,,,382,8714.02
,,,,,,,383,7810.86
,,,,,,,384,6978.72
,,,,,,,385,6421.28
,,,,,,,386,6120.45
,,,,,,,387,5967.02
,,,,,,,388,5960.99
,,,,,,,389,6101.69
,,,,,,,390,6718.76
,,,,,,,391,7964.96
,,,,,,,392,8732.78
,,,,,,,393,8911.0
,,,,,,,394,9015.52
,,,,,,,395,9097.93
,,,,,,,396,9113.34
,,,,,,,397,9030.93
,,,,,,,398,9012.17
,,,,,,,399,8915.69
,,,,,,,400,8846.68
