Time_Index,natural_gas_combined_cycle,solar_pv_scen_1,onshore_wind_scen_1,solar_pv_scen_2,onshore_wind_scen_2,solar_pv_scen_3,onshore_wind_scen_3,solar_pv_scen_4,onshore_wind_scen_4,solar_pv_scen_5,onshore_wind_scen_5,battery
60,1,0.632,0.976346016,0.6636,1.025163317,0.6952,1.073980618,0.6004,0.927528715,0.5688,0.878711414,1
61,1,0.6451,0.998005092,0.677355,1.047905347,0.70961,1.097805601,0.612845,0.948104837,0.58059,0.898204583,1
62,1,0.6207,0.978558242,0.651735,1.027486154,0.68277,1.076414066,0.589665,0.92963033,0.55863,0.880702418,1
63,1,0.5504,0.992356002,0.57792,1.041973802,0.60544,1.091591602,0.52288,0.942738202,0.49536,0.893120402,1
64,1,0.3781,0.986144602,0.397005,1.035451832,0.41591,1.084759062,0.359195,0.936837372,0.34029,0.887530142,1
65,1,0.1371,0.851535916,0.143955,0.894112712,0.15081,0.936689508,0.130245,0.80895912,0.12339,0.766382324,1
66,1,0,0.903066397,0,0.948219717,0,0.993373037,0,0.857913077,0,0.812759757,1
67,1,0,0.994233489,0,1.043945163,0,1.093656838,0,0.944521815,0,0.89481014,1
68,1,0,0.827461898,0,0.868834993,0,0.910208088,0,0.786088803,0,0.744715708,1
69,1,0,0.965808392,0,1.014098812,0,1.062389231,0,0.917517972,0,0.869227553,1
70,1,0,0.960160732,0,1.008168769,0,1.056176805,0,0.912152695,0,0.864144659,1
71,1,0,0.987732053,0,1.037118656,0,1.086505258,0,0.93834545,0,0.888958848,1
72,1,0,0.979912996,0,1.028908646,0,1.077904296,0,0.930917346,0,0.881921696,1
73,1,0,0.999813199,0,1.049803859,0,1.099794519,0,0.949822539,0,0.899831879,1
74,1,0,0.992998838,0,1.04264878,0,1.092298722,0,0.943348896,0,0.893698954,1
75,1,0,0.91274631,0,0.958383626,0,1.004020941,0,0.867108995,0,0.821471679,1
76,1,0,0.900314331,0,0.945330048,0,0.990345764,0,0.855298614,0,0.810282898,1
77,1,0,0.900902867,0,0.94594801,0,0.990993154,0,0.855857724,0,0.81081258,1
78,1,0,0.78619957,0,0.825509549,0,0.864819527,0,0.746889592,0,0.707579613,1
79,1,0,0.749704719,0,0.787189955,0,0.824675191,0,0.712219483,0,0.674734247,1
80,1,0,0.687368631,0,0.721737063,0,0.756105494,0,0.653000199,0,0.618631768,1
81,1,0.2277,0.604354978,0.239085,0.634572727,0.25047,0.664790476,0.216315,0.574137229,0.20493,0.54391948,1
82,1,0.4502,0.599827349,0.47271,0.629818716,0.49522,0.659810084,0.42769,0.569835982,0.40518,0.539844614,1
83,1,0.6046,0.577508748,0.63483,0.606384185,0.66506,0.635259623,0.57437,0.548633311,0.54414,0.519757873,1
84,1,0.6791,0.086388931,0.713055,0.090708378,0.74701,0.095027824,0.645145,0.082069484,0.61119,0.077750038,1
85,1,0.6728,0.040881492,0.70644,0.042925567,0.74008,0.044969641,0.63916,0.038837417,0.60552,0.036793343,1
86,1,0.6482,0.022434272,0.68061,0.023555986,0.71302,0.024677699,0.61579,0.021312558,0.58338,0.020190845,1
87,1,0.528,0.009461308,0.5544,0.009934373,0.5808,0.010407439,0.5016,0.008988243,0.4752,0.008515177,1
88,1,0.3343,0.013535732,0.351015,0.014212519,0.36773,0.014889305,0.317585,0.012858945,0.30087,0.012182159,1
89,1,0.028,0.00627484,0.0294,0.006588582,0.0308,0.006902324,0.0266,0.005961098,0.0252,0.005647356,1
90,1,0,0.05808929,0,0.060993755,0,0.063898219,0,0.055184826,0,0.052280361,1
91,1,0,0.22415413,0,0.235361837,0,0.246569543,0,0.212946424,0,0.201738717,1
92,1,0,0.275481582,0,0.289255661,0,0.30302974,0,0.261707503,0,0.247933424,1
93,1,0,0.416952342,0,0.437799959,0,0.458647576,0,0.396104725,0,0.375257108,1
94,1,0,0.390747398,0,0.410284768,0,0.429822138,0,0.371210028,0,0.351672658,1
95,1,0,0.463861436,0,0.487054508,0,0.51024758,0,0.440668364,0,0.417475292,1
96,1,0,0.419889808,0,0.440884298,0,0.461878789,0,0.398895318,0,0.377900827,1
97,1,0,0.325898945,0,0.342193892,0,0.35848884,0,0.309603998,0,0.293309051,1
98,1,0,0.522758365,0,0.548896283,0,0.575034202,0,0.496620447,0,0.470482529,1
99,1,0,0.365987569,0,0.384286947,0,0.402586326,0,0.347688191,0,0.329388812,1
100,1,0,0.424390733,0,0.44561027,0,0.466829806,0,0.403171196,0,0.38195166,1
101,1,0,0.433115661,0,0.454771444,0,0.476427227,0,0.411459878,0,0.389804095,1
102,1,0,0.362870246,0,0.381013758,0,0.399157271,0,0.344726734,0,0.326583221,1
103,1,0,0.228127867,0,0.23953426,0,0.250940654,0,0.216721474,0,0.20531508,1
104,1,0,0.254994243,0,0.267743955,0,0.280493667,0,0.242244531,0,0.229494819,1
105,1,0.1033,0.297353089,0.108465,0.312220743,0.11363,0.327088398,0.098135,0.282485435,0.09297,0.26761778,1
