Network_zones,Network_Lines,z1,z2,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,CapRes_Excl_1
z1,1.0,1.0,-1.0,16529.0,16529.0,TRE_to_TRE_WEST,38718.131797786315,799316.906529539,0.0566,8264.0,0.95,1.0
z2,,,,,,,,,,,,
