Time_Index,NG_scenario_4,None
0,0.071631,0
1,7.128,0
2,7.128,0
3,7.128,0
4,7.128,0
5,7.128,0
6,7.128,0
7,7.128,0
8,7.128,0
9,7.128,0
10,7.128,0
11,7.128,0
12,7.128,0
13,7.128,0
14,7.128,0
15,7.128,0
16,7.128,0
17,7.128,0
18,7.128,0
19,7.128,0
20,7.128,0
21,7.128,0
22,7.128,0
23,7.128,0
24,7.128,0
25,7.128,0
26,7.128,0
27,7.128,0
28,7.128,0
29,7.128,0
30,7.128,0
31,7.128,0
32,7.128,0
33,7.128,0
34,7.128,0
35,7.128,0
36,7.128,0
37,7.128,0
38,7.128,0
39,7.128,0
40,7.128,0
41,7.128,0
42,7.128,0
43,7.128,0
44,7.128,0
45,7.128,0
46,7.128,0
47,7.128,0
48,7.128,0
49,7.128,0
50,7.128,0
51,7.128,0
52,7.128,0
53,7.128,0
54,7.128,0
55,7.128,0
56,7.128,0
57,7.128,0
58,7.128,0
59,7.128,0
60,7.128,0
61,7.128,0
62,7.128,0
63,7.128,0
64,7.128,0
65,7.128,0
66,7.128,0
67,7.128,0
68,7.128,0
69,7.128,0
70,7.128,0
71,7.128,0
72,7.128,0
73,7.128,0
74,7.128,0
75,7.128,0
76,7.128,0
77,7.128,0
78,7.128,0
79,7.128,0
80,7.128,0
81,7.128,0
82,7.128,0
83,7.128,0
84,7.128,0
85,7.128,0
86,7.128,0
87,7.128,0
88,7.128,0
89,7.128,0
90,7.128,0
91,7.128,0
92,7.128,0
93,7.128,0
94,7.128,0
95,7.128,0
96,7.128,0
97,7.128,0
98,7.128,0
99,7.128,0
100,7.128,0
101,7.128,0
102,7.128,0
103,7.128,0
104,7.128,0
105,7.128,0
106,7.128,0
107,7.128,0
108,7.128,0
109,7.128,0
110,7.128,0
111,7.128,0
112,7.128,0
113,7.128,0
114,7.128,0
115,7.128,0
116,7.128,0
117,7.128,0
118,7.128,0
119,7.128,0
120,7.128,0
121,7.128,0
122,7.128,0
123,7.128,0
124,7.128,0
125,7.128,0
126,7.128,0
127,7.128,0
128,7.128,0
129,7.128,0
130,7.128,0
131,7.128,0
132,7.128,0
133,7.128,0
134,7.128,0
135,7.128,0
136,7.128,0
137,7.128,0
138,7.128,0
139,7.128,0
140,7.128,0
141,7.128,0
142,7.128,0
143,7.128,0
144,7.128,0
145,7.128,0
146,7.128,0
147,7.128,0
148,7.128,0
149,7.128,0
150,7.128,0
151,7.128,0
152,7.128,0
153,7.128,0
154,7.128,0
155,7.128,0
156,7.128,0
157,7.128,0
158,7.128,0
159,7.128,0
160,7.128,0
161,7.128,0
162,7.128,0
163,7.128,0
164,7.128,0
165,7.128,0
166,7.128,0
167,7.128,0
168,7.128,0
169,7.128,0
170,7.128,0
171,7.128,0
172,7.128,0
173,7.128,0
174,7.128,0
175,7.128,0
176,7.128,0
177,7.128,0
178,7.128,0
179,7.128,0
180,7.128,0
181,7.128,0
182,7.128,0
183,7.128,0
184,7.128,0
185,7.128,0
186,7.128,0
187,7.128,0
188,7.128,0
189,7.128,0
190,7.128,0
191,7.128,0
192,7.128,0
193,7.128,0
194,7.128,0
195,7.128,0
196,7.128,0
197,7.128,0
198,7.128,0
199,7.128,0
200,7.128,0
201,7.128,0
202,7.128,0
203,7.128,0
204,7.128,0
205,7.128,0
206,7.128,0
207,7.128,0
208,7.128,0
209,7.128,0
210,7.128,0
211,7.128,0
212,7.128,0
213,7.128,0
214,7.128,0
215,7.128,0
216,7.128,0
217,7.128,0
218,7.128,0
219,7.128,0
220,7.128,0
221,7.128,0
222,7.128,0
223,7.128,0
224,7.128,0
225,7.128,0
226,7.128,0
227,7.128,0
228,7.128,0
229,7.128,0
230,7.128,0
231,7.128,0
232,7.128,0
233,7.128,0
234,7.128,0
235,7.128,0
236,7.128,0
237,7.128,0
238,7.128,0
239,7.128,0
240,7.128,0
241,7.128,0
242,7.128,0
243,7.128,0
244,7.128,0
245,7.128,0
246,7.128,0
247,7.128,0
248,7.128,0
249,7.128,0
250,7.128,0
251,7.128,0
252,7.128,0
253,7.128,0
254,7.128,0
255,7.128,0
256,7.128,0
257,7.128,0
258,7.128,0
259,7.128,0
260,7.128,0
261,7.128,0
262,7.128,0
263,7.128,0
264,7.128,0
265,7.128,0
266,7.128,0
267,7.128,0
268,7.128,0
269,7.128,0
270,7.128,0
271,7.128,0
272,7.128,0
273,7.128,0
274,7.128,0
275,7.128,0
276,7.128,0
277,7.128,0
