"time","outputV1","outputV2","outputV3","outputV4","outputV5","outputV6"
2007-01-01 00:00:00,0.597,0.633,0.724,0.701,0.537,0.278
2007-01-01 01:00:00,0.638,0.665,0.724,0.752,0.508,0.29
2007-01-01 02:00:00,0.688,0.696,0.735,0.784,0.501,0.284
2007-01-01 03:00:00,0.712,0.707,0.738,0.805,0.584,0.322
2007-01-01 04:00:00,0.722,0.692,0.725,0.814,0.722,0.424
2007-01-01 05:00:00,0.727,0.656,0.704,0.81,0.801,0.562
2007-01-01 06:00:00,0.735,0.616,0.672,0.805,0.829,0.674
2007-01-01 07:00:00,0.732,0.587,0.635,0.801,0.813,0.72
2007-01-01 08:00:00,0.715,0.576,0.614,0.796,0.766,0.715
2007-01-01 09:00:00,0.695,0.588,0.625,0.784,0.729,0.688
2007-01-01 10:00:00,0.663,0.581,0.64,0.761,0.699,0.669
2007-01-01 11:00:00,0.614,0.536,0.635,0.731,0.678,0.681
2007-01-01 12:00:00,0.551,0.459,0.594,0.71,0.664,0.704
2007-01-01 13:00:00,0.474,0.369,0.508,0.692,0.643,0.698
2007-01-01 14:00:00,0.258,0.179,0.239,0.549,0.406,0.516
2007-01-01 15:00:00,0.203,0.119,0.17,0.6,0.428,0.442
2007-01-01 16:00:00,0.185,0.094,0.103,0.488,0.374,0.354
2007-01-01 17:00:00,0.109,0.051,0.052,0.301,0.232,0.257
2007-01-01 18:00:00,0.067,0.038,0.03,0.179,0.157,0.214
2007-01-01 19:00:00,0.063,0.049,0.029,0.13,0.117,0.198
2007-01-01 20:00:00,0.087,0.085,0.045,0.124,0.102,0.209
2007-01-01 21:00:00,0.133,0.15,0.079,0.15,0.114,0.244
2007-01-01 22:00:00,0.206,0.262,0.152,0.214,0.158,0.284
2007-01-01 23:00:00,0.405,0.52,0.39,0.367,0.272,0.373
2007-01-02 00:00:00,0.624,0.768,0.666,0.551,0.385,0.462
2007-01-02 01:00:00,0.702,0.836,0.772,0.661,0.471,0.457
2007-01-02 02:00:00,0.692,0.826,0.777,0.693,0.471,0.399
2007-01-02 03:00:00,0.598,0.759,0.71,0.647,0.449,0.354
2007-01-02 04:00:00,0.435,0.651,0.585,0.555,0.492,0.336
2007-01-02 05:00:00,0.257,0.534,0.445,0.497,0.556,0.302
2007-01-02 06:00:00,0.124,0.431,0.327,0.5,0.598,0.298
2007-01-02 07:00:00,0.058,0.364,0.255,0.516,0.625,0.255
2007-01-02 08:00:00,0.03,0.287,0.216,0.498,0.573,0.169
2007-01-02 09:00:00,0.015,0.224,0.182,0.438,0.516,0.16
2007-01-02 10:00:00,0.009,0.205,0.131,0.375,0.527,0.184
2007-01-02 11:00:00,0.014,0.213,0.089,0.341,0.558,0.217
2007-01-02 12:00:00,0.029,0.242,0.07,0.316,0.578,0.235
2007-01-02 13:00:00,0.053,0.269,0.074,0.32,0.577,0.252
2007-01-02 14:00:00,0.052,0.189,0.054,0.326,0.474,0.184
2007-01-02 15:00:00,0.012,0.081,0.026,0.293,0.373,0.124
2007-01-02 16:00:00,0.021,0.13,0.058,0.202,0.244,0.112
2007-01-02 17:00:00,0.011,0.081,0.046,0.126,0.167,0.118
2007-01-02 18:00:00,0.005,0.052,0.036,0.088,0.136,0.138
2007-01-02 19:00:00,0.005,0.064,0.039,0.072,0.116,0.196
2007-01-02 20:00:00,0.014,0.095,0.071,0.063,0.135,0.296
2007-01-02 21:00:00,0.022,0.108,0.095,0.083,0.205,0.415
2007-01-02 22:00:00,0.021,0.107,0.089,0.137,0.303,0.538
2007-01-02 23:00:00,0.026,0.162,0.118,0.254,0.479,0.628
2007-01-03 00:00:00,0.039,0.246,0.177,0.415,0.641,0.704
2007-01-03 01:00:00,0.042,0.259,0.213,0.536,0.695,0.715
2007-01-03 02:00:00,0.029,0.235,0.206,0.562,0.706,0.706
2007-01-03 03:00:00,0.025,0.222,0.201,0.545,0.713,0.688
2007-01-03 04:00:00,0.032,0.233,0.206,0.543,0.756,0.683
2007-01-03 05:00:00,0.044,0.218,0.21,0.562,0.768,0.667
2007-01-03 06:00:00,0.056,0.198,0.223,0.576,0.758,0.642
2007-01-03 07:00:00,0.079,0.194,0.233,0.556,0.748,0.611
2007-01-03 08:00:00,0.139,0.187,0.24,0.525,0.745,0.57
2007-01-03 09:00:00,0.476,0.192,0.217,0.52,0.756,0.531
2007-01-03 10:00:00,0.562,0.193,0.182,0.524,0.775,0.498
2007-01-03 11:00:00,0.64,0.112,0.118,0.539,0.788,0.527
2007-01-03 12:00:00,0.534,0.097,0.034,0.559,0.809,0.578
2007-01-03 13:00:00,0.401,0.177,0.016,0.614,0.814,0.559
2007-01-03 14:00:00,0.308,0.205,0.035,0.555,0.753,0.497
2007-01-03 15:00:00,0.326,0.165,0.065,0.479,0.781,0.508
2007-01-03 16:00:00,0.354,0.198,0.089,0.559,0.841,0.595
2007-01-03 17:00:00,0.51,0.474,0.196,0.616,0.864,0.718
2007-01-03 18:00:00,0.71,0.431,0.223,0.676,0.855,0.732
2007-01-03 19:00:00,0.67,0.461,0.225,0.71,0.848,0.71
2007-01-03 20:00:00,0.686,0.291,0.216,0.753,0.857,0.674
2007-01-03 21:00:00,0.598,0.137,0.121,0.801,0.867,0.701
2007-01-03 22:00:00,0.366,0.079,0.038,0.846,0.85,0.709
2007-01-03 23:00:00,0.304,0.11,0.074,0.863,0.811,0.799
2007-01-04 00:00:00,0.5,0.211,0.16,0.906,0.877,0.917
2007-01-04 01:00:00,0.663,0.468,0.294,0.961,0.97,0.939
2007-01-04 02:00:00,0.775,0.464,0.387,0.969,0.969,0.947
2007-01-04 03:00:00,0.667,0.256,0.237,0.972,0.969,0.917
2007-01-04 04:00:00,0.479,0.306,0.268,0.964,0.973,0.801
2007-01-04 05:00:00,0.411,0.373,0.259,0.952,0.921,0.787
2007-01-04 06:00:00,0.339,0.338,0.308,0.971,0.735,0.726
2007-01-04 07:00:00,0.256,0.327,0.295,0.942,0.901,0.87
2007-01-04 08:00:00,0.239,0.311,0.218,0.867,0.911,0.937
2007-01-04 09:00:00,0.228,0.345,0.229,0.799,0.832,0.911
2007-01-04 10:00:00,0.338,0.448,0.313,0.791,0.611,0.799
2007-01-04 11:00:00,0.428,0.508,0.321,0.715,0.401,0.502
2007-01-04 12:00:00,0.465,0.573,0.36,0.641,0.267,0.301
2007-01-04 13:00:00,0.445,0.664,0.415,0.471,0.188,0.237
2007-01-04 14:00:00,0.475,0.695,0.446,0.27,0.092,0.154
2007-01-04 15:00:00,0.51,0.704,0.449,0.103,0.044,0.098
2007-01-04 16:00:00,0.46,0.647,0.439,0.056,0.036,0.069
2007-01-04 17:00:00,0.466,0.683,0.539,0.091,0.07,0.048
2007-01-04 18:00:00,0.546,0.735,0.654,0.164,0.203,0.096
2007-01-04 19:00:00,0.569,0.758,0.695,0.298,0.383,0.266
2007-01-04 20:00:00,0.552,0.76,0.737,0.375,0.399,0.312
2007-01-04 21:00:00,0.463,0.742,0.766,0.348,0.345,0.196
2007-01-04 22:00:00,0.312,0.688,0.692,0.302,0.293,0.096
2007-01-04 23:00:00,0.226,0.814,0.739,0.376,0.254,0.038
2007-01-05 00:00:00,0.139,0.911,0.791,0.491,0.286,0.126
2007-01-05 01:00:00,0.074,0.947,0.783,0.465,0.404,0.38
2007-01-05 02:00:00,0.069,0.956,0.748,0.407,0.556,0.6
2007-01-05 03:00:00,0.184,0.955,0.747,0.384,0.667,0.708
2007-01-05 04:00:00,0.465,0.95,0.799,0.413,0.745,0.757
2007-01-05 05:00:00,0.732,0.942,0.866,0.509,0.803,0.771
2007-01-05 06:00:00,0.834,0.935,0.896,0.629,0.839,0.773
2007-01-05 07:00:00,0.845,0.925,0.897,0.756,0.859,0.792
2007-01-05 08:00:00,0.829,0.916,0.887,0.85,0.869,0.795
2007-01-05 09:00:00,0.816,0.911,0.882,0.897,0.864,0.778
2007-01-05 10:00:00,0.816,0.912,0.886,0.914,0.828,0.748
2007-01-05 11:00:00,0.822,0.915,0.891,0.908,0.778,0.701
2007-01-05 12:00:00,0.827,0.918,0.892,0.886,0.71,0.628
2007-01-05 13:00:00,0.834,0.917,0.889,0.848,0.598,0.508
2007-01-05 14:00:00,0.718,0.855,0.781,0.727,0.273,0.227
2007-01-05 15:00:00,0.383,0.617,0.476,0.574,0.056,0.063
2007-01-05 16:00:00,0.26,0.516,0.404,0.394,0.029,0.103
2007-01-05 17:00:00,0.42,0.715,0.662,0.227,0.032,0.181
2007-01-05 18:00:00,0.412,0.732,0.683,0.161,0.057,0.243
2007-01-05 19:00:00,0.316,0.668,0.628,0.137,0.11,0.278
2007-01-05 20:00:00,0.182,0.56,0.516,0.126,0.173,0.292
2007-01-05 21:00:00,0.112,0.431,0.368,0.152,0.272,0.331
2007-01-05 22:00:00,0.135,0.201,0.194,0.239,0.375,0.414
