Index,Lat,Lon,Wind,Solar
1,32.7479,-100.6653,1,0
2,31.8937,-101.3904,1,0
3,31.7163,-100.3247,1,0
4,28.4372,-96.6003,1,0
5,27.6128,-97.5891,1,0
6,26.4876,-97.655,1,0
7,31.1445,-103.269,0,1
8,32.294,-101.9287,0,1
9,31.707,-100.3027,0,1
