Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1,0,0.409269839,1
2,1,0,0.403749115,1
3,1,0,0.415575133,1
4,1,0,0.411770456,1
5,1,0,0.348338734,1
6,1,0,0.2902272,1
7,1,0,0.25630178,1
8,1,0,0.279334632,1
9,1,0.081834,0.194772218,1
10,1,0.19734,0.003436557,1
11,1,0.264408,0.001166533,1
12,1,0.298264,0.000990706,1
13,1,0.285568,0.002047607,1
14,1,0.27416,0.00354733,1
15,1,0.230598,0.046390178,1
16,1,0.152306,0.092828989,1
17,1,0.029532,0.065289205,1
18,1,0,0.260830379,1
19,1,0,0.435171452,1
20,1,0,0.424761333,1
21,1,0,0.438557674,1
22,1,0,0.427434492,1
23,1,0,0.390783298,1
24,1,0,0.306162648,1
25,1,0,0.242627313,1
26,1,0,0.29817303,1
27,1,0,0.292698479,1
28,1,0,0.420827215,1
29,1,0,0.394531577,1
30,1,0,0.37939353,1
31,1,0,0.269848341,1
32,1,0,0.223545195,1
33,1,0.0736,0.26030894,1
34,1,0.157228,0.3412889,1
35,1,0.227792,0.42749026,1
36,1,0.260084,0.453765116,1
37,1,0.262798,0.456157622,1
38,1,0.249044,0.45338754,1
39,1,0.215142,0.455902442,1
40,1,0.146878,0.437697046,1
41,1,0.046138,0.442313191,1
42,1,0,0.366759253,1
43,1,0,0.333563484,1
44,1,0,0.249986286,1
45,1,0,0.379640951,1
46,1,0,0.423695865,1
47,1,0,0.379682846,1
48,1,0,0.368499235,1
49,1,0,0.385789551,1
50,1,0,0.302957249,1
51,1,0,0.223246611,1
52,1,0,0.274153865,1
53,1,0,0.286047222,1
54,1,0,0.321216823,1
55,1,0,0.260069608,1
56,1,0,0.166971969,1
57,1,0.098762,0.196547063,1
58,1,0.20056,0.40843312,1
59,1,0.266202,0.438225777,1
60,1,0.29072,0.449119167,1
61,1,0.296746,0.459082342,1
62,1,0.285522,0.450136791,1
63,1,0.253184,0.456483761,1
64,1,0.173926,0.453626517,1
65,1,0.063066,0.391706521,1
66,1,0,0.415410543,1
67,1,0,0.457347405,1
68,1,0,0.380632473,1
69,1,0,0.44427186,1
70,1,0,0.441673937,1
71,1,0,0.454356744,1
72,1,0,0.450759978,1
73,1,0,0.459914072,1
74,1,0,0.456779465,1
75,1,0,0.419863303,1
76,1,0,0.414144592,1
77,1,0,0.414415319,1
78,1,0,0.361651802,1
79,1,0,0.344864171,1
80,1,0,0.31618957,1
81,1,0.104742,0.27800329,1
82,1,0.207092,0.275920581,1
83,1,0.278116,0.265654024,1
84,1,0.312386,0.039738908,1
85,1,0.309488,0.018805486,1
86,1,0.298172,0.010319765,1
87,1,0.24288,0.004352202,1
88,1,0.153778,0.006226437,1
89,1,0.01288,0.002886426,1
90,1,0,0.026721073,1
91,1,0,0.1031109,1
92,1,0,0.126721528,1
93,1,0,0.191798077,1
94,1,0,0.179743803,1
95,1,0,0.213376261,1
96,1,0,0.193149312,1
97,1,0,0.149913515,1
98,1,0,0.240468848,1
99,1,0,0.168354282,1
100,1,0,0.195219737,1
101,1,0,0.199233204,1
102,1,0,0.166920313,1
103,1,0,0.104938819,1
104,1,0,0.117297352,1
105,1,0.047518,0.136782421,1
106,1,0.128984,0.121910769,1
107,1,0.201112,0.113466421,1
108,1,0.271998,0.096390954,1
109,1,0.246054,0.098105054,1
110,1,0.223284,0.162570645,1
111,1,0.182758,0.188821578,1
112,1,0.135608,0.372093012,1
113,1,0.041262,0.35575619,1
114,1,0,0.372571925,1
115,1,0,0.315262947,1
116,1,0,0.211027774,1
117,1,0,0.22066577,1
118,1,0,0.044729064,1
119,1,0,0.171644582,1
120,1,0,0.077272061,1
121,1,0,0.15349649,1
122,1,0,0.137443472,1
123,1,0,0.069984026,1
124,1,0,0.032109904,1
125,1,0,0.068376679,1
126,1,0,0.096204737,1
127,1,0,0.111275623,1
128,1,0,0.107068906,1
129,1,0.047058,0.199386321,1
130,1,0.135194,0.243781671,1
131,1,0.231656,0.115731557,1
132,1,0.2852,0.116838359,1
133,1,0.273562,0.099689671,1
134,1,0.196006,0.138085331,1
135,1,0.167854,0.08148468,1
136,1,0.091632,0.061301305,1
137,1,0.006946,0.129583679,1
138,1,0,0.188718829,1
139,1,0,0.160365391,1
140,1,0,0.080264559,1
141,1,0,0.137694567,1
142,1,0,0.1451805,1
143,1,0,0.18043729,1
144,1,0,0.185465667,1
145,1,0,0.165043035,1
146,1,0,0.204428269,1
147,1,0,0.236581121,1
148,1,0,0.22148379,1
149,1,0,0.154625486,1
150,1,0,0.046245681,1
151,1,0,0.031473176,1
152,1,0,0.033547047,1
153,1,0.086618,0.07342614,1
154,1,0.187082,0.119554811,1
155,1,0.251988,0.152625511,1
156,1,0.293756,0.099440139,1
157,1,0.299184,0.101090012,1
158,1,0.290306,0.126403203,1
159,1,0.234278,0.164216117,1
160,1,0.13754,0.186578377,1
161,1,0.025438,0.16191017,1
162,1,0,0.315569646,1
163,1,0,0.424262378,1
164,1,0,0.409285989,1
165,1,0,0.435075077,1
166,1,0,0.404579611,1
167,1,0,0.419584844,1
168,1,0,0.448623063,1
169,1,0,0.451927799,1
170,1,0,0.434292426,1
171,1,0,0.433337617,1
172,1,0,0.456844063,1
173,1,0,0.456704614,1
174,1,0,0.45746862,1
175,1,0,0.440227301,1
176,1,0,0.244849635,1
177,1,0.094576,0.276197476,1
178,1,0.188462,0.240696363,1
179,1,0.256864,0.268392712,1
180,1,0.214176,0.328863166,1
181,1,0.266892,0.330344046,1
182,1,0.274344,0.204874732,1
183,1,0.235106,0.230348841,1
184,1,0.16583,0.146201675,1
185,1,0.055292,0.337026559,1
186,1,0,0.344115738,1
187,1,0,0.29694585,1
188,1,0,0.25560662,1
189,1,0,0.330668239,1
190,1,0,0.283502052,1
191,1,0,0.305958081,1
192,1,0,0.150193783,1
193,1,0,0.221707247,1
194,1,0,0.126090321,1
195,1,0,0.106397943,1
196,1,0,0.105451531,1
197,1,0,0.096705872,1
198,1,0,0.101961902,1
199,1,0,0.08221357,1
200,1,0,0.091613468,1
201,1,0.072864,0.097840003,1
202,1,0.165738,0.057886486,1
203,1,0.210956,0.041786165,1
204,1,0.222962,0.013492497,1
205,1,0.271722,0.005464651,1
206,1,0.352084,0.028646257,1
207,1,0.264822,0.09860684,1
208,1,0.184874,0.18551953,1
209,1,0.070886,0.28837653,1
210,1,0,0.418791829,1
211,1,0,0.443284067,1
212,1,0,0.386977798,1
213,1,0,0.36585333,1
214,1,0,0.364369323,1
215,1,0,0.354011327,1
216,1,0,0.367115771,1
217,1,0,0.344241861,1
218,1,0,0.324345095,1
219,1,0,0.360454589,1
220,1,0,0.3681944,1
221,1,0,0.253292804,1
222,1,0,0.257527809,1
223,1,0,0.213690555,1
224,1,0,0.267356361,1
225,1,0.078614,0.291712139,1
226,1,0.157688,0.216612067,1
227,1,0.20907,0.270207463,1
228,1,0.240258,0.210638052,1
229,1,0.274666,0.252978866,1
230,1,0.280508,0.284014771,1
231,1,0.238096,0.265293256,1
232,1,0.161138,0.367738683,1
233,1,0.05083,0.363002036,1
234,1,0,0.319496965,1
235,1,0,0.398992562,1
236,1,0,0.267860937,1
237,1,0,0.261792755,1
238,1,0,0.271985256,1
239,1,0,0.278744073,1
240,1,0,0.315298152,1
241,1,0,0.172559333,1
242,1,0,0.119525308,1
243,1,0,0.053207115,1
244,1,0,0.054729781,1
245,1,0,0.068395453,1
246,1,0,0.084868208,1
247,1,0,0.106984157,1
248,1,0,0.055582619,1
249,1,0.087584,0.021001261,1
250,1,0.183908,0.004124834,1
251,1,0.230598,0.004486325,1
252,1,0.252172,0.002353607,1
253,1,0.251666,2.15E-05,1
254,1,0.259348,0.000842293,1
255,1,0.227332,0.011199491,1
256,1,0.16468,0.066738411,1
257,1,0.056902,0.110785681,1
258,1,0,0.270938787,1
259,1,0,0.303802824,1
260,1,0,0.217581298,1
261,1,0,0.241959051,1
262,1,0,0.167022638,1
263,1,0,0.154545603,1
264,1,0,0.208776525,1
265,1,0,0.262740737,1
266,1,0,0.304849539,1
267,1,0,0.374402223,1
268,1,0,0.450108469,1
269,1,0,0.402092128,1
270,1,0,0.419079034,1
271,1,0,0.459954431,1
272,1,0,0.453227336,1
273,1,0,0.45860162,1
274,1,0.001196,0.457786589,1
275,1,0.027508,0.454375224,1
276,1,0.04807,0.459977736,1
277,1,0.02369,0.46,1
278,1,0.030866,0.459924216,1
279,1,0.089976,0.445918923,1
280,1,0.071438,0.409433608,1
281,1,0.016422,0.315574691,1
282,1,0,0.315181789,1
283,1,0,0.212158059,1
284,1,0,0.197379519,1
285,1,0,0.134633237,1
286,1,0,0.064336802,1
287,1,0,0.011528797,1
288,1,0,0.002431665,1
289,1,0,0.00265703,1
290,1,0,0.003410677,1
291,1,0,0.014752411,1
292,1,0,0.057271987,1
293,1,0,0.056535972,1
294,1,0,0.070131796,1
295,1,0,0.280533353,1
296,1,0,0.208384514,1
297,1,0.001886,0.257216339,1
298,1,0.03703,0.24462881,1
299,1,0.131974,0.271034312,1
300,1,0.189842,0.235480611,1
301,1,0.241086,0.211196011,1
302,1,0.263672,0.389621811,1
303,1,0.218178,0.46,1
304,1,0.1403,0.46,1
305,1,0.044988,0.46,1
306,1,0,0.46,1
307,1,0,0.46,1
308,1,0,0.459882541,1
309,1,0,0.46,1
310,1,0,0.46,1
311,1,0,0.46,1
312,1,0,0.458270135,1
313,1,0,0.458876789,1
314,1,0,0.459715345,1
315,1,0,0.458595972,1
316,1,0,0.459536579,1
317,1,0,0.459547656,1
318,1,0,0.458520627,1
319,1,0,0.447738335,1
320,1,0,0.30801913,1
321,1,0.087032,0.275631484,1
322,1,0.175168,0.410994248,1
323,1,0.23253,0.447540952,1
324,1,0.278668,0.450793785,1
325,1,0.304566,0.436993387,1
326,1,0.301898,0.456472602,1
327,1,0.262384,0.454296589,1
328,1,0.184414,0.457421023,1
329,1,0.080822,0.451194172,1
330,1,0,0.418871205,1
331,1,0,0.426953084,1
332,1,0,0.387149682,1
333,1,0,0.411883556,1
334,1,0,0.444677045,1
335,1,0,0.415777726,1
336,1,0,0.404124113,1
337,1,0,0.446736613,1
338,1,0,0.440690613,1
339,1,0,0.423993132,1
340,1,0,0.39670419,1
341,1,0,0.408505559,1
342,1,0,0.438898892,1
343,1,0,0.423838439,1
344,1,0,0.382635834,1
345,1,0.110676,0.410566224,1
346,1,0.215786,0.392200514,1
347,1,0.290352,0.332330326,1
348,1,0.325818,0.277666924,1
349,1,0.330878,0.42868199,1
350,1,0.324852,0.397683346,1
351,1,0.281842,0.454048016,1
352,1,0.202722,0.458310988,1
353,1,0.091218,0.458176255,1
354,1,0,0.447792623,1
355,1,0,0.432822841,1
356,1,0,0.4131089,1
357,1,0,0.417148935,1
358,1,0,0.374120556,1
359,1,0,0.428578267,1
360,1,0,0.38498184,1
361,1,0,0.425883887,1
362,1,0,0.41247905,1
363,1,0,0.396991312,1
364,1,0,0.399637766,1
365,1,0,0.390418034,1
366,1,0,0.398743551,1
367,1,0,0.375028508,1
368,1,0,0.308897964,1
369,1,0.109986,0.212924588,1
370,1,0.210956,0.086201189,1
371,1,0.284234,0.019589227,1
372,1,0.320804,1.02E-05,1
373,1,0.306912,0.005422762,1
374,1,0.282256,0.055257799,1
375,1,0.227378,0.280263559,1
376,1,0.126086,0.359427095,1
377,1,0.030636,0.419524552,1
378,1,0,0.442587344,1
379,1,0,0.452600147,1
380,1,0,0.455498326,1
381,1,0,0.142528262,1
382,1,0,0.446531279,1
383,1,0,0.439198189,1
384,1,0,0.449797931,1
385,1,0,0.41553598,1
386,1,0,0.433181882,1
387,1,0,0.418164694,1
388,1,0,0.411033347,1
389,1,0,0.291771472,1
390,1,0,0.297606325,1
391,1,0,0.257432805,1
392,1,0,0.118944181,1
393,1,0.02898,0.082105529,1
394,1,0.105708,0.102082096,1
395,1,0.18193,0.088504319,1
396,1,0.210496,0.09562263,1
397,1,0.195546,0.076202555,1
398,1,0.18262,0.101961237,1
399,1,0.125396,0.191598871,1
400,1,0.06808,0.333939441,1
401,1,0.006118,0.330030931,1
402,1,0,0.324393598,1
403,1,0,0.362893076,1
404,1,0,0.329325545,1
405,1,0,0.341107584,1
406,1,0,0.304536753,1
407,1,0,0.443587174,1
408,1,0,0.447153781,1
409,1,0,0.453059263,1
410,1,0,0.447059462,1
411,1,0,0.446794768,1
412,1,0,0.459600902,1
413,1,0,0.46,1
414,1,0,0.46,1
415,1,0,0.46,1
416,1,0,0.46,1
417,1,0.100924,0.46,1
418,1,0.195822,0.457618845,1
419,1,0.270112,0.46,1
420,1,0.298126,0.46,1
421,1,0.303232,0.46,1
422,1,0.301162,0.46,1
423,1,0.267858,0.46,1
424,1,0.201756,0.46,1
425,1,0.096094,0.46,1
426,1,0,0.46,1
427,1,0,0.46,1
428,1,0,0.459767549,1
429,1,0,0.453652427,1
430,1,0,0.442830708,1
431,1,0,0.405048708,1
432,1,0,0.369858352,1
433,1,0,0.328769313,1
434,1,0,0.269372417,1
435,1,0,0.166626322,1
436,1,0,0.114725983,1
