Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1,0,1.192220836,1
2,1,0,1.176138727,1
3,1,0,1.210588432,1
4,1,0,1.199505241,1
5,1,0,1.014725877,1
6,1,0,0.845444451,1
7,1,0,0.746618228,1
8,1,0,0.813713928,1
9,1,0.238386,0.56737994,1
10,1,0.57486,0.010010839,1
11,1,0.770232,0.003398162,1
12,1,0.868856,0.00288597,1
13,1,0.831872,0.005964769,1
14,1,0.79864,0.010333527,1
15,1,0.671742,0.135136605,1
16,1,0.443674,0.27041488,1
17,1,0.086028,0.190190292,1
18,1,0,0.759810233,1
19,1,0,1.267673359,1
20,1,0,1.237348232,1
21,1,0,1.277537571,1
22,1,0,1.24513526,1
23,1,0,1.138368738,1
24,1,0,0.891865105,1
25,1,0,0.706783913,1
26,1,0,0.868591002,1
27,1,0,0.852643395,1
28,1,0,1.225887973,1
29,1,0,1.149287637,1
30,1,0,1.105189848,1
31,1,0,0.78607995,1
32,1,0,0.651196872,1
33,1,0.2144,0.758291261,1
34,1,0.458012,0.994189405,1
35,1,0.663568,1.245297715,1
36,1,0.757636,1.321837511,1
37,1,0.765542,1.328806987,1
38,1,0.725476,1.320737618,1
39,1,0.626718,1.328063635,1
40,1,0.427862,1.275030525,1
41,1,0.134402,1.288477556,1
42,1,0,1.068385649,1
43,1,0,0.971684932,1
44,1,0,0.72822092,1
45,1,0,1.105910597,1
46,1,0,1.234244476,1
47,1,0,1.106032638,1
48,1,0,1.073454293,1
49,1,0,1.123821734,1
50,1,0,0.882527638,1
51,1,0,0.650327085,1
52,1,0,0.79862213,1
53,1,0,0.833267996,1
54,1,0,0.935718571,1
55,1,0,0.757594074,1
56,1,0,0.486396605,1
57,1,0.287698,0.57255014,1
58,1,0.58424,1.189783438,1
59,1,0.775458,1.276570742,1
60,1,0.84688,1.308303661,1
61,1,0.864434,1.337326823,1
62,1,0.831738,1.311268044,1
63,1,0.737536,1.329757043,1
64,1,0.506654,1.321433767,1
65,1,0.183714,1.141058127,1
66,1,0,1.210108972,1
67,1,0,1.332272875,1
68,1,0,1.108798943,1
69,1,0,1.294183245,1
70,1,0,1.286615381,1
71,1,0,1.323560951,1
72,1,0,1.313083415,1
73,1,0,1.339749687,1
74,1,0,1.330618443,1
75,1,0,1.223080055,1
76,1,0,1.206421204,1
77,1,0,1.207209842,1
78,1,0,1.053507424,1
79,1,0,1.004604323,1
80,1,0,0.921073966,1
81,1,0.305118,0.809835671,1
82,1,0.603268,0.803768648,1
83,1,0.810164,0.773861722,1
84,1,0.909994,0.115761168,1
85,1,0.901552,0.054781199,1
86,1,0.868588,0.030061924,1
87,1,0.70752,0.012678153,1
88,1,0.447962,0.018137881,1
89,1,0.03752,0.008408286,1
90,1,0,0.077839649,1
91,1,0,0.300366534,1
92,1,0,0.36914532,1
