Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
,,,,,,,,62,10890,11434.5,10345.5,3111,3266.55,2955.45,1484,1558.2,1409.8
,,,,,,,,63,10849,11391.45,10306.55,3098,3252.9,2943.1,1479,1552.95,1405.05
,,,,,,,,64,10999,11548.95,10449.05,3141,3298.05,2983.95,1499,1573.95,1424.05
,,,,,,,,65,11858,12450.9,11265.1,3386,3555.3,3216.7,1616,1696.8,1535.2
,,,,,,,,66,12796,13435.8,12156.2,3654,3836.7,3471.3,1745,1832.25,1657.75
,,,,,,,,67,12821,13462.05,12179.95,3661,3844.05,3477.95,1748,1835.4,1660.6
,,,,,,,,68,12605,13235.25,11974.75,3600,3780,3420,1719,1804.95,1633.05
,,,,,,,,69,12195,12804.75,11585.25,3483,3657.15,3308.85,1663,1746.15,1579.85
,,,,,,,,70,11476,12049.8,10902.2,3277,3440.85,3113.15,1565,1643.25,1486.75
,,,,,,,,71,10515,11040.75,9989.25,3003,3153.15,2852.85,1434,1505.7,1362.3
,,,,,,,,72,9674,10157.7,9190.3,2763,2901.15,2624.85,1319,1384.95,1253.05
,,,,,,,,73,9151,9608.55,8693.45,2614,2744.7,2483.3,1247,1309.35,1184.65
,,,,,,,,74,8876,9319.8,8432.2,2535,2661.75,2408.25,1210,1270.5,1149.5
,,,,,,,,75,8736,9172.8,8299.2,2495,2619.75,2370.25,1191,1250.55,1131.45
,,,,,,,,76,8752,9189.6,8314.4,2499,2623.95,2374.05,1193,1252.65,1133.35
,,,,,,,,77,8990,9439.5,8540.5,2568,2696.4,2439.6,1226,1287.3,1164.7
,,,,,,,,78,9733,10219.65,9246.35,2780,2919,2641,1327,1393.35,1260.65
,,,,,,,,79,11084,11638.2,10529.8,3166,3324.3,3007.7,1511,1586.55,1435.45
,,,,,,,,80,11820,12411,11229,3376,3544.8,3207.2,1611,1691.55,1530.45
,,,,,,,,81,11834,12425.7,11242.3,3380,3549,3211,1614,1694.7,1533.3
,,,,,,,,82,11803,12393.15,11212.85,3371,3539.55,3202.45,1609,1689.45,1528.55
,,,,,,,,83,11777,12365.85,11188.15,3363,3531.15,3194.85,1605,1685.25,1524.75
,,,,,,,,84,11661,12244.05,11077.95,3330,3496.5,3163.5,1590,1669.5,1510.5
,,,,,,,,85,11494,12068.7,10919.3,3283,3447.15,3118.85,1567,1645.35,1488.65
,,,,,,,,86,11395,11964.75,10825.25,3255,3417.75,3092.25,1554,1631.7,1476.3
,,,,,,,,87,11306,11871.3,10740.7,3229,3390.45,3067.55,1541,1618.05,1463.95
,,,,,,,,88,11423,11994.15,10851.85,3262,3425.1,3098.9,1557,1634.85,1479.15
,,,,,,,,89,12221,12832.05,11609.95,3491,3665.55,3316.45,1666,1749.3,1582.7
,,,,,,,,90,12871,13514.55,12227.45,3676,3859.8,3492.2,1755,1842.75,1667.25
,,,,,,,,91,12772,13410.6,12133.4,3647,3829.35,3464.65,1741,1828.05,1653.95
,,,,,,,,92,12474,13097.7,11850.3,3562,3740.1,3383.9,1701,1786.05,1615.95
,,,,,,,,93,11997,12596.85,11397.15,3426,3597.3,3254.7,1635,1716.75,1553.25
,,,,,,,,94,11207,11767.35,10646.65,3201,3361.05,3040.95,1528,1604.4,1451.6
,,,,,,,,95,10201,10711.05,9690.95,2914,3059.7,2768.3,1391,1460.55,1321.45
,,,,,,,,96,9270,9733.5,8806.5,2648,2780.4,2515.6,1264,1327.2,1200.8
,,,,,,,,97,8676,9109.8,8242.2,2478,2601.9,2354.1,1182,1241.1,1122.9
,,,,,,,,98,8358,8775.9,7940.1,2387,2506.35,2267.65,1140,1197,1083
,,,,,,,,99,8198,8607.9,7788.1,2341,2458.05,2223.95,1117,1172.85,1061.15
,,,,,,,,100,8168,8576.4,7759.6,2333,2449.65,2216.35,1114,1169.7,1058.3
,,,,,,,,101,8378,8796.9,7959.1,2393,2512.65,2273.35,1142,1199.1,1084.9
,,,,,,,,102,9065,9518.25,8611.75,2589,2718.45,2459.55,1236,1297.8,1174.2
,,,,,,,,103,10371,10889.55,9852.45,2962,3110.1,2813.9,1414,1484.7,1343.3
,,,,,,,,104,11136,11692.8,10579.2,3181,3340.05,3021.95,1518,1593.9,1442.1
,,,,,,,,105,11217,11777.85,10656.15,3204,3364.2,3043.8,1530,1606.5,1453.5
,,,,,,,,106,11267,11830.35,10703.65,3218,3378.9,3057.1,1536,1612.8,1459.2
,,,,,,,,107,11216,11776.8,10655.2,3203,3363.15,3042.85,1530,1606.5,1453.5
,,,,,,,,108,11059,11611.95,10506.05,3159,3316.95,3001.05,1508,1583.4,1432.6
,,,,,,,,109,10923,11469.15,10376.85,3119,3274.95,2963.05,1489,1563.45,1414.55
,,,,,,,,110,10869,11412.45,10325.55,3104,3259.2,2948.8,1482,1556.1,1407.9
,,,,,,,,111,10783,11322.15,10243.85,3080,3234,2926,1470,1543.5,1396.5
,,,,,,,,112,10853,11395.65,10310.35,3100,3255,2945,1479,1552.95,1405.05
,,,,,,,,113,11542,12119.1,10964.9,3296,3460.8,3131.2,1574,1652.7,1495.3
,,,,,,,,114,12297,12911.85,11682.15,3512,3687.6,3336.4,1676,1759.8,1592.2
,,,,,,,,115,12252,12864.6,11639.4,3499,3673.95,3324.05,1671,1754.55,1587.45
,,,,,,,,116,11974,12572.7,11375.3,3420,3591,3249,1632,1713.6,1550.4
,,,,,,,,117,11527,12103.35,10950.65,3292,3456.6,3127.4,1571,1649.55,1492.45
,,,,,,,,118,10788,11327.4,10248.6,3081,3235.05,2926.95,1471,1544.55,1397.45
,,,,,,,,119,9795,10284.75,9305.25,2797,2936.85,2657.15,1335,1401.75,1268.25
,,,,,,,,120,8937,9383.85,8490.15,2553,2680.65,2425.35,1218,1278.9,1157.1
,,,,,,,,121,8376,8794.8,7957.2,2392,2511.6,2272.4,1141,1198.05,1083.95
,,,,,,,,122,8071,8474.55,7667.45,2305,2420.25,2189.75,1100,1155,1045
,,,,,,,,123,7915,8310.75,7519.25,2260,2373,2147,1079,1132.95,1025.05
,,,,,,,,124,7876,8269.8,7482.2,2249,2361.45,2136.55,1074,1127.7,1020.3
,,,,,,,,125,8068,8471.4,7664.6,2304,2419.2,2188.8,1100,1155,1045
,,,,,,,,126,8750,9187.5,8312.5,2499,2623.95,2374.05,1193,1252.65,1133.35
,,,,,,,,127,10032,10533.6,9530.4,2865,3008.25,2721.75,1368,1436.4,1299.6
,,,,,,,,128,10800,11340,10260,3085,3239.25,2930.75,1473,1546.65,1399.35
,,,,,,,,129,10890,11434.5,10345.5,3110,3265.5,2954.5,1484,1558.2,1409.8
