Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,124,8269.8,2361.45,1127.7
,,,,,,,,125,8471.4,2419.2,1155
,,,,,,,,126,9187.5,2623.95,1252.65
,,,,,,,,127,10533.6,3008.25,1436.4
,,,,,,,,128,11340,3239.25,1546.65
,,,,,,,,129,11434.5,3265.5,1558.2
,,,,,,,,130,11446.05,3268.65,1560.3
,,,,,,,,131,11395.65,3255,1552.95
,,,,,,,,132,11226.6,3205.65,1530.9
,,,,,,,,133,11040.75,3153.15,1505.7
,,,,,,,,134,10944.15,3124.8,1492.05
,,,,,,,,135,10791.9,3081.75,1471.05
,,,,,,,,136,10843.35,3097.5,1478.4
,,,,,,,,137,11476.5,3277.05,1564.5
,,,,,,,,138,12082.35,3450.3,1647.45
,,,,,,,,139,11888.1,3395.7,1621.2
,,,,,,,,140,11545.8,3297,1573.95
,,,,,,,,141,11089.05,3166.8,1512
,,,,,,,,142,10493.7,2997.75,1431.15
,,,,,,,,143,9685.2,2766.75,1319.85
,,,,,,,,144,8853.6,2528.4,1207.5
,,,,,,,,145,8209.95,2345.7,1119.3
,,,,,,,,146,7854,2242.8,1071
,,,,,,,,147,7660.8,2187.15,1043.7
,,,,,,,,148,7582.05,2166.15,1033.2
,,,,,,,,149,7657.65,2187.15,1043.7
,,,,,,,,150,7949.55,2270.1,1083.6
,,,,,,,,151,8476.65,2420.25,1155
,,,,,,,,152,9032.1,2578.8,1230.6
,,,,,,,,153,9600.15,2741.55,1309.35
,,,,,,,,154,9944.55,2839.2,1355.55
,,,,,,,,155,10041.15,2867.55,1368.15
,,,,,,,,156,9960.3,2844.45,1357.65
,,,,,,,,157,9777.6,2791.95,1332.45
,,,,,,,,158,9570.75,2733.15,1304.1
,,,,,,,,159,9424.8,2692.2,1285.2
,,,,,,,,160,9525.6,2720.55,1297.8
,,,,,,,,161,10222.8,2919,1394.4
,,,,,,,,162,10923.15,3118.5,1488.9
,,,,,,,,163,10794,3082.8,1472.1
,,,,,,,,164,10447.5,2984.1,1424.85
,,,,,,,,165,10119.9,2889.6,1379.7
,,,,,,,,166,9646.35,2755.2,1314.6
,,,,,,,,167,9026.85,2577.75,1230.6
,,,,,,,,168,8345.4,2383.5,1138.2
,,,,,,,,169,7774.2,2219.7,1060.5
,,,,,,,,170,7443.45,2125.2,1014.3
,,,,,,,,171,7247.1,2069.55,988.05
,,,,,,,,172,7194.6,2054.85,980.7
,,,,,,,,173,7249.2,2070.6,988.05
,,,,,,,,174,7460.25,2130.45,1017.45
,,,,,,,,175,7868.7,2247,1072.05
,,,,,,,,176,8296.05,2368.8,1130.85
,,,,,,,,177,8891.4,2538.9,1211.7
,,,,,,,,178,9351.3,2671.2,1274.7
,,,,,,,,179,9642.15,2754.15,1314.6
,,,,,,,,180,9823.8,2805.6,1339.8
,,,,,,,,181,9855.3,2814,1344
,,,,,,,,182,9800.7,2798.25,1335.6
,,,,,,,,183,9766.05,2788.8,1331.4
,,,,,,,,184,9902.55,2828.7,1350.3
,,,,,,,,185,10752,3071.25,1465.8
,,,,,,,,186,11635.05,3323.25,1586.55
,,,,,,,,187,11617.2,3318,1584.45
,,,,,,,,188,11317.95,3231.9,1542.45
,,,,,,,,189,10925.25,3119.55,1488.9
,,,,,,,,190,10280.55,2935.8,1401.75
,,,,,,,,191,9432.15,2693.25,1286.25
,,,,,,,,192,8689.8,2482.2,1184.4
,,,,,,,,193,8203.65,2342.55,1118.25
,,,,,,,,194,7969.5,2276.4,1086.75
,,,,,,,,195,7882.35,2251.2,1075.2
,,,,,,,,196,7912.8,2259.6,1078.35
,,,,,,,,197,8198.4,2341.5,1118.25
,,,,,,,,198,9021.6,2576.7,1229.55
,,,,,,,,199,10503.15,2999.85,1431.15
,,,,,,,,200,11358.9,3244.5,1548.75
,,,,,,,,201,11442.9,3267.6,1560.3
,,,,,,,,202,11454.45,3270.75,1561.35
,,,,,,,,203,11448.15,3269.7,1561.35
,,,,,,,,204,11350.5,3241.35,1547.7
,,,,,,,,205,11158.35,3186.75,1521.45
,,,,,,,,206,11038.65,3152.1,1505.7
,,,,,,,,207,10884.3,3108,1484.7
,,,,,,,,208,10921.05,3118.5,1488.9
,,,,,,,,209,11656.05,3328.5,1589.7
,,,,,,,,210,12646.2,3612,1724.1
,,,,,,,,211,12615.75,3602.55,1719.9
,,,,,,,,212,12277.65,3505.95,1673.7
,,,,,,,,213,11786.25,3365.25,1606.5
,,,,,,,,214,10975.65,3134.25,1496.25
,,,,,,,,215,9943.5,2839.2,1355.55
,,,,,,,,216,9030,2578.8,1230.6
,,,,,,,,217,8430.45,2407.65,1149.75
,,,,,,,,218,8132.25,2322.6,1107.75
,,,,,,,,219,7968.45,2275.35,1086.75
,,,,,,,,220,7956.9,2272.2,1084.65
,,,,,,,,221,8186.85,2338.35,1116.15
