Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,131,5426.5,2325,1552.95
,,,,,,,,132,5346,2289.75,1530.9
,,,,,,,,133,5257.5,2252.25,1505.7
,,,,,,,,134,5211.5,2232,1492.05
,,,,,,,,135,5139,2201.25,1471.05
,,,,,,,,136,5163.5,2212.5,1478.4
,,,,,,,,137,5465,2340.75,1564.5
,,,,,,,,138,5753.5,2464.5,1647.45
,,,,,,,,139,5661,2425.5,1621.2
,,,,,,,,140,5498,2355,1573.95
,,,,,,,,141,5280.5,2262,1512
,,,,,,,,142,4997,2141.25,1431.15
,,,,,,,,143,4612,1976.25,1319.85
,,,,,,,,144,4216,1806,1207.5
,,,,,,,,145,3909.5,1675.5,1119.3
,,,,,,,,146,3740,1602,1071
,,,,,,,,147,3648,1562.25,1043.7
,,,,,,,,148,3610.5,1547.25,1033.2
,,,,,,,,149,3646.5,1562.25,1043.7
,,,,,,,,150,3785.5,1621.5,1083.6
,,,,,,,,151,4036.5,1728.75,1155
,,,,,,,,152,4301,1842,1230.6
,,,,,,,,153,4571.5,1958.25,1309.35
,,,,,,,,154,4735.5,2028,1355.55
,,,,,,,,155,4781.5,2048.25,1368.15
,,,,,,,,156,4743,2031.75,1357.65
,,,,,,,,157,4656,1994.25,1332.45
,,,,,,,,158,4557.5,1952.25,1304.1
,,,,,,,,159,4488,1923,1285.2
,,,,,,,,160,4536,1943.25,1297.8
,,,,,,,,161,4868,2085,1394.4
,,,,,,,,162,5201.5,2227.5,1488.9
,,,,,,,,163,5140,2202,1472.1
,,,,,,,,164,4975,2131.5,1424.85
,,,,,,,,165,4819,2064,1379.7
,,,,,,,,166,4593.5,1968,1314.6
,,,,,,,,167,4298.5,1841.25,1230.6
,,,,,,,,168,3974,1702.5,1138.2
,,,,,,,,169,3702,1585.5,1060.5
,,,,,,,,170,3544.5,1518,1014.3
,,,,,,,,171,3451,1478.25,988.05
,,,,,,,,172,3426,1467.75,980.7
,,,,,,,,173,3452,1479,988.05
,,,,,,,,174,3552.5,1521.75,1017.45
,,,,,,,,175,3747,1605,1072.05
,,,,,,,,176,3950.5,1692,1130.85
,,,,,,,,177,4234,1813.5,1211.7
,,,,,,,,178,4453,1908,1274.7
,,,,,,,,179,4591.5,1967.25,1314.6
,,,,,,,,180,4678,2004,1339.8
,,,,,,,,181,4693,2010,1344
,,,,,,,,182,4667,1998.75,1335.6
,,,,,,,,183,4650.5,1992,1331.4
,,,,,,,,184,4715.5,2020.5,1350.3
,,,,,,,,185,5120,2193.75,1465.8
,,,,,,,,186,5540.5,2373.75,1586.55
,,,,,,,,187,5532,2370,1584.45
,,,,,,,,188,5389.5,2308.5,1542.45
,,,,,,,,189,5202.5,2228.25,1488.9
,,,,,,,,190,4895.5,2097,1401.75
,,,,,,,,191,4491.5,1923.75,1286.25
,,,,,,,,192,4138,1773,1184.4
,,,,,,,,193,3906.5,1673.25,1118.25
,,,,,,,,194,3795,1626,1086.75
,,,,,,,,195,3753.5,1608,1075.2
,,,,,,,,196,3768,1614,1078.35
,,,,,,,,197,3904,1672.5,1118.25
,,,,,,,,198,4296,1840.5,1229.55
,,,,,,,,199,5001.5,2142.75,1431.15
,,,,,,,,200,5409,2317.5,1548.75
,,,,,,,,201,5449,2334,1560.3
,,,,,,,,202,5454.5,2336.25,1561.35
,,,,,,,,203,5451.5,2335.5,1561.35
,,,,,,,,204,5405,2315.25,1547.7
,,,,,,,,205,5313.5,2276.25,1521.45
,,,,,,,,206,5256.5,2251.5,1505.7
,,,,,,,,207,5183,2220,1484.7
,,,,,,,,208,5200.5,2227.5,1488.9
,,,,,,,,209,5550.5,2377.5,1589.7
,,,,,,,,210,6022,2580,1724.1
,,,,,,,,211,6007.5,2573.25,1719.9
,,,,,,,,212,5846.5,2504.25,1673.7
,,,,,,,,213,5612.5,2403.75,1606.5
,,,,,,,,214,5226.5,2238.75,1496.25
,,,,,,,,215,4735,2028,1355.55
,,,,,,,,216,4300,1842,1230.6
,,,,,,,,217,4014.5,1719.75,1149.75
,,,,,,,,218,3872.5,1659,1107.75
,,,,,,,,219,3794.5,1625.25,1086.75
,,,,,,,,220,3789,1623,1084.65
,,,,,,,,221,3898.5,1670.25,1116.15
,,,,,,,,222,4260.5,1825.5,1219.05
,,,,,,,,223,4946.5,2118.75,1416.45
,,,,,,,,224,5313,2276.25,1521.45
,,,,,,,,225,5332.5,2284.5,1526.7
,,,,,,,,226,5359.5,2295.75,1534.05
,,,,,,,,227,5361.5,2296.5,1535.1
,,,,,,,,228,5309.5,2274.75,1520.4
,,,,,,,,229,5222,2237.25,1495.2
,,,,,,,,230,5177.5,2217.75,1482.6
,,,,,,,,231,5131,2197.5,1468.95
,,,,,,,,232,5166,2212.5,1478.4
,,,,,,,,233,5504,2358,1576.05
,,,,,,,,234,5889,2522.25,1685.25
,,,,,,,,235,5845.5,2504.25,1673.7
,,,,,,,,236,5700.5,2442,1632.75
,,,,,,,,237,5486.5,2350.5,1570.8
,,,,,,,,238,5125,2195.25,1467.9
,,,,,,,,239,4648.5,1991.25,1330.35
,,,,,,,,240,4234,1813.5,1211.7
,,,,,,,,241,3971,1701.75,1137.15
,,,,,,,,242,3839.5,1644.75,1099.35
,,,,,,,,243,3779,1618.5,1081.5
,,,,,,,,244,3796,1626,1086.75
,,,,,,,,245,3915,1677,1120.35
,,,,,,,,246,4306.5,1844.25,1232.7
,,,,,,,,247,4995.5,2140.5,1431.15
,,,,,,,,248,5361,2296.5,1535.1
