Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,2000,1,8760,8760,1,6280,1793.6,856
,2,0.9,0.04,1800,,,,2,5939.2,1696,809.6
,3,0.55,0.024,1100,,,,3,5685.6,1623.2,775.2
,4,0.2,0.003,400,,,,4,5557.6,1587.2,757.6
,,,,,,,,5,5537.6,1581.6,755.2
,,,,,,,,6,5636,1609.6,768
,,,,,,,,7,5845.6,1669.6,796.8
,,,,,,,,8,6035.2,1723.2,823.2
,,,,,,,,9,6356.8,1815.2,866.4
,,,,,,,,10,6672,1905.6,909.6
,,,,,,,,11,6862.4,1959.2,935.2
,,,,,,,,12,6932.8,1979.2,944.8
,,,,,,,,13,6965.6,1989.6,949.6
,,,,,,,,14,6904,1971.2,940.8
,,,,,,,,15,6835.2,1952,932
,,,,,,,,16,6875.2,1963.2,936.8
,,,,,,,,17,7544.8,2154.4,1028.8
,,,,,,,,18,8180,2336,1115.2
,,,,,,,,19,8132,2322.4,1108.8
,,,,,,,,20,7883.2,2252,1074.4
,,,,,,,,21,7592,2168,1035.2
,,,,,,,,22,7185.6,2052,980
,,,,,,,,23,6682.4,1908,911.2
,,,,,,,,24,6118.4,1747.2,833.6
,,,,,,,,25,5640.8,1610.4,768.8
,,,,,,,,26,5351.2,1528,729.6
,,,,,,,,27,5212,1488.8,710.4
,,,,,,,,28,5180.8,1479.2,706.4
,,,,,,,,29,5294.4,1512,721.6
,,,,,,,,30,5584,1594.4,760.8
,,,,,,,,31,6018.4,1718.4,820
,,,,,,,,32,6374.4,1820,868.8
,,,,,,,,33,6810.4,1944.8,928.8
,,,,,,,,34,7257.6,2072.8,988.8
,,,,,,,,35,7585.6,2166.4,1033.6
,,,,,,,,36,7720,2204,1052.8
,,,,,,,,37,7708,2200.8,1050.4
,,,,,,,,38,7657.6,2187.2,1044
,,,,,,,,39,7633.6,2180,1040.8
,,,,,,,,40,7749.6,2212.8,1056.8
,,,,,,,,41,8476.8,2420.8,1155.2
,,,,,,,,42,9212,2631.2,1256
,,,,,,,,43,9131.2,2608,1244.8
,,,,,,,,44,8910.4,2544.8,1215.2
,,,,,,,,45,8550.4,2441.6,1165.6
,,,,,,,,46,7983.2,2280,1088
,,,,,,,,47,7280,2079.2,992.8
,,,,,,,,48,6643.2,1897.6,905.6
,,,,,,,,49,6220.8,1776.8,848
,,,,,,,,50,6010.4,1716,819.2
,,,,,,,,51,5908.8,1687.2,805.6
,,,,,,,,52,5920.8,1691.2,807.2
,,,,,,,,53,6133.6,1751.2,836
,,,,,,,,54,6764,1931.2,921.6
,,,,,,,,55,7878.4,2249.6,1074.4
,,,,,,,,56,8503.2,2428,1159.2
,,,,,,,,57,8608.8,2458.4,1173.6
,,,,,,,,58,8668,2475.2,1181.6
,,,,,,,,59,8745.6,2497.6,1192
,,,,,,,,60,8760,2501.6,1194.4
,,,,,,,,61,8724,2492,1189.6
,,,,,,,,62,8712,2488.8,1187.2
,,,,,,,,63,8679.2,2478.4,1183.2
,,,,,,,,64,8799.2,2512.8,1199.2
,,,,,,,,65,9486.4,2708.8,1292.8
,,,,,,,,66,10236.8,2923.2,1396
,,,,,,,,67,10256.8,2928.8,1398.4
,,,,,,,,68,10084,2880,1375.2
,,,,,,,,69,9756,2786.4,1330.4
,,,,,,,,70,9180.8,2621.6,1252
,,,,,,,,71,8412,2402.4,1147.2
,,,,,,,,72,7739.2,2210.4,1055.2
,,,,,,,,73,7320.8,2091.2,997.6
,,,,,,,,74,7100.8,2028,968
,,,,,,,,75,6988.8,1996,952.8
,,,,,,,,76,7001.6,1999.2,954.4
,,,,,,,,77,7192,2054.4,980.8
,,,,,,,,78,7786.4,2224,1061.6
,,,,,,,,79,8867.2,2532.8,1208.8
,,,,,,,,80,9456,2700.8,1288.8
,,,,,,,,81,9467.2,2704,1291.2
,,,,,,,,82,9442.4,2696.8,1287.2
,,,,,,,,83,9421.6,2690.4,1284
,,,,,,,,84,9328.8,2664,1272
,,,,,,,,85,9195.2,2626.4,1253.6
,,,,,,,,86,9116,2604,1243.2
,,,,,,,,87,9044.8,2583.2,1232.8
