Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,2000,1,8760,8760,1,5887.5,1681.5,802.5
,2,0.9,0.04,1800,,,,2,5568,1590,759
,3,0.55,0.024,1100,,,,3,5330.25,1521.75,726.75
,4,0.2,0.003,400,,,,4,5210.25,1488,710.25
,,,,,,,,5,5191.5,1482.75,708
,,,,,,,,6,5283.75,1509,720
,,,,,,,,7,5480.25,1565.25,747
,,,,,,,,8,5658,1615.5,771.75
,,,,,,,,9,5959.5,1701.75,812.25
,,,,,,,,10,6255,1786.5,852.75
,,,,,,,,11,6433.5,1836.75,876.75
,,,,,,,,12,6499.5,1855.5,885.75
,,,,,,,,13,6530.25,1865.25,890.25
,,,,,,,,14,6472.5,1848,882
,,,,,,,,15,6408,1830,873.75
,,,,,,,,16,6445.5,1840.5,878.25
,,,,,,,,17,7073.25,2019.75,964.5
,,,,,,,,18,7668.75,2190,1045.5
,,,,,,,,19,7623.75,2177.25,1039.5
,,,,,,,,20,7390.5,2111.25,1007.25
,,,,,,,,21,7117.5,2032.5,970.5
,,,,,,,,22,6736.5,1923.75,918.75
,,,,,,,,23,6264.75,1788.75,854.25
,,,,,,,,24,5736,1638,781.5
,,,,,,,,25,5288.25,1509.75,720.75
,,,,,,,,26,5016.75,1432.5,684
,,,,,,,,27,4886.25,1395.75,666
,,,,,,,,28,4857,1386.75,662.25
,,,,,,,,29,4963.5,1417.5,676.5
,,,,,,,,30,5235,1494.75,713.25
,,,,,,,,31,5642.25,1611,768.75
,,,,,,,,32,5976,1706.25,814.5
,,,,,,,,33,6384.75,1823.25,870.75
,,,,,,,,34,6804,1943.25,927
,,,,,,,,35,7111.5,2031,969
,,,,,,,,36,7237.5,2066.25,987
,,,,,,,,37,7226.25,2063.25,984.75
,,,,,,,,38,7179,2050.5,978.75
,,,,,,,,39,7156.5,2043.75,975.75
,,,,,,,,40,7265.25,2074.5,990.75
,,,,,,,,41,7947,2269.5,1083
,,,,,,,,42,8636.25,2466.75,1177.5
,,,,,,,,43,8560.5,2445,1167
,,,,,,,,44,8353.5,2385.75,1139.25
,,,,,,,,45,8016,2289,1092.75
,,,,,,,,46,7484.25,2137.5,1020
,,,,,,,,47,6825,1949.25,930.75
,,,,,,,,48,6228,1779,849
,,,,,,,,49,5832,1665.75,795
,,,,,,,,50,5634.75,1608.75,768
,,,,,,,,51,5539.5,1581.75,755.25
,,,,,,,,52,5550.75,1585.5,756.75
,,,,,,,,53,5750.25,1641.75,783.75
,,,,,,,,54,6341.25,1810.5,864
,,,,,,,,55,7386,2109,1007.25
,,,,,,,,56,7971.75,2276.25,1086.75
,,,,,,,,57,8070.75,2304.75,1100.25
,,,,,,,,58,8126.25,2320.5,1107.75
,,,,,,,,59,8199,2341.5,1117.5
,,,,,,,,60,8212.5,2345.25,1119.75
,,,,,,,,61,8178.75,2336.25,1115.25
,,,,,,,,62,8167.5,2333.25,1113
,,,,,,,,63,8136.75,2323.5,1109.25
,,,,,,,,64,8249.25,2355.75,1124.25
,,,,,,,,65,8893.5,2539.5,1212
,,,,,,,,66,9597,2740.5,1308.75
,,,,,,,,67,9615.75,2745.75,1311
,,,,,,,,68,9453.75,2700,1289.25
,,,,,,,,69,9146.25,2612.25,1247.25
,,,,,,,,70,8607,2457.75,1173.75
,,,,,,,,71,7886.25,2252.25,1075.5
,,,,,,,,72,7255.5,2072.25,989.25
,,,,,,,,73,6863.25,1960.5,935.25
,,,,,,,,74,6657,1901.25,907.5
,,,,,,,,75,6552,1871.25,893.25
,,,,,,,,76,6564,1874.25,894.75
,,,,,,,,77,6742.5,1926,919.5
,,,,,,,,78,7299.75,2085,995.25
,,,,,,,,79,8313,2374.5,1133.25
,,,,,,,,80,8865,2532,1208.25
,,,,,,,,81,8875.5,2535,1210.5
,,,,,,,,82,8852.25,2528.25,1206.75
,,,,,,,,83,8832.75,2522.25,1203.75
,,,,,,,,84,8745.75,2497.5,1192.5
,,,,,,,,85,8620.5,2462.25,1175.25
,,,,,,,,86,8546.25,2441.25,1165.5
,,,,,,,,87,8479.5,2421.75,1155.75
,,,,,,,,88,8567.25,2446.5,1167.75
,,,,,,,,89,9165.75,2618.25,1249.5
,,,,,,,,90,9653.25,2757,1316.25
,,,,,,,,91,9579,2735.25,1305.75
,,,,,,,,92,9355.5,2671.5,1275.75
,,,,,,,,93,8997.75,2569.5,1226.25
,,,,,,,,94,8405.25,2400.75,1146
,,,,,,,,95,7650.75,2185.5,1043.25
,,,,,,,,96,6952.5,1986,948
,,,,,,,,97,6507,1858.5,886.5
,,,,,,,,98,6268.5,1790.25,855
,,,,,,,,99,6148.5,1755.75,837.75
,,,,,,,,100,6126,1749.75,835.5
,,,,,,,,101,6283.5,1794.75,856.5
,,,,,,,,102,6798.75,1941.75,927
,,,,,,,,103,7778.25,2221.5,1060.5
,,,,,,,,104,8352,2385.75,1138.5
,,,,,,,,105,8412.75,2403,1147.5
,,,,,,,,106,8450.25,2413.5,1152
,,,,,,,,107,8412,2402.25,1147.5
,,,,,,,,108,8294.25,2369.25,1131
,,,,,,,,109,8192.25,2339.25,1116.75
,,,,,,,,110,8151.75,2328,1111.5
,,,,,,,,111,8087.25,2310,1102.5
,,,,,,,,112,8139.75,2325,1109.25
,,,,,,,,113,8656.5,2472,1180.5
,,,,,,,,114,9222.75,2634,1257
,,,,,,,,115,9189,2624.25,1253.25
,,,,,,,,116,8980.5,2565,1224
,,,,,,,,117,8645.25,2469,1178.25
,,,,,,,,118,8091,2310.75,1103.25
,,,,,,,,119,7346.25,2097.75,1001.25
,,,,,,,,120,6702.75,1914.75,913.5
,,,,,,,,121,6282,1794,855.75
,,,,,,,,122,6053.25,1728.75,825
,,,,,,,,123,5936.25,1695,809.25
,,,,,,,,124,5907,1686.75,805.5
,,,,,,,,125,6051,1728,825
,,,,,,,,126,6562.5,1874.25,894.75
,,,,,,,,127,7524,2148.75,1026
,,,,,,,,128,8100,2313.75,1104.75
,,,,,,,,129,8167.5,2332.5,1113
,,,,,,,,130,8175.75,2334.75,1114.5
,,,,,,,,131,8139.75,2325,1109.25
,,,,,,,,132,8019,2289.75,1093.5
,,,,,,,,133,7886.25,2252.25,1075.5
,,,,,,,,134,7817.25,2232,1065.75
,,,,,,,,135,7708.5,2201.25,1050.75
,,,,,,,,136,7745.25,2212.5,1056
,,,,,,,,137,8197.5,2340.75,1117.5
,,,,,,,,138,8630.25,2464.5,1176.75
,,,,,,,,139,8491.5,2425.5,1158
,,,,,,,,140,8247,2355,1124.25
,,,,,,,,141,7920.75,2262,1080
,,,,,,,,142,7495.5,2141.25,1022.25
,,,,,,,,143,6918,1976.25,942.75
,,,,,,,,144,6324,1806,862.5
,,,,,,,,145,5864.25,1675.5,799.5
,,,,,,,,146,5610,1602,765
,,,,,,,,147,5472,1562.25,745.5
,,,,,,,,148,5415.75,1547.25,738
,,,,,,,,149,5469.75,1562.25,745.5
,,,,,,,,150,5678.25,1621.5,774
,,,,,,,,151,6054.75,1728.75,825
,,,,,,,,152,6451.5,1842,879
,,,,,,,,153,6857.25,1958.25,935.25
,,,,,,,,154,7103.25,2028,968.25
,,,,,,,,155,7172.25,2048.25,977.25
,,,,,,,,156,7114.5,2031.75,969.75
,,,,,,,,157,6984,1994.25,951.75
,,,,,,,,158,6836.25,1952.25,931.5
,,,,,,,,159,6732,1923,918
,,,,,,,,160,6804,1943.25,927
,,,,,,,,161,7302,2085,996
,,,,,,,,162,7802.25,2227.5,1063.5
,,,,,,,,163,7710,2202,1051.5
,,,,,,,,164,7462.5,2131.5,1017.75
,,,,,,,,165,7228.5,2064,985.5
,,,,,,,,166,6890.25,1968,939
,,,,,,,,167,6447.75,1841.25,879
,,,,,,,,168,5961,1702.5,813
,,,,,,,,169,5553,1585.5,757.5
,,,,,,,,170,5316.75,1518,724.5
,,,,,,,,171,5176.5,1478.25,705.75
,,,,,,,,172,5139,1467.75,700.5
,,,,,,,,173,5178,1479,705.75
,,,,,,,,174,5328.75,1521.75,726.75
,,,,,,,,175,5620.5,1605,765.75
,,,,,,,,176,5925.75,1692,807.75
,,,,,,,,177,6351,1813.5,865.5
,,,,,,,,178,6679.5,1908,910.5
,,,,,,,,179,6887.25,1967.25,939
,,,,,,,,180,7017,2004,957
,,,,,,,,181,7039.5,2010,960
,,,,,,,,182,7000.5,1998.75,954
,,,,,,,,183,6975.75,1992,951
,,,,,,,,184,7073.25,2020.5,964.5
,,,,,,,,185,7680,2193.75,1047
,,,,,,,,186,8310.75,2373.75,1133.25
,,,,,,,,187,8298,2370,1131.75
,,,,,,,,188,8084.25,2308.5,1101.75
,,,,,,,,189,7803.75,2228.25,1063.5
,,,,,,,,190,7343.25,2097,1001.25
,,,,,,,,191,6737.25,1923.75,918.75
,,,,,,,,192,6207,1773,846
,,,,,,,,193,5859.75,1673.25,798.75
,,,,,,,,194,5692.5,1626,776.25
,,,,,,,,195,5630.25,1608,768
,,,,,,,,196,5652,1614,770.25
,,,,,,,,197,5856,1672.5,798.75
,,,,,,,,198,6444,1840.5,878.25
,,,,,,,,199,7502.25,2142.75,1022.25
,,,,,,,,200,8113.5,2317.5,1106.25
,,,,,,,,201,8173.5,2334,1114.5
,,,,,,,,202,8181.75,2336.25,1115.25
,,,,,,,,203,8177.25,2335.5,1115.25
,,,,,,,,204,8107.5,2315.25,1105.5
,,,,,,,,205,7970.25,2276.25,1086.75
,,,,,,,,206,7884.75,2251.5,1075.5
,,,,,,,,207,7774.5,2220,1060.5
,,,,,,,,208,7800.75,2227.5,1063.5
,,,,,,,,209,8325.75,2377.5,1135.5
,,,,,,,,210,9033,2580,1231.5
,,,,,,,,211,9011.25,2573.25,1228.5
,,,,,,,,212,8769.75,2504.25,1195.5
,,,,,,,,213,8418.75,2403.75,1147.5
,,,,,,,,214,7839.75,2238.75,1068.75
,,,,,,,,215,7102.5,2028,968.25
,,,,,,,,216,6450,1842,879
,,,,,,,,217,6021.75,1719.75,821.25
,,,,,,,,218,5808.75,1659,791.25
,,,,,,,,219,5691.75,1625.25,776.25
,,,,,,,,220,5683.5,1623,774.75
,,,,,,,,221,5847.75,1670.25,797.25
,,,,,,,,222,6390.75,1825.5,870.75
,,,,,,,,223,7419.75,2118.75,1011.75
,,,,,,,,224,7969.5,2276.25,1086.75
,,,,,,,,225,7998.75,2284.5,1090.5
,,,,,,,,226,8039.25,2295.75,1095.75
,,,,,,,,227,8042.25,2296.5,1096.5
,,,,,,,,228,7964.25,2274.75,1086
,,,,,,,,229,7833,2237.25,1068
,,,,,,,,230,7766.25,2217.75,1059
,,,,,,,,231,7696.5,2197.5,1049.25
,,,,,,,,232,7749,2212.5,1056
