"time","outputV1","outputV2","outputV3","outputV4","outputV5","outputV6"
2017-01-01 00:00:00,0.798,0.083,0.272,0.059,0.017,0.256
2017-01-01 01:00:00,0.734,0.096,0.305,0.048,0.042,0.305
2017-01-01 02:00:00,0.598,0.116,0.307,0.049,0.088,0.358
2017-01-01 03:00:00,0.377,0.093,0.222,0.058,0.128,0.469
2017-01-01 04:00:00,0.203,0.036,0.126,0.067,0.163,0.379
2017-01-01 05:00:00,0.145,0.007,0.073,0.079,0.192,0.321
2017-01-01 06:00:00,0.103,0.008,0.023,0.085,0.22,0.303
2017-01-01 07:00:00,0.045,0.085,0.002,0.096,0.253,0.312
2017-01-01 08:00:00,0.013,0.189,0.008,0.107,0.272,0.339
2017-01-01 09:00:00,0.003,0.203,0.039,0.125,0.271,0.349
2017-01-01 10:00:00,0.001,0.198,0.045,0.147,0.229,0.327
2017-01-01 11:00:00,0,0.249,0.022,0.137,0.178,0.245
2017-01-01 12:00:00,0,0.268,0.013,0.097,0.181,0.139
2017-01-01 13:00:00,0.001,0.227,0.006,0.063,0.175,0.086
2017-01-01 14:00:00,0.009,0.17,0.005,0.075,0.115,0.104
2017-01-01 15:00:00,0.014,0.066,0.006,0.096,0.061,0.166
2017-01-01 16:00:00,0.032,0.062,0.018,0.114,0.046,0.338
2017-01-01 17:00:00,0.207,0.433,0.097,0.113,0.119,0.426
2017-01-01 18:00:00,0.538,0.594,0.213,0.111,0.273,0.377
2017-01-01 19:00:00,0.654,0.633,0.257,0.173,0.427,0.348
2017-01-01 20:00:00,0.651,0.63,0.265,0.304,0.462,0.362
2017-01-01 21:00:00,0.59,0.615,0.278,0.352,0.456,0.404
2017-01-01 22:00:00,0.442,0.572,0.299,0.302,0.416,0.433
2017-01-01 23:00:00,0.474,0.692,0.509,0.342,0.548,0.505
2017-01-02 00:00:00,0.608,0.852,0.72,0.459,0.686,0.625
2017-01-02 01:00:00,0.769,0.923,0.817,0.512,0.701,0.629
2017-01-02 02:00:00,0.884,0.95,0.868,0.56,0.71,0.618
2017-01-02 03:00:00,0.93,0.954,0.907,0.63,0.724,0.635
2017-01-02 04:00:00,0.926,0.915,0.92,0.688,0.745,0.68
2017-01-02 05:00:00,0.893,0.868,0.88,0.726,0.767,0.724
2017-01-02 06:00:00,0.909,0.745,0.805,0.766,0.809,0.788
2017-01-02 07:00:00,0.739,0.404,0.688,0.808,0.869,0.84
2017-01-02 08:00:00,0.576,0.228,0.426,0.852,0.905,0.872
2017-01-02 09:00:00,0.735,0.554,0.331,0.891,0.924,0.89
2017-01-02 10:00:00,0.853,0.85,0.548,0.867,0.904,0.889
2017-01-02 11:00:00,0.855,0.901,0.781,0.878,0.888,0.873
2017-01-02 12:00:00,0.852,0.902,0.867,0.897,0.799,0.845
2017-01-02 13:00:00,0.837,0.892,0.893,0.88,0.783,0.764
2017-01-02 14:00:00,0.817,0.82,0.83,0.775,0.719,0.491
2017-01-02 15:00:00,0.754,0.801,0.818,0.775,0.869,0.688
2017-01-02 16:00:00,0.805,0.812,0.834,0.85,0.919,0.939
2017-01-02 17:00:00,0.898,0.795,0.815,0.893,0.903,0.919
2017-01-02 18:00:00,0.876,0.737,0.736,0.873,0.84,0.829
2017-01-02 19:00:00,0.854,0.692,0.654,0.806,0.694,0.683
2017-01-02 20:00:00,0.845,0.704,0.614,0.669,0.538,0.495
2017-01-02 21:00:00,0.823,0.715,0.622,0.41,0.347,0.283
2017-01-02 22:00:00,0.729,0.662,0.556,0.144,0.15,0.092
2017-01-02 23:00:00,0.806,0.737,0.649,0.034,0.038,0.064
2017-01-03 00:00:00,0.9,0.854,0.794,0.002,0.004,0.156
2017-01-03 01:00:00,0.926,0.901,0.882,0.004,0.003,0.285
2017-01-03 02:00:00,0.912,0.925,0.909,0.024,0.014,0.373
2017-01-03 03:00:00,0.883,0.935,0.914,0.058,0.026,0.369
2017-01-03 04:00:00,0.881,0.936,0.917,0.091,0.029,0.244
2017-01-03 05:00:00,0.888,0.93,0.911,0.117,0.044,0.148
2017-01-03 06:00:00,0.869,0.922,0.901,0.119,0.055,0.065
2017-01-03 07:00:00,0.848,0.911,0.894,0.099,0.05,0.026
2017-01-03 08:00:00,0.822,0.898,0.889,0.067,0.04,0.009
2017-01-03 09:00:00,0.834,0.884,0.894,0.057,0.043,0.009
2017-01-03 10:00:00,0.837,0.861,0.891,0.074,0.032,0.02
2017-01-03 11:00:00,0.822,0.85,0.889,0.136,0.024,0.02
2017-01-03 12:00:00,0.775,0.854,0.887,0.256,0.066,0.002
2017-01-03 13:00:00,0.724,0.852,0.868,0.303,0.151,0
2017-01-03 14:00:00,0.561,0.727,0.692,0.233,0.136,0.007
2017-01-03 15:00:00,0.587,0.319,0.405,0.124,0.049,0.005
2017-01-03 16:00:00,0.721,0.277,0.531,0.14,0.025,0.002
2017-01-03 17:00:00,0.724,0.407,0.489,0.349,0.022,0.002
2017-01-03 18:00:00,0.67,0.274,0.415,0.453,0.03,0.001
2017-01-03 19:00:00,0.595,0.16,0.359,0.483,0.032,0.003
2017-01-03 20:00:00,0.538,0.099,0.327,0.428,0.017,0.013
2017-01-03 21:00:00,0.544,0.075,0.345,0.318,0.007,0.038
2017-01-03 22:00:00,0.58,0.111,0.424,0.234,0.006,0.105
2017-01-03 23:00:00,0.645,0.516,0.638,0.254,0.023,0.323
2017-01-04 00:00:00,0.688,0.799,0.778,0.44,0.053,0.465
2017-01-04 01:00:00,0.642,0.807,0.75,0.713,0.087,0.389
2017-01-04 02:00:00,0.596,0.783,0.683,0.831,0.151,0.27
2017-01-04 03:00:00,0.562,0.737,0.576,0.883,0.263,0.172
2017-01-04 04:00:00,0.486,0.671,0.494,0.926,0.429,0.09
2017-01-04 05:00:00,0.481,0.62,0.431,0.937,0.631,0.034
2017-01-04 06:00:00,0.485,0.559,0.38,0.933,0.84,0.006
2017-01-04 07:00:00,0.41,0.499,0.357,0.946,0.907,0.003
2017-01-04 08:00:00,0.312,0.468,0.37,0.935,0.893,0.092
2017-01-04 09:00:00,0.244,0.416,0.365,0.919,0.869,0.468
2017-01-04 10:00:00,0.207,0.354,0.311,0.908,0.854,0.766
2017-01-04 11:00:00,0.191,0.314,0.27,0.898,0.83,0.82
2017-01-04 12:00:00,0.218,0.272,0.283,0.883,0.803,0.817
2017-01-04 13:00:00,0.162,0.168,0.228,0.857,0.778,0.807
2017-01-04 14:00:00,0.073,0.084,0.128,0.826,0.743,0.82
2017-01-04 15:00:00,0.019,0.031,0.056,0.714,0.604,0.713
2017-01-04 16:00:00,0.004,0.004,0.013,0.527,0.423,0.516
2017-01-04 17:00:00,0,0,0.002,0.388,0.285,0.333
2017-01-04 18:00:00,0,0.001,0,0.315,0.223,0.233
2017-01-04 19:00:00,0.018,0.039,0.001,0.218,0.148,0.177
2017-01-04 20:00:00,0.064,0.092,0.029,0.164,0.106,0.148
2017-01-04 21:00:00,0.133,0.126,0.059,0.123,0.085,0.188
2017-01-04 22:00:00,0.243,0.17,0.111,0.067,0.051,0.262
2017-01-04 23:00:00,0.279,0.166,0.152,0.078,0.065,0.272
2017-01-05 00:00:00,0.402,0.309,0.297,0.083,0.096,0.284
2017-01-05 01:00:00,0.661,0.629,0.534,0.064,0.112,0.318
2017-01-05 02:00:00,0.831,0.868,0.761,0.05,0.098,0.306
2017-01-05 03:00:00,0.837,0.923,0.864,0.029,0.073,0.242
2017-01-05 04:00:00,0.797,0.927,0.88,0.011,0.047,0.167
2017-01-05 05:00:00,0.779,0.933,0.896,0.002,0.019,0.102
2017-01-05 06:00:00,0.763,0.932,0.914,0.002,0.01,0.053
2017-01-05 07:00:00,0.716,0.922,0.916,0.004,0.009,0.015
2017-01-05 08:00:00,0.587,0.901,0.906,0.003,0.009,0.001
2017-01-05 09:00:00,0.499,0.884,0.889,0.003,0.003,0
2017-01-05 10:00:00,0.505,0.863,0.837,0.005,0.001,0
2017-01-05 11:00:00,0.622,0.761,0.712,0.003,0.001,0
2017-01-05 12:00:00,0.758,0.559,0.572,0.001,0,0
2017-01-05 13:00:00,0.849,0.704,0.522,0.001,0.001,0.008
2017-01-05 14:00:00,0.918,0.854,0.683,0,0.001,0.017
2017-01-05 15:00:00,0.925,0.873,0.838,0,0,0.011
2017-01-05 16:00:00,0.862,0.748,0.79,0,0.001,0.016
2017-01-05 17:00:00,0.791,0.533,0.651,0,0.007,0.054
2017-01-05 18:00:00,0.724,0.431,0.584,0,0.027,0.118
2017-01-05 19:00:00,0.648,0.408,0.579,0,0.043,0.103
2017-01-05 20:00:00,0.628,0.413,0.556,0.002,0.014,0.071
2017-01-05 21:00:00,0.649,0.508,0.587,0.04,0.003,0.081
2017-01-05 22:00:00,0.688,0.649,0.663,0.25,0.051,0.124
2017-01-05 23:00:00,0.739,0.796,0.777,0.622,0.422,0.264
2017-01-06 00:00:00,0.814,0.847,0.839,0.809,0.725,0.519
2017-01-06 01:00:00,0.881,0.876,0.89,0.898,0.826,0.585
