Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,,
,,,,,,,,185,11648.8,,
,,,,,,,,186,12605.6,,
,,,,,,,,187,12586.4,,
,,,,,,,,188,12260.8,,
,,,,,,,,189,11835.2,,
,,,,,,,,190,11137.6,,
,,,,,,,,191,10218.4,,
,,,,,,,,192,9414.4,,
,,,,,,,,193,8887.2,,
,,,,,,,,194,8634.4,,
,,,,,,,,195,8540,,
,,,,,,,,196,8572,,
,,,,,,,,197,8882.4,,
,,,,,,,,198,9773.6,,
,,,,,,,,199,11378.4,,
,,,,,,,,200,12306.4,,
,,,,,,,,201,12396.8,,
,,,,,,,,202,12408.8,,
,,,,,,,,203,12403.2,,
,,,,,,,,204,12296.8,,
,,,,,,,,205,12088.8,,
,,,,,,,,206,11959.2,,
,,,,,,,,207,11792,,
,,,,,,,,208,11831.2,,
,,,,,,,,209,12628,,
,,,,,,,,210,13700.8,,
,,,,,,,,211,13667.2,,
,,,,,,,,212,13300.8,,
,,,,,,,,213,12768,,
,,,,,,,,214,11890.4,,
,,,,,,,,215,10772,,
,,,,,,,,216,9782.4,,
,,,,,,,,217,9133.6,,
,,,,,,,,218,8809.6,,
,,,,,,,,219,8632.8,,
,,,,,,,,220,8620,,
,,,,,,,,221,8869.6,,
,,,,,,,,222,9692.8,,
,,,,,,,,223,11253.6,,
,,,,,,,,224,12088,,
,,,,,,,,225,12132,,
,,,,,,,,226,12192.8,,
,,,,,,,,227,12197.6,,
,,,,,,,,228,12080,,
,,,,,,,,229,11880.8,,
,,,,,,,,230,11779.2,,
,,,,,,,,231,11672.8,,
,,,,,,,,232,11752,,
,,,,,,,,233,12522.4,,
,,,,,,,,234,13396.8,,
,,,,,,,,235,13299.2,,
,,,,,,,,236,12969.6,,
,,,,,,,,237,12482.4,,
,,,,,,,,238,11660,,
,,,,,,,,239,10575.2,,
,,,,,,,,240,9632,,
,,,,,,,,241,9035.2,,
,,,,,,,,242,8735.2,,
,,,,,,,,243,8596.8,,
,,,,,,,,244,8636,,
,,,,,,,,245,8906.4,,
,,,,,,,,246,9796.8,,
,,,,,,,,247,11366.4,,
,,,,,,,,248,12196.8,,
,,,,,,,,249,12197.6,,
,,,,,,,,250,12124.8,,
,,,,,,,,251,12081.6,,
,,,,,,,,252,11984.8,,
,,,,,,,,253,11816,,
,,,,,,,,254,11748.8,,
,,,,,,,,255,11636,,
,,,,,,,,256,11715.2,,
,,,,,,,,257,12472.8,,
,,,,,,,,258,13401.6,,
,,,,,,,,259,13351.2,,
,,,,,,,,260,13022.4,,
,,,,,,,,261,12523.2,,
,,,,,,,,262,11665.6,,
,,,,,,,,263,10551.2,,
,,,,,,,,264,9568,,
,,,,,,,,265,8920,,
,,,,,,,,266,8564,,
,,,,,,,,267,8396,,
,,,,,,,,268,8392,,
,,,,,,,,269,8652.8,,
,,,,,,,,270,9466.4,,
,,,,,,,,271,10929.6,,
,,,,,,,,272,11940.8,,
,,,,,,,,273,12220.8,,
,,,,,,,,274,12421.6,,
,,,,,,,,275,12595.2,,
,,,,,,,,276,12640,,
,,,,,,,,277,12590.4,,
,,,,,,,,278,12534.4,,
,,,,,,,,279,12368,,
,,,,,,,,280,12339.2,,
,,,,,,,,281,12928,,
,,,,,,,,282,13595.2,,
,,,,,,,,283,13456.8,,
,,,,,,,,284,13057.6,,
,,,,,,,,285,12508.8,,
,,,,,,,,286,11629.6,,
,,,,,,,,287,10523.2,,
,,,,,,,,288,9560.8,,
,,,,,,,,289,8885.6,,
,,,,,,,,290,8545.6,,
,,,,,,,,291,8384,,
,,,,,,,,292,8354.4,,
,,,,,,,,293,8579.2,,
,,,,,,,,294,9347.2,,
,,,,,,,,295,10807.2,,
,,,,,,,,296,11761.6,,
,,,,,,,,297,11948,,
,,,,,,,,298,11998.4,,
,,,,,,,,299,12014.4,,
,,,,,,,,300,11962.4,,
,,,,,,,,301,11853.6,,
,,,,,,,,302,11805.6,,
,,,,,,,,303,11760.8,,
,,,,,,,,304,11931.2,,
,,,,,,,,305,12673.6,,
,,,,,,,,306,13417.6,,
,,,,,,,,307,13296,,
,,,,,,,,308,12956,,
,,,,,,,,309,12524.8,,
,,,,,,,,310,11881.6,,
,,,,,,,,311,11019.2,,
,,,,,,,,312,10158.4,,
,,,,,,,,313,9488,,
,,,,,,,,314,9096,,
,,,,,,,,315,8876,,
,,,,,,,,316,8806.4,,
,,,,,,,,317,8898.4,,
,,,,,,,,318,9211.2,,
,,,,,,,,319,9795.2,,
,,,,,,,,320,10383.2,,
,,,,,,,,321,11048.8,,
,,,,,,,,322,11572,,
,,,,,,,,323,11792.8,,
,,,,,,,,324,11718.4,,
,,,,,,,,325,11532.8,,
,,,,,,,,326,11316,,
,,,,,,,,327,11213.6,,
,,,,,,,,328,11304.8,,
,,,,,,,,329,12042.4,,
,,,,,,,,330,13048,,
,,,,,,,,331,13044.8,,
,,,,,,,,332,12752,,
,,,,,,,,333,12350.4,,
,,,,,,,,334,11861.6,,
,,,,,,,,335,11280,,
,,,,,,,,336,10603.2,,
,,,,,,,,337,9966.4,,
,,,,,,,,338,9584.8,,
,,,,,,,,339,9430.4,,
,,,,,,,,340,9412,,
,,,,,,,,341,9516.8,,
,,,,,,,,342,9782.4,,
,,,,,,,,343,10240,,
,,,,,,,,344,10733.6,,
,,,,,,,,345,11431.2,,
,,,,,,,,346,11955.2,,
,,,,,,,,347,12241.6,,
,,,,,,,,348,12337.6,,
,,,,,,,,349,12328,,
,,,,,,,,350,12203.2,,
,,,,,,,,351,12128,,
,,,,,,,,352,12224.8,,
,,,,,,,,353,13016.8,,
,,,,,,,,354,14052,,
,,,,,,,,355,14068.8,,
,,,,,,,,356,13678.4,,
,,,,,,,,357,13286.4,,
,,,,,,,,358,12624.8,,
,,,,,,,,359,11833.6,,
,,,,,,,,360,11041.6,,
,,,,,,,,361,10486.4,,
,,,,,,,,362,10195.2,,
,,,,,,,,363,10078.4,,
,,,,,,,,364,10083.2,,
,,,,,,,,365,10316,,
,,,,,,,,366,10924.8,,
,,,,,,,,367,11930.4,,
,,,,,,,,368,12671.2,,
,,,,,,,,369,13180.8,,
,,,,,,,,370,13465.6,,
,,,,,,,,371,13574.4,,
,,,,,,,,372,13466.4,,
,,,,,,,,373,13249.6,,
,,,,,,,,374,13099.2,,
,,,,,,,,375,12933.6,,
,,,,,,,,376,12959.2,,
,,,,,,,,377,13618.4,,
,,,,,,,,378,14497.6,,
,,,,,,,,379,14337.6,,
,,,,,,,,380,13904,,
,,,,,,,,381,13272,,
,,,,,,,,382,12363.2,,
,,,,,,,,383,11273.6,,
,,,,,,,,384,10270.4,,
,,,,,,,,385,9580,,
,,,,,,,,386,9191.2,,
,,,,,,,,387,9016,,
,,,,,,,,388,8969.6,,
,,,,,,,,389,9196,,
,,,,,,,,390,9976.8,,
,,,,,,,,391,11395.2,,
,,,,,,,,392,12226.4,,
,,,,,,,,393,12349.6,,
,,,,,,,,394,12353.6,,
,,,,,,,,395,12345.6,,
,,,,,,,,396,12297.6,,
,,,,,,,,397,12232.8,,
,,,,,,,,398,12218.4,,
,,,,,,,,399,12176.8,,
,,,,,,,,400,12294.4,,
,,,,,,,,401,12976.8,,
,,,,,,,,402,13639.2,,
,,,,,,,,403,13448.8,,
,,,,,,,,404,13044,,
,,,,,,,,405,12440.8,,
,,,,,,,,406,11540,,
,,,,,,,,407,10416.8,,
,,,,,,,,408,9407.2,,
,,,,,,,,409,8728,,
,,,,,,,,410,8380.8,,
,,,,,,,,411,8201.6,,
,,,,,,,,412,8180.8,,
,,,,,,,,413,8449.6,,
,,,,,,,,414,9321.6,,
,,,,,,,,415,10921.6,,
,,,,,,,,416,11758.4,,
,,,,,,,,417,11845.6,,
,,,,,,,,418,11917.6,,
,,,,,,,,419,12009.6,,
,,,,,,,,420,12016,,
,,,,,,,,421,11960.8,,
,,,,,,,,422,11947.2,,
,,,,,,,,423,11889.6,,
,,,,,,,,424,11989.6,,
,,,,,,,,425,12703.2,,
,,,,,,,,426,13903.2,,
,,,,,,,,427,14004.8,,
,,,,,,,,428,13760.8,,
,,,,,,,,429,13287.2,,
,,,,,,,,430,12484.8,,
,,,,,,,,431,11461.6,,
,,,,,,,,432,10520.8,,
,,,,,,,,433,9935.2,,
,,,,,,,,434,9655.2,,
,,,,,,,,435,9539.2,,
,,,,,,,,436,9560.8,,
,,,,,,,,437,9864,,
,,,,,,,,438,10745.6,,
,,,,,,,,439,12352.8,,
,,,,,,,,440,13196,,
,,,,,,,,441,13232.8,,
,,,,,,,,442,13166.4,,
,,,,,,,,443,13094.4,,
,,,,,,,,444,12931.2,,
,,,,,,,,445,12728.8,,
,,,,,,,,446,12601.6,,
,,,,,,,,447,12452,,
,,,,,,,,448,12537.6,,
,,,,,,,,449,13169.6,,
,,,,,,,,450,14051.2,,
,,,,,,,,451,14025.6,,
,,,,,,,,452,13784,,
,,,,,,,,453,13230.4,,
,,,,,,,,454,12359.2,,
,,,,,,,,455,11261.6,,
,,,,,,,,456,10267.2,,
,,,,,,,,457,9594.4,,
,,,,,,,,458,9215.2,,
,,,,,,,,459,9039.2,,
,,,,,,,,460,9001.6,,
,,,,,,,,461,9273.6,,
,,,,,,,,462,10085.6,,
,,,,,,,,463,11589.6,,
,,,,,,,,464,12388.8,,
,,,,,,,,465,12478.4,,
,,,,,,,,466,12515.2,,
,,,,,,,,467,12550.4,,
,,,,,,,,468,12499.2,,
,,,,,,,,469,12359.2,,
,,,,,,,,470,12269.6,,
,,,,,,,,471,12121.6,,
,,,,,,,,472,12142.4,,
,,,,,,,,473,12681.6,,
,,,,,,,,474,13680,,
,,,,,,,,475,13627.2,,
,,,,,,,,476,13292.8,,
,,,,,,,,477,12860,,
,,,,,,,,478,12240.8,,
,,,,,,,,479,11396.8,,
,,,,,,,,480,10513.6,,
,,,,,,,,481,9885.6,,
,,,,,,,,482,9532,,
,,,,,,,,483,9316,,
,,,,,,,,484,9232,,
,,,,,,,,485,9311.2,,
,,,,,,,,486,9612.8,,
,,,,,,,,487,10207.2,,
,,,,,,,,488,10915.2,,
,,,,,,,,489,11705.6,,
,,,,,,,,490,12392.8,,
,,,,,,,,491,12816.8,,
,,,,,,,,492,12997.6,,
,,,,,,,,493,12996.8,,
,,,,,,,,494,12831.2,,
,,,,,,,,495,12622.4,,
,,,,,,,,496,12532.8,,
,,,,,,,,497,13012,,
,,,,,,,,498,13833.6,,
,,,,,,,,499,13691.2,,
,,,,,,,,500,13216.8,,
,,,,,,,,501,12728,,
,,,,,,,,502,12096,,
,,,,,,,,503,11320,,
,,,,,,,,504,10560,,
,,,,,,,,505,9966.4,,
,,,,,,,,506,9640,,
,,,,,,,,507,9481.6,,
,,,,,,,,508,9413.6,,
,,,,,,,,509,9476,,
,,,,,,,,510,9733.6,,
,,,,,,,,511,10192,,
,,,,,,,,512,10692,,
,,,,,,,,513,11354.4,,
,,,,,,,,514,11763.2,,
,,,,,,,,515,11924.8,,
,,,,,,,,516,11921.6,,
,,,,,,,,517,11850.4,,
,,,,,,,,518,11760.8,,
,,,,,,,,519,11725.6,,
,,,,,,,,520,11746.4,,
,,,,,,,,521,12294.4,,
,,,,,,,,522,13112,,
,,,,,,,,523,13116.8,,
,,,,,,,,524,12877.6,,
,,,,,,,,525,12405.6,,
,,,,,,,,526,11628,,
,,,,,,,,527,10758.4,,
,,,,,,,,528,9876.8,,
,,,,,,,,529,9244,,
,,,,,,,,530,8920,,
,,,,,,,,531,8790.4,,
,,,,,,,,532,8797.6,,
,,,,,,,,533,9069.6,,
,,,,,,,,534,9900,,
,,,,,,,,535,11413.6,,
,,,,,,,,536,12263.2,,
,,,,,,,,537,12448,,
,,,,,,,,538,12550.4,,
,,,,,,,,539,12648.8,,
,,,,,,,,540,12629.6,,
,,,,,,,,541,12508,,
,,,,,,,,542,12423.2,,
,,,,,,,,543,12288.8,,
,,,,,,,,544,12294.4,,
,,,,,,,,545,12854.4,,
,,,,,,,,546,13672,,
,,,,,,,,547,13558.4,,
,,,,,,,,548,13128.8,,
,,,,,,,,549,12508.8,,
,,,,,,,,550,11599.2,,
,,,,,,,,551,10457.6,,
,,,,,,,,552,9424.8,,
,,,,,,,,553,8766.4,,
,,,,,,,,554,8350.4,,
,,,,,,,,555,8146.4,,
,,,,,,,,556,8094.4,,
,,,,,,,,557,8325.6,,
,,,,,,,,558,9093.6,,
,,,,,,,,559,10620.8,,
,,,,,,,,560,11464,,
,,,,,,,,561,11549.6,,
,,,,,,,,562,11501.6,,
,,,,,,,,563,11515.2,,
,,,,,,,,564,11467.2,,
,,,,,,,,565,11335.2,,
,,,,,,,,566,11249.6,,
,,,,,,,,567,11128,,
,,,,,,,,568,11137.6,,
,,,,,,,,569,11695.2,,
,,,,,,,,570,12720.8,,
,,,,,,,,571,12731.2,,
,,,,,,,,572,12428,,
,,,,,,,,573,11936,,
,,,,,,,,574,11120,,
,,,,,,,,575,10101.6,,
,,,,,,,,576,9148,,
,,,,,,,,577,8535.2,,
,,,,,,,,578,8226.4,,
,,,,,,,,579,8088.8,,
,,,,,,,,580,8096,,
,,,,,,,,581,8356,,
,,,,,,,,582,9198.4,,
,,,,,,,,583,10795.2,,
,,,,,,,,584,11686.4,,
,,,,,,,,585,11759.2,,
,,,,,,,,586,11826.4,,
,,,,,,,,587,11879.2,,
,,,,,,,,588,11848.8,,
,,,,,,,,589,11730.4,,
,,,,,,,,590,11666.4,,
,,,,,,,,591,11532.8,,
,,,,,,,,592,11514.4,,
,,,,,,,,593,12032.8,,
,,,,,,,,594,13165.6,,
,,,,,,,,595,13241.6,,
,,,,,,,,596,12940,,
,,,,,,,,597,12465.6,,
,,,,,,,,598,11615.2,,
,,,,,,,,599,10513.6,,
,,,,,,,,600,9537.6,,
,,,,,,,,601,8901.6,,
,,,,,,,,602,8576,,
,,,,,,,,603,8422.4,,
,,,,,,,,604,8416,,
,,,,,,,,605,8681.6,,
,,,,,,,,606,9490.4,,
,,,,,,,,607,11076,,
,,,,,,,,608,11924,,
,,,,,,,,609,11980.8,,
,,,,,,,,610,11944.8,,
,,,,,,,,611,11914.4,,
,,,,,,,,612,11836,,
,,,,,,,,613,11741.6,,
,,,,,,,,614,11732,,
,,,,,,,,615,11699.2,,
,,,,,,,,616,11789.6,,
,,,,,,,,617,12363.2,,
,,,,,,,,618,13264,,
,,,,,,,,619,13228.8,,
,,,,,,,,620,12924,,
,,,,,,,,621,12412,,
,,,,,,,,622,11592,,
,,,,,,,,623,10515.2,,
,,,,,,,,624,9551.2,,
,,,,,,,,625,8897.6,,
,,,,,,,,626,8524,,
,,,,,,,,627,8352.8,,
,,,,,,,,628,8292,,
,,,,,,,,629,8511.2,,
,,,,,,,,630,9261.6,,
,,,,,,,,631,10679.2,,
,,,,,,,,632,11640,,
,,,,,,,,633,11937.6,,
,,,,,,,,634,12132,,
,,,,,,,,635,12262.4,,
,,,,,,,,636,12304,,
,,,,,,,,637,12220,,
,,,,,,,,638,12123.2,,
,,,,,,,,639,11962.4,,
,,,,,,,,640,11908,,
,,,,,,,,641,12272,,
,,,,,,,,642,12802.4,,
,,,,,,,,643,12613.6,,
,,,,,,,,644,12188.8,,
,,,,,,,,645,11730.4,,
,,,,,,,,646,11111.2,,
,,,,,,,,647,10284,,
,,,,,,,,648,9447.2,,
,,,,,,,,649,8773.6,,
,,,,,,,,650,8368,,
,,,,,,,,651,8160,,
,,,,,,,,652,8083.2,,
,,,,,,,,653,8156.8,,
,,,,,,,,654,8498.4,,
,,,,,,,,655,9088,,
,,,,,,,,656,9717.6,,
,,,,,,,,657,10384.8,,
,,,,,,,,658,10812,,
,,,,,,,,659,11000.8,,
,,,,,,,,660,10895.2,,
,,,,,,,,661,10689.6,,
,,,,,,,,662,10410.4,,
,,,,,,,,663,10240,,
,,,,,,,,664,10243.2,,
,,,,,,,,665,10732.8,,
,,,,,,,,666,11763.2,,
,,,,,,,,667,11848.8,,
,,,,,,,,668,11502.4,,
,,,,,,,,669,11151.2,,
,,,,,,,,670,10614.4,,
,,,,,,,,671,9930.4,,
,,,,,,,,672,9200.8,,
,,,,,,,,673,8607.2,,
,,,,,,,,674,8252,,
,,,,,,,,675,8062.4,,
,,,,,,,,676,8000.8,,
,,,,,,,,677,8077.6,,
,,,,,,,,678,8318.4,,
,,,,,,,,679,8758.4,,
,,,,,,,,680,9202.4,,
,,,,,,,,681,9865.6,,
,,,,,,,,682,10316,,
,,,,,,,,683,10562.4,,
,,,,,,,,684,10648.8,,
,,,,,,,,685,10615.2,,
,,,,,,,,686,10507.2,,
,,,,,,,,687,10394.4,,
,,,,,,,,688,10439.2,,
,,,,,,,,689,11040.8,,
,,,,,,,,690,12264.8,,
,,,,,,,,691,12456,,
,,,,,,,,692,12161.6,,
,,,,,,,,693,11703.2,,
,,,,,,,,694,10964,,
,,,,,,,,695,10065.6,,
,,,,,,,,696,9231.2,,
,,,,,,,,697,8667.2,,
,,,,,,,,698,8388,,
,,,,,,,,699,8279.2,,
,,,,,,,,700,8312,,
,,,,,,,,701,8612,,
,,,,,,,,702,9461.6,,
,,,,,,,,703,11064,,
,,,,,,,,704,11921.6,,
,,,,,,,,705,12035.2,,
,,,,,,,,706,12136.8,,
,,,,,,,,707,12128,,
,,,,,,,,708,12074.4,,
,,,,,,,,709,11980.8,,
,,,,,,,,710,11891.2,,
,,,,,,,,711,11765.6,,
,,,,,,,,712,11807.2,,
,,,,,,,,713,12304,,
,,,,,,,,714,13474.4,,
,,,,,,,,715,13621.6,,
,,,,,,,,716,13300,,
,,,,,,,,717,12801.6,,
,,,,,,,,718,11927.2,,
,,,,,,,,719,10816.8,,
,,,,,,,,720,9819.2,,
,,,,,,,,721,9196,,
,,,,,,,,722,8855.2,,
,,,,,,,,723,8690.4,,
,,,,,,,,724,8675.2,,
,,,,,,,,725,8925.6,,
,,,,,,,,726,9733.6,,
,,,,,,,,727,11272.8,,
,,,,,,,,728,12125.6,,
,,,,,,,,729,12208,,
,,,,,,,,730,12195.2,,
,,,,,,,,731,12136.8,,
,,,,,,,,732,11997.6,,
,,,,,,,,733,11792,,
,,,,,,,,734,11625.6,,
,,,,,,,,735,11430.4,,
,,,,,,,,736,11364,,
,,,,,,,,737,11754.4,,
,,,,,,,,738,12847.2,,
,,,,,,,,739,12993.6,,
,,,,,,,,740,12681.6,,
,,,,,,,,741,12164.8,,
,,,,,,,,742,11342.4,,
,,,,,,,,743,10255.2,,
,,,,,,,,744,9287.2,,
,,,,,,,,745,8664,,
,,,,,,,,746,8320.8,,
,,,,,,,,747,8156,,
,,,,,,,,748,8156.8,,
,,,,,,,,749,8386.4,,
,,,,,,,,750,9208.8,,
,,,,,,,,751,10746.4,,
,,,,,,,,752,11634.4,,
,,,,,,,,753,11722.4,,
,,,,,,,,754,11730.4,,
,,,,,,,,755,11721.6,,
,,,,,,,,756,11697.6,,
