Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1,1,2000,1,8760,8760,1,5581
,2,0.9,0.04,1800,,,,2,5278
,3,0.55,0.024,1100,,,,3,5052.5
,4,0.2,0.003,400,,,,4,4939
,,,,,,,,5,4921.5
,,,,,,,,6,5008.5
,,,,,,,,7,5195
,,,,,,,,8,5363.5
,,,,,,,,9,5649
,,,,,,,,10,5929.5
,,,,,,,,11,6098
,,,,,,,,12,6160.5
,,,,,,,,13,6190.5
,,,,,,,,14,6135
,,,,,,,,15,6074.5
,,,,,,,,16,6109.5
,,,,,,,,17,6705
,,,,,,,,18,7269.5
,,,,,,,,19,7227
,,,,,,,,20,7006
,,,,,,,,21,6747
,,,,,,,,22,6386
,,,,,,,,23,5938.5
,,,,,,,,24,5437
,,,,,,,,25,5012.5
,,,,,,,,26,4755.5
,,,,,,,,27,4632
,,,,,,,,28,4604
,,,,,,,,29,4705
,,,,,,,,30,4962
,,,,,,,,31,5348
,,,,,,,,32,5664.5
,,,,,,,,33,6052.5
,,,,,,,,34,6449.5
,,,,,,,,35,6741
,,,,,,,,36,6860.5
,,,,,,,,37,6849.5
,,,,,,,,38,6805.5
,,,,,,,,39,6784
,,,,,,,,40,6887
,,,,,,,,41,7533
,,,,,,,,42,8187
,,,,,,,,43,8115
,,,,,,,,44,7919
,,,,,,,,45,7598.5
,,,,,,,,46,7094.5
,,,,,,,,47,6470
,,,,,,,,48,5904
,,,,,,,,49,5528.5
,,,,,,,,50,5341
,,,,,,,,51,5251
,,,,,,,,52,5262
,,,,,,,,53,5450.5
,,,,,,,,54,6010.5
,,,,,,,,55,7001.5
,,,,,,,,56,7556.5
,,,,,,,,57,7650.5
,,,,,,,,58,7703
,,,,,,,,59,7772
,,,,,,,,60,7785
,,,,,,,,61,7753.5
,,,,,,,,62,7742.5
,,,,,,,,63,7713
,,,,,,,,64,7819.5
,,,,,,,,65,8430
,,,,,,,,66,9097.5
,,,,,,,,67,9115
,,,,,,,,68,8962
,,,,,,,,69,8670.5
,,,,,,,,70,8159
,,,,,,,,71,7476
,,,,,,,,72,6878
,,,,,,,,73,6506
,,,,,,,,74,6310.5
,,,,,,,,75,6211
,,,,,,,,76,6222
