Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1,1,2000,1,8760,8760,1,8371.5
,2,0.9,0.04,1800,,,,2,7917
,3,0.55,0.024,1100,,,,3,7578.75
,4,0.2,0.003,400,,,,4,7408.5
,,,,,,,,5,7382.25
,,,,,,,,6,7512.75
,,,,,,,,7,7792.5
,,,,,,,,8,8045.25
,,,,,,,,9,8473.5
,,,,,,,,10,8894.25
,,,,,,,,11,9147
,,,,,,,,12,9240.75
,,,,,,,,13,9285.75
,,,,,,,,14,9202.5
,,,,,,,,15,9111.75
,,,,,,,,16,9164.25
,,,,,,,,17,10057.5
,,,,,,,,18,10904.25
,,,,,,,,19,10840.5
,,,,,,,,20,10509
,,,,,,,,21,10120.5
,,,,,,,,22,9579
,,,,,,,,23,8907.75
,,,,,,,,24,8155.5
,,,,,,,,25,7518.75
,,,,,,,,26,7133.25
,,,,,,,,27,6948
,,,,,,,,28,6906
,,,,,,,,29,7057.5
,,,,,,,,30,7443
,,,,,,,,31,8022
,,,,,,,,32,8496.75
,,,,,,,,33,9078.75
,,,,,,,,34,9674.25
,,,,,,,,35,10111.5
,,,,,,,,36,10290.75
,,,,,,,,37,10274.25
,,,,,,,,38,10208.25
,,,,,,,,39,10176
,,,,,,,,40,10330.5
,,,,,,,,41,11299.5
,,,,,,,,42,12280.5
,,,,,,,,43,12172.5
,,,,,,,,44,11878.5
,,,,,,,,45,11397.75
,,,,,,,,46,10641.75
,,,,,,,,47,9705
,,,,,,,,48,8856
,,,,,,,,49,8292.75
,,,,,,,,50,8011.5
,,,,,,,,51,7876.5
,,,,,,,,52,7893
,,,,,,,,53,8175.75
,,,,,,,,54,9015.75
,,,,,,,,55,10502.25
,,,,,,,,56,11334.75
,,,,,,,,57,11475.75
,,,,,,,,58,11554.5
,,,,,,,,59,11658
,,,,,,,,60,11677.5
,,,,,,,,61,11630.25
,,,,,,,,62,11613.75
,,,,,,,,63,11569.5
,,,,,,,,64,11729.25
,,,,,,,,65,12645
,,,,,,,,66,13646.25
,,,,,,,,67,13672.5
,,,,,,,,68,13443
,,,,,,,,69,13005.75
,,,,,,,,70,12238.5
,,,,,,,,71,11214
,,,,,,,,72,10317
,,,,,,,,73,9759
,,,,,,,,74,9465.75
,,,,,,,,75,9316.5
,,,,,,,,76,9333
,,,,,,,,77,9588
,,,,,,,,78,10380
,,,,,,,,79,11820.75
,,,,,,,,80,12605.25
,,,,,,,,81,12621
,,,,,,,,82,12587.25
,,,,,,,,83,12558.75
,,,,,,,,84,12435.75
,,,,,,,,85,12258
,,,,,,,,86,12153
,,,,,,,,87,12057
,,,,,,,,88,12181.5
,,,,,,,,89,13033.5
,,,,,,,,90,13726.5
,,,,,,,,91,13620
,,,,,,,,92,13302.75
,,,,,,,,93,12793.5
,,,,,,,,94,11952
,,,,,,,,95,10879.5
,,,,,,,,96,9886.5
,,,,,,,,97,9252
,,,,,,,,98,8913.75
,,,,,,,,99,8742
,,,,,,,,100,8711.25
,,,,,,,,101,8934.75
,,,,,,,,102,9667.5
,,,,,,,,103,11060.25
,,,,,,,,104,11876.25
,,,,,,,,105,11963.25
,,,,,,,,106,12015.75
,,,,,,,,107,11961.75
,,,,,,,,108,11794.5
,,,,,,,,109,11648.25
,,,,,,,,110,11591.25
,,,,,,,,111,11499.75
,,,,,,,,112,11574
,,,,,,,,113,12309
,,,,,,,,114,13113.75
,,,,,,,,115,13066.5
,,,,,,,,116,12769.5
,,,,,,,,117,12292.5
,,,,,,,,118,11505
,,,,,,,,119,10445.25
,,,,,,,,120,9531
,,,,,,,,121,8931.75
,,,,,,,,122,8607
,,,,,,,,123,8440.5
,,,,,,,,124,8399.25
,,,,,,,,125,8604
,,,,,,,,126,9331.5
,,,,,,,,127,10698.75
,,,,,,,,128,11518.5
,,,,,,,,129,11613
,,,,,,,,130,11625
,,,,,,,,131,11574
,,,,,,,,132,11402.25
,,,,,,,,133,11214
,,,,,,,,134,11115
,,,,,,,,135,10960.5
,,,,,,,,136,11013.75
,,,,,,,,137,11655.75
,,,,,,,,138,12271.5
,,,,,,,,139,12075
,,,,,,,,140,11726.25
,,,,,,,,141,11262.75
,,,,,,,,142,10659
,,,,,,,,143,9837
,,,,,,,,144,8992.5
,,,,,,,,145,8339.25
,,,,,,,,146,7977
,,,,,,,,147,7779.75
,,,,,,,,148,7701
,,,,,,,,149,7777.5
,,,,,,,,150,8073.75
,,,,,,,,151,8608.5
,,,,,,,,152,9172.5
,,,,,,,,153,9750.75
,,,,,,,,154,10099.5
,,,,,,,,155,10197.75
,,,,,,,,156,10116
,,,,,,,,157,9930
,,,,,,,,158,9720
,,,,,,,,159,9573
,,,,,,,,160,9674.25
,,,,,,,,161,10383
,,,,,,,,162,11093.25
,,,,,,,,163,10963.5
,,,,,,,,164,10611.75
,,,,,,,,165,10278
,,,,,,,,166,9797.25
,,,,,,,,167,9168
,,,,,,,,168,8476.5
,,,,,,,,169,7896
,,,,,,,,170,7559.25
,,,,,,,,171,7360.5
,,,,,,,,172,7307.25
,,,,,,,,173,7362.75
,,,,,,,,174,7577.25
,,,,,,,,175,7991.25
,,,,,,,,176,8425.5
,,,,,,,,177,9030
,,,,,,,,178,9498
,,,,,,,,179,9793.5
,,,,,,,,180,9978
,,,,,,,,181,10009.5
,,,,,,,,182,9953.25
,,,,,,,,183,9918.75
,,,,,,,,184,10058.25
,,,,,,,,185,10920.75
,,,,,,,,186,11817.75
,,,,,,,,187,11799.75
,,,,,,,,188,11494.5
,,,,,,,,189,11095.5
,,,,,,,,190,10441.5
,,,,,,,,191,9579.75
,,,,,,,,192,8826
,,,,,,,,193,8331.75
,,,,,,,,194,8094.75
,,,,,,,,195,8006.25
,,,,,,,,196,8036.25
,,,,,,,,197,8327.25
,,,,,,,,198,9162.75
,,,,,,,,199,10667.25
,,,,,,,,200,11537.25
,,,,,,,,201,11622
,,,,,,,,202,11633.25
,,,,,,,,203,11628
,,,,,,,,204,11528.25
,,,,,,,,205,11333.25
,,,,,,,,206,11211.75
,,,,,,,,207,11055
,,,,,,,,208,11091.75
,,,,,,,,209,11838.75
,,,,,,,,210,12844.5
,,,,,,,,211,12813
,,,,,,,,212,12469.5
,,,,,,,,213,11970
,,,,,,,,214,11147.25
,,,,,,,,215,10098.75
,,,,,,,,216,9171
,,,,,,,,217,8562.75
,,,,,,,,218,8259
,,,,,,,,219,8093.25
,,,,,,,,220,8081.25
,,,,,,,,221,8315.25
,,,,,,,,222,9087
,,,,,,,,223,10550.25
,,,,,,,,224,11332.5
,,,,,,,,225,11373.75
,,,,,,,,226,11430.75
,,,,,,,,227,11435.25
,,,,,,,,228,11325
,,,,,,,,229,11138.25
,,,,,,,,230,11043
,,,,,,,,231,10943.25
,,,,,,,,232,11017.5
,,,,,,,,233,11739.75
,,,,,,,,234,12559.5
,,,,,,,,235,12468
,,,,,,,,236,12159
,,,,,,,,237,11702.25
,,,,,,,,238,10931.25
,,,,,,,,239,9914.25
,,,,,,,,240,9030
,,,,,,,,241,8470.5
,,,,,,,,242,8189.25
,,,,,,,,243,8059.5
,,,,,,,,244,8096.25
,,,,,,,,245,8349.75
,,,,,,,,246,9184.5
,,,,,,,,247,10656
,,,,,,,,248,11434.5
,,,,,,,,249,11435.25
,,,,,,,,250,11367
,,,,,,,,251,11326.5
,,,,,,,,252,11235.75
,,,,,,,,253,11077.5
,,,,,,,,254,11014.5
,,,,,,,,255,10908.75
,,,,,,,,256,10983
,,,,,,,,257,11693.25
,,,,,,,,258,12564
,,,,,,,,259,12516.75
,,,,,,,,260,12208.5
,,,,,,,,261,11740.5
,,,,,,,,262,10936.5
,,,,,,,,263,9891.75
,,,,,,,,264,8970
,,,,,,,,265,8362.5
,,,,,,,,266,8028.75
,,,,,,,,267,7871.25
,,,,,,,,268,7867.5
,,,,,,,,269,8112
,,,,,,,,270,8874.75
,,,,,,,,271,10246.5
,,,,,,,,272,11194.5
,,,,,,,,273,11457
,,,,,,,,274,11645.25
,,,,,,,,275,11808
,,,,,,,,276,11850
,,,,,,,,277,11803.5
,,,,,,,,278,11751
,,,,,,,,279,11595
,,,,,,,,280,11568
,,,,,,,,281,12120
,,,,,,,,282,12745.5
,,,,,,,,283,12615.75
,,,,,,,,284,12241.5
,,,,,,,,285,11727
,,,,,,,,286,10902.75
,,,,,,,,287,9865.5
,,,,,,,,288,8963.25
,,,,,,,,289,8330.25
,,,,,,,,290,8011.5
,,,,,,,,291,7860
,,,,,,,,292,7832.25
,,,,,,,,293,8043
,,,,,,,,294,8763
,,,,,,,,295,10131.75
,,,,,,,,296,11026.5
,,,,,,,,297,11201.25
,,,,,,,,298,11248.5
,,,,,,,,299,11263.5
,,,,,,,,300,11214.75
,,,,,,,,301,11112.75
,,,,,,,,302,11067.75
,,,,,,,,303,11025.75
,,,,,,,,304,11185.5
,,,,,,,,305,11881.5
,,,,,,,,306,12579
,,,,,,,,307,12465
,,,,,,,,308,12146.25
,,,,,,,,309,11742
,,,,,,,,310,11139
,,,,,,,,311,10330.5
,,,,,,,,312,9523.5
,,,,,,,,313,8895
,,,,,,,,314,8527.5
,,,,,,,,315,8321.25
,,,,,,,,316,8256
,,,,,,,,317,8342.25
,,,,,,,,318,8635.5
,,,,,,,,319,9183
,,,,,,,,320,9734.25
,,,,,,,,321,10358.25
,,,,,,,,322,10848.75
