Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,213,3990
,,,,,,,,214,3715.75
,,,,,,,,215,3366.25
,,,,,,,,216,3057
,,,,,,,,217,2854.25
,,,,,,,,218,2753
,,,,,,,,219,2697.75
,,,,,,,,220,2693.75
,,,,,,,,221,2771.75
,,,,,,,,222,3029
,,,,,,,,223,3516.75
,,,,,,,,224,3777.5
,,,,,,,,225,3791.25
,,,,,,,,226,3810.25
,,,,,,,,227,3811.75
,,,,,,,,228,3775
,,,,,,,,229,3712.75
,,,,,,,,230,3681
,,,,,,,,231,3647.75
,,,,,,,,232,3672.5
,,,,,,,,233,3913.25
,,,,,,,,234,4186.5
,,,,,,,,235,4156
,,,,,,,,236,4053
,,,,,,,,237,3900.75
,,,,,,,,238,3643.75
,,,,,,,,239,3304.75
,,,,,,,,240,3010
,,,,,,,,241,2823.5
,,,,,,,,242,2729.75
,,,,,,,,243,2686.5
,,,,,,,,244,2698.75
,,,,,,,,245,2783.25
,,,,,,,,246,3061.5
,,,,,,,,247,3552
,,,,,,,,248,3811.5
,,,,,,,,249,3811.75
,,,,,,,,250,3789
,,,,,,,,251,3775.5
,,,,,,,,252,3745.25
,,,,,,,,253,3692.5
,,,,,,,,254,3671.5
,,,,,,,,255,3636.25
,,,,,,,,256,3661
,,,,,,,,257,3897.75
,,,,,,,,258,4188
,,,,,,,,259,4172.25
,,,,,,,,260,4069.5
,,,,,,,,261,3913.5
,,,,,,,,262,3645.5
,,,,,,,,263,3297.25
,,,,,,,,264,2990
,,,,,,,,265,2787.5
,,,,,,,,266,2676.25
,,,,,,,,267,2623.75
,,,,,,,,268,2622.5
,,,,,,,,269,2704
,,,,,,,,270,2958.25
,,,,,,,,271,3415.5
,,,,,,,,272,3731.5
,,,,,,,,273,3819
,,,,,,,,274,3881.75
,,,,,,,,275,3936
,,,,,,,,276,3950
,,,,,,,,277,3934.5
,,,,,,,,278,3917
,,,,,,,,279,3865
,,,,,,,,280,3856
,,,,,,,,281,4040
,,,,,,,,282,4248.5
,,,,,,,,283,4205.25
,,,,,,,,284,4080.5
,,,,,,,,285,3909
,,,,,,,,286,3634.25
,,,,,,,,287,3288.5
,,,,,,,,288,2987.75
,,,,,,,,289,2776.75
,,,,,,,,290,2670.5
,,,,,,,,291,2620
,,,,,,,,292,2610.75
,,,,,,,,293,2681
,,,,,,,,294,2921
,,,,,,,,295,3377.25
,,,,,,,,296,3675.5
,,,,,,,,297,3733.75
,,,,,,,,298,3749.5
,,,,,,,,299,3754.5
,,,,,,,,300,3738.25
,,,,,,,,301,3704.25
,,,,,,,,302,3689.25
,,,,,,,,303,3675.25
,,,,,,,,304,3728.5
,,,,,,,,305,3960.5
,,,,,,,,306,4193
,,,,,,,,307,4155
,,,,,,,,308,4048.75
,,,,,,,,309,3914
,,,,,,,,310,3713
,,,,,,,,311,3443.5
,,,,,,,,312,3174.5
,,,,,,,,313,2965
,,,,,,,,314,2842.5
,,,,,,,,315,2773.75
,,,,,,,,316,2752
,,,,,,,,317,2780.75
,,,,,,,,318,2878.5
,,,,,,,,319,3061
,,,,,,,,320,3244.75
,,,,,,,,321,3452.75
,,,,,,,,322,3616.25
,,,,,,,,323,3685.25
,,,,,,,,324,3662
,,,,,,,,325,3604
,,,,,,,,326,3536.25
,,,,,,,,327,3504.25
,,,,,,,,328,3532.75
,,,,,,,,329,3763.25
,,,,,,,,330,4077.5
,,,,,,,,331,4076.5
,,,,,,,,332,3985
,,,,,,,,333,3859.5
,,,,,,,,334,3706.75
,,,,,,,,335,3525
,,,,,,,,336,3313.5
,,,,,,,,337,3114.5
,,,,,,,,338,2995.25
,,,,,,,,339,2947
,,,,,,,,340,2941.25
,,,,,,,,341,2974
,,,,,,,,342,3057
,,,,,,,,343,3200
,,,,,,,,344,3354.25
,,,,,,,,345,3572.25
,,,,,,,,346,3736
,,,,,,,,347,3825.5
,,,,,,,,348,3855.5
,,,,,,,,349,3852.5
,,,,,,,,350,3813.5
,,,,,,,,351,3790
,,,,,,,,352,3820.25
,,,,,,,,353,4067.75
,,,,,,,,354,4391.25
,,,,,,,,355,4396.5
,,,,,,,,356,4274.5
,,,,,,,,357,4152
,,,,,,,,358,3945.25
,,,,,,,,359,3698
,,,,,,,,360,3450.5
,,,,,,,,361,3277
,,,,,,,,362,3186
,,,,,,,,363,3149.5
,,,,,,,,364,3151
,,,,,,,,365,3223.75
,,,,,,,,366,3414
,,,,,,,,367,3728.25
,,,,,,,,368,3959.75
,,,,,,,,369,4119
,,,,,,,,370,4208
,,,,,,,,371,4242
,,,,,,,,372,4208.25
,,,,,,,,373,4140.5
,,,,,,,,374,4093.5
,,,,,,,,375,4041.75
,,,,,,,,376,4049.75
,,,,,,,,377,4255.75
,,,,,,,,378,4530.5
