Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1,1,2000,1,8760,8760,1,1674.3
,2,0.9,0.04,1800,,,,2,1583.4
,3,0.55,0.024,1100,,,,3,1515.75
,4,0.2,0.003,400,,,,4,1481.7
,,,,,,,,5,1476.45
,,,,,,,,6,1502.55
,,,,,,,,7,1558.5
,,,,,,,,8,1609.05
,,,,,,,,9,1694.7
,,,,,,,,10,1778.85
,,,,,,,,11,1829.4
,,,,,,,,12,1848.15
,,,,,,,,13,1857.15
,,,,,,,,14,1840.5
,,,,,,,,15,1822.35
,,,,,,,,16,1832.85
,,,,,,,,17,2011.5
,,,,,,,,18,2180.85
,,,,,,,,19,2168.1
,,,,,,,,20,2101.8
,,,,,,,,21,2024.1
,,,,,,,,22,1915.8
,,,,,,,,23,1781.55
,,,,,,,,24,1631.1
,,,,,,,,25,1503.75
,,,,,,,,26,1426.65
,,,,,,,,27,1389.6
,,,,,,,,28,1381.2
,,,,,,,,29,1411.5
,,,,,,,,30,1488.6
,,,,,,,,31,1604.4
,,,,,,,,32,1699.35
,,,,,,,,33,1815.75
,,,,,,,,34,1934.85
,,,,,,,,35,2022.3
,,,,,,,,36,2058.15
,,,,,,,,37,2054.85
,,,,,,,,38,2041.65
,,,,,,,,39,2035.2
,,,,,,,,40,2066.1
,,,,,,,,41,2259.9
,,,,,,,,42,2456.1
,,,,,,,,43,2434.5
,,,,,,,,44,2375.7
,,,,,,,,45,2279.55
,,,,,,,,46,2128.35
,,,,,,,,47,1941
,,,,,,,,48,1771.2
,,,,,,,,49,1658.55
,,,,,,,,50,1602.3
,,,,,,,,51,1575.3
,,,,,,,,52,1578.6
,,,,,,,,53,1635.15
,,,,,,,,54,1803.15
,,,,,,,,55,2100.45
,,,,,,,,56,2266.95
,,,,,,,,57,2295.15
,,,,,,,,58,2310.9
,,,,,,,,59,2331.6
,,,,,,,,60,2335.5
,,,,,,,,61,2326.05
,,,,,,,,62,2322.75
,,,,,,,,63,2313.9
,,,,,,,,64,2345.85
,,,,,,,,65,2529
,,,,,,,,66,2729.25
,,,,,,,,67,2734.5
,,,,,,,,68,2688.6
,,,,,,,,69,2601.15
,,,,,,,,70,2447.7
,,,,,,,,71,2242.8
,,,,,,,,72,2063.4
,,,,,,,,73,1951.8
,,,,,,,,74,1893.15
,,,,,,,,75,1863.3
,,,,,,,,76,1866.6
,,,,,,,,77,1917.6
,,,,,,,,78,2076
,,,,,,,,79,2364.15
,,,,,,,,80,2521.05
,,,,,,,,81,2524.2
,,,,,,,,82,2517.45
,,,,,,,,83,2511.75
,,,,,,,,84,2487.15
,,,,,,,,85,2451.6
,,,,,,,,86,2430.6
,,,,,,,,87,2411.4
,,,,,,,,88,2436.3
,,,,,,,,89,2606.7
,,,,,,,,90,2745.3
,,,,,,,,91,2724
,,,,,,,,92,2660.55
,,,,,,,,93,2558.7
,,,,,,,,94,2390.4
,,,,,,,,95,2175.9
,,,,,,,,96,1977.3
,,,,,,,,97,1850.4
,,,,,,,,98,1782.75
,,,,,,,,99,1748.4
,,,,,,,,100,1742.25
,,,,,,,,101,1786.95
,,,,,,,,102,1933.5
,,,,,,,,103,2212.05
,,,,,,,,104,2375.25
,,,,,,,,105,2392.65
,,,,,,,,106,2403.15
,,,,,,,,107,2392.35
,,,,,,,,108,2358.9
,,,,,,,,109,2329.65
,,,,,,,,110,2318.25
,,,,,,,,111,2299.95
,,,,,,,,112,2314.8
,,,,,,,,113,2461.8
,,,,,,,,114,2622.75
,,,,,,,,115,2613.3
,,,,,,,,116,2553.9
,,,,,,,,117,2458.5
,,,,,,,,118,2301
,,,,,,,,119,2089.05
,,,,,,,,120,1906.2
,,,,,,,,121,1786.35
,,,,,,,,122,1721.4
,,,,,,,,123,1688.1
,,,,,,,,124,1679.85
,,,,,,,,125,1720.8
,,,,,,,,126,1866.3
,,,,,,,,127,2139.75
,,,,,,,,128,2303.7
,,,,,,,,129,2322.6
,,,,,,,,130,2325
,,,,,,,,131,2314.8
,,,,,,,,132,2280.45
,,,,,,,,133,2242.8
,,,,,,,,134,2223
,,,,,,,,135,2192.1
,,,,,,,,136,2202.75
,,,,,,,,137,2331.15
,,,,,,,,138,2454.3
,,,,,,,,139,2415
,,,,,,,,140,2345.25
,,,,,,,,141,2252.55
,,,,,,,,142,2131.8
,,,,,,,,143,1967.4
,,,,,,,,144,1798.5
,,,,,,,,145,1667.85
,,,,,,,,146,1595.4
,,,,,,,,147,1555.95
,,,,,,,,148,1540.2
,,,,,,,,149,1555.5
,,,,,,,,150,1614.75
,,,,,,,,151,1721.7
,,,,,,,,152,1834.5
,,,,,,,,153,1950.15
,,,,,,,,154,2019.9
,,,,,,,,155,2039.55
,,,,,,,,156,2023.2
,,,,,,,,157,1986
,,,,,,,,158,1944
,,,,,,,,159,1914.6
,,,,,,,,160,1934.85
,,,,,,,,161,2076.6
,,,,,,,,162,2218.65
,,,,,,,,163,2192.7
,,,,,,,,164,2122.35
,,,,,,,,165,2055.6
,,,,,,,,166,1959.45
,,,,,,,,167,1833.6
,,,,,,,,168,1695.3
,,,,,,,,169,1579.2
,,,,,,,,170,1511.85
,,,,,,,,171,1472.1
,,,,,,,,172,1461.45
,,,,,,,,173,1472.55
,,,,,,,,174,1515.45
,,,,,,,,175,1598.25
,,,,,,,,176,1685.1
,,,,,,,,177,1806
,,,,,,,,178,1899.6
,,,,,,,,179,1958.7
,,,,,,,,180,1995.6
,,,,,,,,181,2001.9
,,,,,,,,182,1990.65
,,,,,,,,183,1983.75
,,,,,,,,184,2011.65
,,,,,,,,185,2184.15
,,,,,,,,186,2363.55
,,,,,,,,187,2359.95
,,,,,,,,188,2298.9
,,,,,,,,189,2219.1
,,,,,,,,190,2088.3
,,,,,,,,191,1915.95
,,,,,,,,192,1765.2
,,,,,,,,193,1666.35
,,,,,,,,194,1618.95
,,,,,,,,195,1601.25
,,,,,,,,196,1607.25
,,,,,,,,197,1665.45
,,,,,,,,198,1832.55
,,,,,,,,199,2133.45
,,,,,,,,200,2307.45
,,,,,,,,201,2324.4
,,,,,,,,202,2326.65
,,,,,,,,203,2325.6
,,,,,,,,204,2305.65
