Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
97,1,0,1,0.331693292,0,1,0.466347885,1,1,1
98,1,0,1,0.394305802,0,1,0.459645891,1,1,1
99,1,0,1,0.435120964,0,1,0.42830553,1,1,1
100,1,0,1,0.467275572,0,1,0.48142891,1,1,1
101,1,0,1,0.460317326,0,1,0.45693984,1,1,1
102,1,0,1,0.177871609,0,1,0.419482708,1,1,1
103,1,0,1,0.05079186,0,1,0.375984287,1,1,1
104,1,0,1,0.027861989,0,1,0.291717053,1,1,1
105,1,0.08264,1,0.02875728,0.09232,1,0.312914276,1,1,1
106,1,0.22432,1,0.135127497,0.23976,1,0.297647738,1,1,1
107,1,0.34976,1,0.095234579,0.39168,1,0.233626127,1,1,1
108,1,0.47304,1,0.046073967,0.4636,1,0.171951866,1,1,1
109,1,0.42792,1,0.067602009,0.44136,1,0.256168842,1,1,1
110,1,0.38832,1,0.199709964,0.35264,1,0.312798166,1,1,1
111,1,0.31784,1,0.280115127,0.32576,1,0.2973351,1,1,1
112,1,0.23584,1,0.593980217,0.24504,1,0.451571465,1,1,1
113,1,0.07176,1,0.69609685,0.08432,1,0.527824831,1,1,1
114,1,0,1,0.767044306,0,1,0.534676647,1,1,1
115,1,0,1,0.63926425,0,1,0.620739842,1,1,1
116,1,0,1,0.319831276,0,1,0.523732662,1,1,1
117,1,0,1,0.275025153,0,1,0.603824711,1,1,1
118,1,0,1,0.001852414,0,1,0.134152579,1,1,1
119,1,0,1,0.075862044,0,1,0.458650922,1,1,1
120,1,0,1,0.024853566,0,1,0.346929288,1,1,1
121,1,0,1,0.07807861,0,1,0.279835177,1,1,1
122,1,0,1,0.046515268,0,1,0.213210154,1,1,1
123,1,0,1,0.114340043,0,1,0.144181097,1,1,1
124,1,0,1,0.298939943,0,1,0.094988406,1,1,1
125,1,0,1,0.347322678,0,1,0.073525762,1,1,1
126,1,0,1,0.348711586,0,1,0.056262058,1,1,1
127,1,0,1,0.450867033,0,1,0.079939115,1,1,1
128,1,0,1,0.676379633,0,1,0.123580933,1,1,1
129,1,0.08184,1,0.555953502,0.1112,1,0.154947901,1,1,1
130,1,0.23512,1,0.66632123,0.32656,1,0.193896103,1,1,1
131,1,0.40288,1,0.627818203,0.45512,1,0.19686153,1,1,1
132,1,0.496,1,0.467659044,0.51088,1,0.189628339,1,1,1
133,1,0.47576,1,0.420844507,0.45992,1,0.181571078,1,1,1
134,1,0.34088,1,0.428071785,0.4456,1,0.207119274,1,1,1
135,1,0.29192,1,0.167133784,0.29792,1,0.156463969,1,1,1
136,1,0.15936,1,0.25603888,0.15488,1,0.30014863,1,1,1
137,1,0.01208,1,0.609745121,0.05632,1,0.327108145,1,1,1
138,1,0,1,0.774060058,0,1,0.342117786,1,1,1
139,1,0,1,0.757644654,0,1,0.342989397,1,1,1
140,1,0,1,0.738238669,0,1,0.331050539,1,1,1
141,1,0,1,0.785319805,0,1,0.283420229,1,1,1
142,1,0,1,0.789777231,0,1,0.268626213,1,1,1
143,1,0,1,0.778010798,0,1,0.335407305,1,1,1
144,1,0,1,0.737227726,0,1,0.299895334,1,1,1
145,1,0,1,0.754030228,0,1,0.240824699,1,1,1
146,1,0,1,0.753701449,0,1,0.260028124,1,1,1
147,1,0,1,0.592795134,0,1,0.310007406,1,1,1
148,1,0,1,0.454707384,0,1,0.349014759,1,1,1
149,1,0,1,0.203641558,0,1,0.327864766,1,1,1
150,1,0,1,0.070474398,0,1,0.289909625,1,1,1
151,1,0,1,0.122763538,0,1,0.266980242,1,1,1
152,1,0,1,0.100147354,0,1,0.22105484,1,1,1
153,1,0.15064,1,0.185851705,0.15104,1,0.12508558,1,1,1
154,1,0.32536,1,0.422134972,0.3344,1,0.077527798,1,1,1
155,1,0.43824,1,0.514470101,0.44672,1,0.065758086,1,1,1
156,1,0.51088,1,0.35538547,0.52344,1,0.075675869,1,1,1
157,1,0.52032,1,0.39762826,0.53608,1,0.082272386,1,1,1
158,1,0.50488,1,0.45191741,0.5176,1,0.084192366,1,1,1
159,1,0.40744,1,0.512576485,0.40992,1,0.054161882,1,1,1
160,1,0.2392,1,0.320719647,0.2528,1,0.112669658,1,1,1
161,1,0.04424,1,0.431153059,0.09184,1,0.12923603,1,1,1
162,1,0,1,0.738689614,0,1,0.134655964,1,1,1
163,1,0,1,0.67223382,0,1,0.198998308,1,1,1
164,1,0,1,0.194891691,0,1,0.285810518,1,1,1
165,1,0,1,0.514835167,0,1,0.326159787,1,1,1
166,1,0,1,0.63687005,0,1,0.447327518,1,1,1
167,1,0,1,0.722566652,0,1,0.584627486,1,1,1
168,1,0,1,0.748350573,0,1,0.603001118,1,1,1
169,1,0,1,0.798345661,0,1,0.655176735,1,1,1
170,1,0,1,0.78576665,0,1,0.579244995,1,1,1
171,1,0,1,0.78900795,0,1,0.573880958,1,1,1
172,1,0,1,0.795343446,0,1,0.578980922,1,1,1
173,1,0,1,0.77337985,0,1,0.578900385,1,1,1
174,1,0,1,0.750731421,0,1,0.5854177,1,1,1
175,1,0,1,0.655725002,0,1,0.632232475,1,1,1
176,1,0,1,0.64346838,0,1,0.443428421,1,1,1
177,1,0.16448,1,0.637220287,0.15712,1,0.493521977,1,1,1
178,1,0.32776,1,0.51807704,0.28,1,0.52778511,1,1,1
179,1,0.44672,1,0.643151998,0.32032,1,0.410391569,1,1,1
180,1,0.37248,1,0.65067811,0.43176,1,0.374398589,1,1,1
181,1,0.46416,1,0.628947735,0.46072,1,0.298630882,1,1,1
182,1,0.47712,1,0.647803878,0.4064,1,0.350407505,1,1,1
183,1,0.40888,1,0.73656869,0.38712,1,0.470213986,1,1,1
184,1,0.2884,1,0.339739895,0.27024,1,0.526452112,1,1,1
185,1,0.09616,1,0.538872099,0.10784,1,0.533068562,1,1,1
186,1,0,1,0.578072166,0,1,0.561998844,1,1,1
187,1,0,1,0.645626163,0,1,0.588271999,1,1,1
188,1,0,1,0.635470677,0,1,0.511833954,1,1,1
189,1,0,1,0.736693526,0,1,0.473670387,1,1,1
190,1,0,1,0.620725155,0,1,0.419058609,1,1,1
191,1,0,1,0.632093239,0,1,0.413562441,1,1,1
192,1,0,1,0.251186371,0,1,0.340136146,1,1,1
