Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1,0,1,0.284972489,0,1,0.460052014,1,1,1
2,1,0,1,0.311629445,0,1,0.44111684,1,1,1
3,1,0,1,0.347094208,0,1,0.447536975,1,1,1
4,1,0,1,0.323699832,0,1,0.43652454,1,1,1
5,1,0,1,0.190886766,0,1,0.415506125,1,1,1
6,1,0,1,0.122291439,0,1,0.388270796,1,1,1
7,1,0,1,0.146698386,0,1,0.352431387,1,1,1
8,1,0,1,0.189301595,0,1,0.32398054,1,1,1
9,1,0.08895,1,0.164669022,0.10015,1,0.263162375,1,1,1
10,1,0.2145,1,7.60E-06,0.21105,1,0.039600589,1,1,1
11,1,0.2874,1,2.28E-05,0.2887,1,0.012505425,1,1,1
12,1,0.3242,1,0.00028602,0.3252,1,0.003271897,1,1,1
13,1,0.3104,1,0.043400903,0.3083,1,0.006052242,1,1,1
14,1,0.298,1,0.170548812,0.31025,1,0.009484951,1,1,1
15,1,0.25065,1,0.163286463,0.2565,1,0.017403987,1,1,1
16,1,0.16555,1,0.192614645,0.16845,1,0.044681929,1,1,1
17,1,0.0321,1,0.129740685,0.0534,1,0.099465952,1,1,1
18,1,0,1,0.409157306,0,1,0.243024647,1,1,1
19,1,0,1,0.473687083,0,1,0.347870887,1,1,1
20,1,0,1,0.442095548,0,1,0.446509451,1,1,1
21,1,0,1,0.431587756,0,1,0.442321599,1,1,1
22,1,0,1,0.467575282,0,1,0.480567187,1,1,1
23,1,0,1,0.486701131,0,1,0.477876306,1,1,1
24,1,0,1,0.373044998,0,1,0.476189405,1,1,1
25,1,0,1,0.216532991,0,1,0.452653349,1,1,1
26,1,0,1,0.2517896,0,1,0.434059203,1,1,1
27,1,0,1,0.410358131,0,1,0.405100495,1,1,1
28,1,0,1,0.430992008,0,1,0.439078331,1,1,1
29,1,0,1,0.317818612,0,1,0.471960962,1,1,1
30,1,0,1,0.342414737,0,1,0.453860462,1,1,1
31,1,0,1,0.372794569,0,1,0.414169729,1,1,1
32,1,0,1,0.13873969,0,1,0.424833507,1,1,1
33,1,0.08,1,0.327538282,0.08075,1,0.453924597,1,1,1
34,1,0.1709,1,0.421985537,0.21315,1,0.482130111,1,1,1
35,1,0.2476,1,0.494829834,0.285,1,0.471378267,1,1,1
36,1,0.2827,1,0.497771919,0.3241,1,0.426540315,1,1,1
37,1,0.28565,1,0.5,0.3157,1,0.395912946,1,1,1
38,1,0.2707,1,0.5,0.27045,1,0.441051305,1,1,1
39,1,0.23385,1,0.499231965,0.21385,1,0.444142103,1,1,1
