Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1,0,1,0.142486245,0,1,0.69007802,1,1,1
2,1,0,1,0.155814722,0,1,0.661675259,1,1,1
3,1,0,1,0.173547104,0,1,0.671305463,1,1,1
4,1,0,1,0.161849916,0,1,0.65478681,1,1,1
5,1,0,1,0.095443383,0,1,0.623259187,1,1,1
6,1,0,1,0.061145719,0,1,0.582406193,1,1,1
7,1,0,1,0.073349193,0,1,0.52864708,1,1,1
8,1,0,1,0.094650798,0,1,0.48597081,1,1,1
9,1,0.133425,1,0.082334511,0.050075,1,0.394743562,1,1,1
10,1,0.32175,1,3.80E-06,0.105525,1,0.059400883,1,1,1
11,1,0.4311,1,1.14E-05,0.14435,1,0.018758138,1,1,1
12,1,0.4863,1,0.00014301,0.1626,1,0.004907845,1,1,1
13,1,0.4656,1,0.021700451,0.15415,1,0.009078362,1,1,1
14,1,0.447,1,0.085274406,0.155125,1,0.014227426,1,1,1
15,1,0.375975,1,0.081643231,0.12825,1,0.02610598,1,1,1
16,1,0.248325,1,0.096307323,0.084225,1,0.067022894,1,1,1
17,1,0.04815,1,0.064870343,0.0267,1,0.149198927,1,1,1
18,1,0,1,0.204578653,0,1,0.364536971,1,1,1
19,1,0,1,0.236843541,0,1,0.52180633,1,1,1
20,1,0,1,0.221047774,0,1,0.669764176,1,1,1
21,1,0,1,0.215793878,0,1,0.663482398,1,1,1
22,1,0,1,0.233787641,0,1,0.720850781,1,1,1
23,1,0,1,0.243350566,0,1,0.716814458,1,1,1
24,1,0,1,0.186522499,0,1,0.714284107,1,1,1
25,1,0,1,0.108266495,0,1,0.678980023,1,1,1
26,1,0,1,0.1258948,0,1,0.651088804,1,1,1
27,1,0,1,0.205179066,0,1,0.607650742,1,1,1
28,1,0,1,0.215496004,0,1,0.658617497,1,1,1
29,1,0,1,0.158909306,0,1,0.707941443,1,1,1
30,1,0,1,0.171207368,0,1,0.680790692,1,1,1
31,1,0,1,0.186397284,0,1,0.621254594,1,1,1
32,1,0,1,0.069369845,0,1,0.63725026,1,1,1
33,1,0.12,1,0.163769141,0.040375,1,0.680886895,1,1,1
34,1,0.25635,1,0.210992769,0.106575,1,0.723195166,1,1,1
35,1,0.3714,1,0.247414917,0.1425,1,0.707067401,1,1,1
36,1,0.42405,1,0.24888596,0.16205,1,0.639810473,1,1,1
37,1,0.428475,1,0.25,0.15785,1,0.593869418,1,1,1
38,1,0.40605,1,0.25,0.135225,1,0.661576957,1,1,1
39,1,0.350775,1,0.249615982,0.106925,1,0.666213155,1,1,1
40,1,0.239475,1,0.239366993,0.08505,1,0.674477622,1,1,1
41,1,0.075225,1,0.221222967,0.032525,1,0.688648135,1,1,1
42,1,0,1,0.174464688,0,1,0.588787928,1,1,1
43,1,0,1,0.133020863,0,1,0.637207657,1,1,1
44,1,0,1,0.044792201,0,1,0.668010995,1,1,1
45,1,0,1,0.115156233,0,1,0.671430856,1,1,1
46,1,0,1,0.143990353,0,1,0.631596833,1,1,1
