Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,192,39944,1775
,,,,,,,,193,37043,1646
,,,,,,,,194,35876,1594
,,,,,,,,195,34419,1529
,,,,,,,,196,33776,1501
,,,,,,,,197,33354,1482
,,,,,,,,198,33718,1498
,,,,,,,,199,35203,1564
,,,,,,,,200,36784,1634
,,,,,,,,201,40108,1782
,,,,,,,,202,42513,1889
,,,,,,,,203,46264,2056
,,,,,,,,204,48321,2147
,,,,,,,,205,54032,2401
,,,,,,,,206,53752,2389
,,,,,,,,207,52254,2322
,,,,,,,,208,49481,2199
,,,,,,,,209,49259,2189
,,,,,,,,210,48063,2136
,,,,,,,,211,48375,2150
,,,,,,,,212,49464,2198
,,,,,,,,213,48774,2167
,,,,,,,,214,47402,2106
,,,,,,,,215,46653,2073
,,,,,,,,216,44674,1985
,,,,,,,,217,41750,1855
,,,,,,,,218,38616,1716
,,,,,,,,219,37083,1648
,,,,,,,,220,35657,1584
,,,,,,,,221,35226,1565
,,,,,,,,222,35895,1595
,,,,,,,,223,39010,1733
,,,,,,,,224,40603,1804
,,,,,,,,225,44653,1984
,,,,,,,,226,47105,2093
,,,,,,,,227,50833,2259
,,,,,,,,228,52472,2332
,,,,,,,,229,58889,2617
,,,,,,,,230,57668,2563
,,,,,,,,231,55027,2445
,,,,,,,,232,51533,2290
,,,,,,,,233,51125,2272
,,,,,,,,234,48809,2169
,,,,,,,,235,48587,2159
,,,,,,,,236,50167,2229
,,,,,,,,237,49534,2201
,,,,,,,,238,48431,2152
,,,,,,,,239,47679,2119
,,,,,,,,240,45511,2022
,,,,,,,,241,42284,1879
,,,,,,,,242,40217,1787
,,,,,,,,243,39066,1736
,,,,,,,,244,37996,1688
,,,,,,,,245,37998,1688
,,,,,,,,246,39146,1739
,,,,,,,,247,41688,1852
,,,,,,,,248,44479,1976
,,,,,,,,249,47618,2116
,,,,,,,,250,48394,2150
,,,,,,,,251,49845,2215
,,,,,,,,252,49540,2201
,,,,,,,,253,53286,2368
,,,,,,,,254,51049,2268
,,,,,,,,255,47824,2125
,,,,,,,,256,44080,1959
,,,,,,,,257,43582,1937
,,,,,,,,258,41959,1864
,,,,,,,,259,41834,1859
,,,,,,,,260,44209,1964
,,,,,,,,261,44426,1974
,,,,,,,,262,44357,1971
,,,,,,,,263,44152,1962
,,,,,,,,264,42521,1889
,,,,,,,,265,39793,1768
,,,,,,,,266,34698,1542
,,,,,,,,267,33666,1496
,,,,,,,,268,32960,1464
,,,,,,,,269,33071,1469
,,,,,,,,270,34215,1520
,,,,,,,,271,41353,1837
,,,,,,,,272,43911,1951
,,,,,,,,273,47904,2129
,,,,,,,,274,50916,2262
,,,,,,,,275,54712,2431
,,,,,,,,276,56521,2512
,,,,,,,,277,63131,2805
,,,,,,,,278,62220,2765
,,,,,,,,279,59349,2637
,,,,,,,,280,56558,2513
,,,,,,,,281,56612,2516
,,,,,,,,282,54640,2428
,,,,,,,,283,54636,2428
,,,,,,,,284,57044,2535
,,,,,,,,285,55884,2483
,,,,,,,,286,54684,2430
,,,,,,,,287,54218,2409
,,,,,,,,288,52852,2349
,,,,,,,,289,49058,2180
,,,,,,,,290,46180,2052
,,,,,,,,291,45411,2018
,,,,,,,,292,44169,1963
,,,,,,,,293,44444,1975
,,,,,,,,294,45748,2033
,,,,,,,,295,49465,2198
,,,,,,,,296,49993,2221
,,,,,,,,297,53850,2393
,,,,,,,,298,56573,2514
,,,,,,,,299,58851,2615
,,,,,,,,300,58747,2611
,,,,,,,,301,65004,2889
,,,,,,,,302,62031,2756
,,,,,,,,303,57274,2545
,,,,,,,,304,52497,2333
,,,,,,,,305,51090,2270
,,,,,,,,306,47697,2119
,,,,,,,,307,46683,2074
,,,,,,,,308,48938,2175
,,,,,,,,309,48131,2139
,,,,,,,,310,47423,2107
,,,,,,,,311,47621,2116
,,,,,,,,312,46803,2080
,,,,,,,,313,43714,1942
,,,,,,,,314,39681,1763
,,,,,,,,315,38692,1719
,,,,,,,,316,37461,1664
,,,,,,,,317,38259,1700
,,,,,,,,318,39705,1764
,,,,,,,,319,43829,1947
,,,,,,,,320,44375,1972
,,,,,,,,321,48882,2172
,,,,,,,,322,51256,2278
,,,,,,,,323,53114,2360
,,,,,,,,324,52992,2355
,,,,,,,,325,57372,2549
,,,,,,,,326,54606,2426
,,,,,,,,327,52100,2315
,,,,,,,,328,49021,2178
,,,,,,,,329,47345,2104
,,,,,,,,330,42999,1911
,,,,,,,,331,41888,1861
,,,,,,,,332,44371,1972
,,,,,,,,333,42893,1906
,,,,,,,,334,42320,1880
,,,,,,,,335,42029,1867
,,,,,,,,336,41288,1835
,,,,,,,,337,38264,1700
,,,,,,,,338,35929,1596
,,,,,,,,339,34261,1522
,,,,,,,,340,33293,1479
,,,,,,,,341,33127,1472
,,,,,,,,342,34473,1532
,,,,,,,,343,37297,1657
,,,,,,,,344,38576,1714
,,,,,,,,345,42619,1894
,,,,,,,,346,45117,2005
,,,,,,,,347,47133,2094
,,,,,,,,348,47554,2113
,,,,,,,,349,51159,2273
,,,,,,,,350,49183,2185
,,,,,,,,351,47852,2126
,,,,,,,,352,46110,2049
,,,,,,,,353,44831,1992
,,,,,,,,354,41137,1828
,,,,,,,,355,40944,1819
,,,,,,,,356,43185,1919
,,,,,,,,357,41350,1837
,,,,,,,,358,40083,1781
,,,,,,,,359,39144,1739
,,,,,,,,360,37809,1680
,,,,,,,,361,34959,1553
,,,,,,,,362,35148,1562
,,,,,,,,363,33437,1486
,,,,,,,,364,32516,1445
,,,,,,,,365,31615,1405
,,,,,,,,366,31563,1402
,,,,,,,,367,31087,1381
,,,,,,,,368,32526,1445
,,,,,,,,369,35348,1571
,,,,,,,,370,37998,1688
,,,,,,,,371,42212,1876
,,,,,,,,372,44161,1962
,,,,,,,,373,47194,2097
,,,,,,,,374,46360,2060
,,,,,,,,375,44979,1999
,,,,,,,,376,42340,1881
,,,,,,,,377,42006,1866
,,,,,,,,378,41162,1829
,,,,,,,,379,41453,1842
,,,,,,,,380,43225,1921
,,,,,,,,381,43308,1924
,,,,,,,,382,42562,1891
,,,,,,,,383,41800,1857
,,,,,,,,384,39877,1772
,,,,,,,,385,37911,1684
,,,,,,,,386,35088,1559
,,,,,,,,387,33580,1492
,,,,,,,,388,32508,1444
,,,,,,,,389,31447,1397
,,,,,,,,390,30826,1370
,,,,,,,,391,32567,1447
,,,,,,,,392,34630,1539
,,,,,,,,393,36180,1608
,,,,,,,,394,37108,1649
,,,,,,,,395,39689,1763
,,,,,,,,396,40985,1821
,,,,,,,,397,44218,1965
,,,,,,,,398,44811,1991
,,,,,,,,399,43743,1944
,,,,,,,,400,41494,1844
,,,,,,,,401,41687,1852
,,,,,,,,402,41505,1844
,,,,,,,,403,42231,1876
,,,,,,,,404,45252,2011
,,,,,,,,405,46000,2044
,,,,,,,,406,45852,2037
,,,,,,,,407,45969,2043
,,,,,,,,408,44829,1992
,,,,,,,,409,43590,1937
,,,,,,,,410,40782,1812
,,,,,,,,411,39240,1744
,,,,,,,,412,37352,1660
,,,,,,,,413,36048,1602
,,,,,,,,414,35798,1591
,,,,,,,,415,39783,1768
,,,,,,,,416,42524,1889
,,,,,,,,417,46542,2068
,,,,,,,,418,48203,2142
,,,,,,,,419,49978,2221
,,,,,,,,420,50198,2231
,,,,,,,,421,54885,2439
,,,,,,,,422,53036,2357
,,,,,,,,423,50393,2239
,,,,,,,,424,47273,2101
,,,,,,,,425,46921,2085
,,,,,,,,426,45192,2008
,,,,,,,,427,44688,1986
,,,,,,,,428,47080,2092
,,,,,,,,429,46668,2074
,,,,,,,,430,45721,2032
,,,,,,,,431,45441,2019
,,,,,,,,432,43429,1930
,,,,,,,,433,40355,1793
,,,,,,,,434,39590,1759
,,,,,,,,435,38491,1710
,,,,,,,,436,36789,1635
,,,,,,,,437,36543,1624
,,,,,,,,438,37179,1652
,,,,,,,,439,37633,1672
,,,,,,,,440,40200,1786
,,,,,,,,441,43299,1924
,,,,,,,,442,44479,1976
,,,,,,,,443,47009,2089
,,,,,,,,444,47805,2124
,,,,,,,,445,51832,2303
,,,,,,,,446,50019,2223
