Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0
1,6.54,6.54,6.336,0
2,6.54,6.54,6.336,0
3,6.54,6.54,6.336,0
4,6.54,6.54,6.336,0
5,6.54,6.54,6.336,0
6,6.54,6.54,6.336,0
7,6.54,6.54,6.336,0
8,6.54,6.54,6.336,0
9,6.54,6.54,6.336,0
10,6.54,6.54,6.336,0
11,6.54,6.54,6.336,0
12,6.54,6.54,6.336,0
13,6.54,6.54,6.336,0
14,6.54,6.54,6.336,0
15,6.54,6.54,6.336,0
16,6.54,6.54,6.336,0
17,6.54,6.54,6.336,0
18,6.54,6.54,6.336,0
19,6.54,6.54,6.336,0
20,6.54,6.54,6.336,0
21,6.54,6.54,6.336,0
22,6.54,6.54,6.336,0
23,6.54,6.54,6.336,0
24,6.54,6.54,6.336,0
25,6.54,6.54,6.336,0
26,6.54,6.54,6.336,0
27,6.54,6.54,6.336,0
28,6.54,6.54,6.336,0
29,6.54,6.54,6.336,0
30,6.54,6.54,6.336,0
31,6.54,6.54,6.336,0
32,6.54,6.54,6.336,0
33,6.54,6.54,6.336,0
34,6.54,6.54,6.336,0
35,6.54,6.54,6.336,0
36,6.54,6.54,6.336,0
37,6.54,6.54,6.336,0
38,6.54,6.54,6.336,0
39,6.54,6.54,6.336,0
40,6.54,6.54,6.336,0
41,6.54,6.54,6.336,0
42,6.54,6.54,6.336,0
43,6.54,6.54,6.336,0
44,6.54,6.54,6.336,0
45,6.54,6.54,6.336,0
46,6.54,6.54,6.336,0
47,6.54,6.54,6.336,0
48,6.54,6.54,6.336,0
49,6.54,6.54,6.336,0
50,6.54,6.54,6.336,0
51,6.54,6.54,6.336,0
52,6.54,6.54,6.336,0
53,6.54,6.54,6.336,0
54,6.54,6.54,6.336,0
55,6.54,6.54,6.336,0
56,6.54,6.54,6.336,0
57,6.54,6.54,6.336,0
58,6.54,6.54,6.336,0
59,6.54,6.54,6.336,0
60,6.54,6.54,6.336,0
61,6.54,6.54,6.336,0
62,6.54,6.54,6.336,0
63,6.54,6.54,6.336,0
64,6.54,6.54,6.336,0
65,6.54,6.54,6.336,0
66,6.54,6.54,6.336,0
67,6.54,6.54,6.336,0
68,6.54,6.54,6.336,0
69,6.54,6.54,6.336,0
70,6.54,6.54,6.336,0
71,6.54,6.54,6.336,0
72,6.54,6.54,6.336,0
73,6.54,6.54,6.336,0
74,6.54,6.54,6.336,0
75,6.54,6.54,6.336,0
76,6.54,6.54,6.336,0
77,6.54,6.54,6.336,0
78,6.54,6.54,6.336,0
79,6.54,6.54,6.336,0
80,6.54,6.54,6.336,0
81,6.54,6.54,6.336,0
82,6.54,6.54,6.336,0
83,6.54,6.54,6.336,0
84,6.54,6.54,6.336,0
85,6.54,6.54,6.336,0
86,6.54,6.54,6.336,0
87,6.54,6.54,6.336,0
88,6.54,6.54,6.336,0
89,6.54,6.54,6.336,0
90,6.54,6.54,6.336,0
91,6.54,6.54,6.336,0
92,6.54,6.54,6.336,0
93,6.54,6.54,6.336,0
94,6.54,6.54,6.336,0
95,6.54,6.54,6.336,0
96,6.54,6.54,6.336,0
97,6.54,6.54,6.336,0
98,6.54,6.54,6.336,0
99,6.54,6.54,6.336,0
100,6.54,6.54,6.336,0
101,6.54,6.54,6.336,0
102,6.54,6.54,6.336,0
103,6.54,6.54,6.336,0
104,6.54,6.54,6.336,0
105,6.54,6.54,6.336,0
106,6.54,6.54,6.336,0
107,6.54,6.54,6.336,0
108,6.54,6.54,6.336,0
109,6.54,6.54,6.336,0
110,6.54,6.54,6.336,0
111,6.54,6.54,6.336,0
112,6.54,6.54,6.336,0
113,6.54,6.54,6.336,0
114,6.54,6.54,6.336,0
115,6.54,6.54,6.336,0
116,6.54,6.54,6.336,0
117,6.54,6.54,6.336,0
118,6.54,6.54,6.336,0
119,6.54,6.54,6.336,0
120,6.54,6.54,6.336,0
121,6.54,6.54,6.336,0
122,6.54,6.54,6.336,0
123,6.54,6.54,6.336,0
124,6.54,6.54,6.336,0
125,6.54,6.54,6.336,0
126,6.54,6.54,6.336,0
127,6.54,6.54,6.336,0
128,6.54,6.54,6.336,0
129,6.54,6.54,6.336,0
130,6.54,6.54,6.336,0
131,6.54,6.54,6.336,0
132,6.54,6.54,6.336,0
133,6.54,6.54,6.336,0
134,6.54,6.54,6.336,0
135,6.54,6.54,6.336,0
136,6.54,6.54,6.336,0
137,6.54,6.54,6.336,0
138,6.54,6.54,6.336,0
139,6.54,6.54,6.336,0
140,6.54,6.54,6.336,0
141,6.54,6.54,6.336,0
142,6.54,6.54,6.336,0
143,6.54,6.54,6.336,0
144,6.54,6.54,6.336,0
145,6.54,6.54,6.336,0
146,6.54,6.54,6.336,0
147,6.54,6.54,6.336,0
148,6.54,6.54,6.336,0
149,6.54,6.54,6.336,0
150,6.54,6.54,6.336,0
151,6.54,6.54,6.336,0
152,6.54,6.54,6.336,0
153,6.54,6.54,6.336,0
154,6.54,6.54,6.336,0
155,6.54,6.54,6.336,0
156,6.54,6.54,6.336,0
157,6.54,6.54,6.336,0
158,6.54,6.54,6.336,0
159,6.54,6.54,6.336,0
160,6.54,6.54,6.336,0
161,6.54,6.54,6.336,0
162,6.54,6.54,6.336,0
163,6.54,6.54,6.336,0
164,6.54,6.54,6.336,0
165,6.54,6.54,6.336,0
166,6.54,6.54,6.336,0
167,6.54,6.54,6.336,0
168,6.54,6.54,6.336,0
169,6.54,6.54,6.336,0
170,6.54,6.54,6.336,0
171,6.54,6.54,6.336,0
172,6.54,6.54,6.336,0
173,6.54,6.54,6.336,0
174,6.54,6.54,6.336,0
175,6.54,6.54,6.336,0
176,6.54,6.54,6.336,0
177,6.54,6.54,6.336,0
178,6.54,6.54,6.336,0
179,6.54,6.54,6.336,0
180,6.54,6.54,6.336,0
181,6.54,6.54,6.336,0
182,6.54,6.54,6.336,0
183,6.54,6.54,6.336,0
184,6.54,6.54,6.336,0
185,6.54,6.54,6.336,0
186,6.54,6.54,6.336,0
187,6.54,6.54,6.336,0
188,6.54,6.54,6.336,0
189,6.54,6.54,6.336,0
190,6.54,6.54,6.336,0
191,6.54,6.54,6.336,0
192,6.54,6.54,6.336,0
193,6.54,6.54,6.336,0
194,6.54,6.54,6.336,0
195,6.54,6.54,6.336,0
196,6.54,6.54,6.336,0
197,6.54,6.54,6.336,0
198,6.54,6.54,6.336,0
199,6.54,6.54,6.336,0
200,6.54,6.54,6.336,0
201,6.54,6.54,6.336,0
202,6.54,6.54,6.336,0
203,6.54,6.54,6.336,0
204,6.54,6.54,6.336,0
205,6.54,6.54,6.336,0
206,6.54,6.54,6.336,0
207,6.54,6.54,6.336,0
208,6.54,6.54,6.336,0
209,6.54,6.54,6.336,0
210,6.54,6.54,6.336,0
211,6.54,6.54,6.336,0
212,6.54,6.54,6.336,0
213,6.54,6.54,6.336,0
214,6.54,6.54,6.336,0
215,6.54,6.54,6.336,0
216,6.54,6.54,6.336,0
217,6.54,6.54,6.336,0
218,6.54,6.54,6.336,0
219,6.54,6.54,6.336,0
220,6.54,6.54,6.336,0
221,6.54,6.54,6.336,0
222,6.54,6.54,6.336,0
223,6.54,6.54,6.336,0
224,6.54,6.54,6.336,0
225,6.54,6.54,6.336,0
226,6.54,6.54,6.336,0
227,6.54,6.54,6.336,0
228,6.54,6.54,6.336,0
229,6.54,6.54,6.336,0
230,6.54,6.54,6.336,0
231,6.54,6.54,6.336,0
232,6.54,6.54,6.336,0
233,6.54,6.54,6.336,0
234,6.54,6.54,6.336,0
235,6.54,6.54,6.336,0
236,6.54,6.54,6.336,0
237,6.54,6.54,6.336,0
238,6.54,6.54,6.336,0
239,6.54,6.54,6.336,0
240,6.54,6.54,6.336,0
241,6.54,6.54,6.336,0
242,6.54,6.54,6.336,0
243,6.54,6.54,6.336,0
244,6.54,6.54,6.336,0
245,6.54,6.54,6.336,0
246,6.54,6.54,6.336,0
247,6.54,6.54,6.336,0
248,6.54,6.54,6.336,0
249,6.54,6.54,6.336,0
250,6.54,6.54,6.336,0
251,6.54,6.54,6.336,0
252,6.54,6.54,6.336,0
253,6.54,6.54,6.336,0
254,6.54,6.54,6.336,0
255,6.54,6.54,6.336,0
256,6.54,6.54,6.336,0
257,6.54,6.54,6.336,0
258,6.54,6.54,6.336,0
259,6.54,6.54,6.336,0
260,6.54,6.54,6.336,0
261,6.54,6.54,6.336,0
262,6.54,6.54,6.336,0
263,6.54,6.54,6.336,0
264,6.54,6.54,6.336,0
265,6.54,6.54,6.336,0
266,6.54,6.54,6.336,0
267,6.54,6.54,6.336,0
268,6.54,6.54,6.336,0
269,6.54,6.54,6.336,0
270,6.54,6.54,6.336,0
271,6.54,6.54,6.336,0
272,6.54,6.54,6.336,0
273,6.54,6.54,6.336,0
274,6.54,6.54,6.336,0
275,6.54,6.54,6.336,0
276,6.54,6.54,6.336,0
277,6.54,6.54,6.336,0
278,6.54,6.54,6.336,0
279,6.54,6.54,6.336,0
280,6.54,6.54,6.336,0
281,6.54,6.54,6.336,0
282,6.54,6.54,6.336,0
283,6.54,6.54,6.336,0
284,6.54,6.54,6.336,0
285,6.54,6.54,6.336,0
286,6.54,6.54,6.336,0
287,6.54,6.54,6.336,0
288,6.54,6.54,6.336,0
289,6.54,6.54,6.336,0
290,6.54,6.54,6.336,0
