Time_Index,CT_NG,ME_NG,MA_NG,None
198,2.725,2.725,2.64,0
199,2.725,2.725,2.64,0
200,2.725,2.725,2.64,0
201,2.725,2.725,2.64,0
202,2.725,2.725,2.64,0
203,2.725,2.725,2.64,0
204,2.725,2.725,2.64,0
205,2.725,2.725,2.64,0
206,2.725,2.725,2.64,0
207,2.725,2.725,2.64,0
208,2.725,2.725,2.64,0
209,2.725,2.725,2.64,0
210,2.725,2.725,2.64,0
211,2.725,2.725,2.64,0
212,2.725,2.725,2.64,0
213,2.725,2.725,2.64,0
214,2.725,2.725,2.64,0
215,2.725,2.725,2.64,0
216,2.725,2.725,2.64,0
217,2.725,2.725,2.64,0
218,2.725,2.725,2.64,0
219,2.725,2.725,2.64,0
220,2.725,2.725,2.64,0
221,2.725,2.725,2.64,0
222,2.725,2.725,2.64,0
223,2.725,2.725,2.64,0
224,2.725,2.725,2.64,0
225,2.725,2.725,2.64,0
226,2.725,2.725,2.64,0
227,2.725,2.725,2.64,0
228,2.725,2.725,2.64,0
229,2.725,2.725,2.64,0
230,2.725,2.725,2.64,0
231,2.725,2.725,2.64,0
232,2.725,2.725,2.64,0
233,2.725,2.725,2.64,0
234,2.725,2.725,2.64,0
235,2.725,2.725,2.64,0
236,2.725,2.725,2.64,0
237,2.725,2.725,2.64,0
238,2.725,2.725,2.64,0
239,2.725,2.725,2.64,0
240,2.725,2.725,2.64,0
241,2.725,2.725,2.64,0
242,2.725,2.725,2.64,0
243,2.725,2.725,2.64,0
244,2.725,2.725,2.64,0
245,2.725,2.725,2.64,0
246,2.725,2.725,2.64,0
247,2.725,2.725,2.64,0
248,2.725,2.725,2.64,0
249,2.725,2.725,2.64,0
250,2.725,2.725,2.64,0
251,2.725,2.725,2.64,0
252,2.725,2.725,2.64,0
253,2.725,2.725,2.64,0
254,2.725,2.725,2.64,0
255,2.725,2.725,2.64,0
256,2.725,2.725,2.64,0
257,2.725,2.725,2.64,0
258,2.725,2.725,2.64,0
259,2.725,2.725,2.64,0
260,2.725,2.725,2.64,0
261,2.725,2.725,2.64,0
262,2.725,2.725,2.64,0
263,2.725,2.725,2.64,0
264,2.725,2.725,2.64,0
265,2.725,2.725,2.64,0
