Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0
1,10.9,10.9,10.56,0
2,10.9,10.9,10.56,0
3,10.9,10.9,10.56,0
4,10.9,10.9,10.56,0
5,10.9,10.9,10.56,0
6,10.9,10.9,10.56,0
7,10.9,10.9,10.56,0
8,10.9,10.9,10.56,0
9,10.9,10.9,10.56,0
10,10.9,10.9,10.56,0
11,10.9,10.9,10.56,0
12,10.9,10.9,10.56,0
13,10.9,10.9,10.56,0
14,10.9,10.9,10.56,0
15,10.9,10.9,10.56,0
16,10.9,10.9,10.56,0
17,10.9,10.9,10.56,0
18,10.9,10.9,10.56,0
19,10.9,10.9,10.56,0
20,10.9,10.9,10.56,0
21,10.9,10.9,10.56,0
22,10.9,10.9,10.56,0
23,10.9,10.9,10.56,0
24,10.9,10.9,10.56,0
25,10.9,10.9,10.56,0
26,10.9,10.9,10.56,0
27,10.9,10.9,10.56,0
28,10.9,10.9,10.56,0
29,10.9,10.9,10.56,0
30,10.9,10.9,10.56,0
31,10.9,10.9,10.56,0
32,10.9,10.9,10.56,0
33,10.9,10.9,10.56,0
34,10.9,10.9,10.56,0
35,10.9,10.9,10.56,0
36,10.9,10.9,10.56,0
37,10.9,10.9,10.56,0
38,10.9,10.9,10.56,0
39,10.9,10.9,10.56,0
40,10.9,10.9,10.56,0
41,10.9,10.9,10.56,0
42,10.9,10.9,10.56,0
43,10.9,10.9,10.56,0
44,10.9,10.9,10.56,0
45,10.9,10.9,10.56,0
46,10.9,10.9,10.56,0
47,10.9,10.9,10.56,0
48,10.9,10.9,10.56,0
49,10.9,10.9,10.56,0
50,10.9,10.9,10.56,0
51,10.9,10.9,10.56,0
52,10.9,10.9,10.56,0
53,10.9,10.9,10.56,0
54,10.9,10.9,10.56,0
55,10.9,10.9,10.56,0
56,10.9,10.9,10.56,0
57,10.9,10.9,10.56,0
58,10.9,10.9,10.56,0
59,10.9,10.9,10.56,0
60,10.9,10.9,10.56,0
61,10.9,10.9,10.56,0
62,10.9,10.9,10.56,0
63,10.9,10.9,10.56,0
64,10.9,10.9,10.56,0
65,10.9,10.9,10.56,0
66,10.9,10.9,10.56,0
67,10.9,10.9,10.56,0
68,10.9,10.9,10.56,0
69,10.9,10.9,10.56,0
70,10.9,10.9,10.56,0
71,10.9,10.9,10.56,0
72,10.9,10.9,10.56,0
73,10.9,10.9,10.56,0
74,10.9,10.9,10.56,0
75,10.9,10.9,10.56,0
76,10.9,10.9,10.56,0
77,10.9,10.9,10.56,0
78,10.9,10.9,10.56,0
79,10.9,10.9,10.56,0
80,10.9,10.9,10.56,0
81,10.9,10.9,10.56,0
82,10.9,10.9,10.56,0
83,10.9,10.9,10.56,0
84,10.9,10.9,10.56,0
85,10.9,10.9,10.56,0
86,10.9,10.9,10.56,0
87,10.9,10.9,10.56,0
88,10.9,10.9,10.56,0
89,10.9,10.9,10.56,0
90,10.9,10.9,10.56,0
91,10.9,10.9,10.56,0
92,10.9,10.9,10.56,0
93,10.9,10.9,10.56,0
94,10.9,10.9,10.56,0
95,10.9,10.9,10.56,0
96,10.9,10.9,10.56,0
97,10.9,10.9,10.56,0
98,10.9,10.9,10.56,0
99,10.9,10.9,10.56,0
100,10.9,10.9,10.56,0
101,10.9,10.9,10.56,0
102,10.9,10.9,10.56,0
103,10.9,10.9,10.56,0
104,10.9,10.9,10.56,0
105,10.9,10.9,10.56,0
106,10.9,10.9,10.56,0
107,10.9,10.9,10.56,0
108,10.9,10.9,10.56,0
109,10.9,10.9,10.56,0
110,10.9,10.9,10.56,0
111,10.9,10.9,10.56,0
112,10.9,10.9,10.56,0
113,10.9,10.9,10.56,0
114,10.9,10.9,10.56,0
115,10.9,10.9,10.56,0
116,10.9,10.9,10.56,0
117,10.9,10.9,10.56,0
118,10.9,10.9,10.56,0
119,10.9,10.9,10.56,0
120,10.9,10.9,10.56,0
121,10.9,10.9,10.56,0
122,10.9,10.9,10.56,0
123,10.9,10.9,10.56,0
124,10.9,10.9,10.56,0
125,10.9,10.9,10.56,0
126,10.9,10.9,10.56,0
127,10.9,10.9,10.56,0
128,10.9,10.9,10.56,0
129,10.9,10.9,10.56,0
130,10.9,10.9,10.56,0
131,10.9,10.9,10.56,0
132,10.9,10.9,10.56,0
133,10.9,10.9,10.56,0
134,10.9,10.9,10.56,0
135,10.9,10.9,10.56,0
136,10.9,10.9,10.56,0
137,10.9,10.9,10.56,0
138,10.9,10.9,10.56,0
139,10.9,10.9,10.56,0
140,10.9,10.9,10.56,0
141,10.9,10.9,10.56,0
142,10.9,10.9,10.56,0
143,10.9,10.9,10.56,0
144,10.9,10.9,10.56,0
145,10.9,10.9,10.56,0
146,10.9,10.9,10.56,0
147,10.9,10.9,10.56,0
148,10.9,10.9,10.56,0
149,10.9,10.9,10.56,0
150,10.9,10.9,10.56,0
151,10.9,10.9,10.56,0
152,10.9,10.9,10.56,0
153,10.9,10.9,10.56,0
154,10.9,10.9,10.56,0
155,10.9,10.9,10.56,0
156,10.9,10.9,10.56,0
157,10.9,10.9,10.56,0
158,10.9,10.9,10.56,0
159,10.9,10.9,10.56,0
160,10.9,10.9,10.56,0
161,10.9,10.9,10.56,0
162,10.9,10.9,10.56,0
163,10.9,10.9,10.56,0
164,10.9,10.9,10.56,0
165,10.9,10.9,10.56,0
166,10.9,10.9,10.56,0
167,10.9,10.9,10.56,0
168,10.9,10.9,10.56,0
169,10.9,10.9,10.56,0
170,10.9,10.9,10.56,0
171,10.9,10.9,10.56,0
172,10.9,10.9,10.56,0
173,10.9,10.9,10.56,0
174,10.9,10.9,10.56,0
175,10.9,10.9,10.56,0
176,10.9,10.9,10.56,0
