Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,485,7798.13
,,,,,,,486,8050.72
,,,,,,,487,8548.53
,,,,,,,488,9141.48
,,,,,,,489,9803.44
,,,,,,,490,10378.97
,,,,,,,491,10734.07
,,,,,,,492,10885.49
,,,,,,,493,10884.82
,,,,,,,494,10746.13
,,,,,,,495,10571.26
,,,,,,,496,10496.22
,,,,,,,497,10897.55
,,,,,,,498,11585.64
,,,,,,,499,11466.38
,,,,,,,500,11069.07
,,,,,,,501,10659.7
,,,,,,,502,10130.4
,,,,,,,503,9480.5
,,,,,,,504,8844
,,,,,,,505,8346.86
,,,,,,,506,8073.5
,,,,,,,507,7940.84
,,,,,,,508,7883.89
,,,,,,,509,7936.15
,,,,,,,510,8151.89
,,,,,,,511,8535.8
,,,,,,,512,8954.55
,,,,,,,513,9509.31
,,,,,,,514,9851.68
,,,,,,,515,9987.02
,,,,,,,516,9984.34
,,,,,,,517,9924.71
,,,,,,,518,9849.67
,,,,,,,519,9820.19
,,,,,,,520,9837.61
,,,,,,,521,10296.56
,,,,,,,522,10981.3
,,,,,,,523,10985.32
,,,,,,,524,10784.99
,,,,,,,525,10389.69
,,,,,,,526,9738.45
,,,,,,,527,9010.16
,,,,,,,528,8271.82
,,,,,,,529,7741.85
,,,,,,,530,7470.5
,,,,,,,531,7361.96
,,,,,,,532,7367.99
,,,,,,,533,7595.79
,,,,,,,534,8291.25
,,,,,,,535,9558.89
,,,,,,,536,10270.43
,,,,,,,537,10425.2
,,,,,,,538,10510.96
,,,,,,,539,10593.37
,,,,,,,540,10577.29
,,,,,,,541,10475.45
,,,,,,,542,10404.43
,,,,,,,543,10291.87
,,,,,,,544,10296.56
,,,,,,,545,10765.56
,,,,,,,546,11450.3
,,,,,,,547,11355.16
,,,,,,,548,10995.37
,,,,,,,549,10476.12
,,,,,,,550,9714.33
,,,,,,,551,8758.24
,,,,,,,552,7893.27
,,,,,,,553,7341.86
,,,,,,,554,6993.46
,,,,,,,555,6822.61
,,,,,,,556,6779.06
,,,,,,,557,6972.69
,,,,,,,558,7615.89
,,,,,,,559,8894.92
,,,,,,,560,9601.1
,,,,,,,561,9672.79
,,,,,,,562,9632.59
,,,,,,,563,9643.98
,,,,,,,564,9603.78
,,,,,,,565,9493.23
,,,,,,,566,9421.54
,,,,,,,567,9319.7
,,,,,,,568,9327.74
,,,,,,,569,9794.73
,,,,,,,570,10653.67
,,,,,,,571,10662.38
,,,,,,,572,10408.45
,,,,,,,573,9996.4
,,,,,,,574,9313
,,,,,,,575,8460.09
,,,,,,,576,7661.45
,,,,,,,577,7148.23
,,,,,,,578,6889.61
,,,,,,,579,6774.37
,,,,,,,580,6780.4
,,,,,,,581,6998.15
,,,,,,,582,7703.66
,,,,,,,583,9040.98
,,,,,,,584,9787.36
,,,,,,,585,9848.33
,,,,,,,586,9904.61
,,,,,,,587,9948.83
,,,,,,,588,9923.37
,,,,,,,589,9824.21
,,,,,,,590,9770.61
,,,,,,,591,9658.72
,,,,,,,592,9643.31
,,,,,,,593,10077.47
,,,,,,,594,11026.19
,,,,,,,595,11089.84
,,,,,,,596,10837.25
,,,,,,,597,10439.94
,,,,,,,598,9727.73
,,,,,,,599,8805.14
,,,,,,,600,7987.74
,,,,,,,601,7455.09
,,,,,,,602,7182.4
,,,,,,,603,7053.76
,,,,,,,604,7048.4
,,,,,,,605,7270.84
,,,,,,,606,7948.21
,,,,,,,607,9276.15
,,,,,,,608,9986.35
,,,,,,,609,10033.92
,,,,,,,610,10003.77
,,,,,,,611,9978.31
,,,,,,,612,9912.65
,,,,,,,613,9833.59
,,,,,,,614,9825.55
,,,,,,,615,9798.08
,,,,,,,616,9873.79
,,,,,,,617,10354.18
,,,,,,,618,11108.6
,,,,,,,619,11079.12
,,,,,,,620,10823.85
,,,,,,,621,10395.05
,,,,,,,622,9708.3
,,,,,,,623,8806.48
,,,,,,,624,7999.13
,,,,,,,625,7451.74
,,,,,,,626,7138.85
,,,,,,,627,6995.47
,,,,,,,628,6944.55
,,,,,,,629,7128.13
,,,,,,,630,7756.59
,,,,,,,631,8943.83
,,,,,,,632,9748.5
,,,,,,,633,9997.74
,,,,,,,634,10160.55
,,,,,,,635,10269.76
,,,,,,,636,10304.6
,,,,,,,637,10234.25
,,,,,,,638,10153.18
,,,,,,,639,10018.51
,,,,,,,640,9972.95
,,,,,,,641,10277.8
,,,,,,,642,10722.01
,,,,,,,643,10563.89
,,,,,,,644,10208.12
,,,,,,,645,9824.21
,,,,,,,646,9305.63
,,,,,,,647,8612.85
,,,,,,,648,7912.03
,,,,,,,649,7347.89
,,,,,,,650,7008.2
,,,,,,,651,6834
,,,,,,,652,6769.68
,,,,,,,653,6831.32
,,,,,,,654,7117.41
,,,,,,,655,7611.2
,,,,,,,656,8138.49
,,,,,,,657,8697.27
,,,,,,,658,9055.05
,,,,,,,659,9213.17
,,,,,,,660,9124.73
,,,,,,,661,8952.54
,,,,,,,662,8718.71
,,,,,,,663,8576
,,,,,,,664,8578.68
,,,,,,,665,8988.72
,,,,,,,666,9851.68
,,,,,,,667,9923.37
,,,,,,,668,9633.26
,,,,,,,669,9339.13
,,,,,,,670,8889.56
,,,,,,,671,8316.71
,,,,,,,672,7705.67
,,,,,,,673,7208.53
,,,,,,,674,6911.05
,,,,,,,675,6752.26
,,,,,,,676,6700.67
,,,,,,,677,6764.99
,,,,,,,678,6966.66
,,,,,,,679,7335.16
,,,,,,,680,7707.01
,,,,,,,681,8262.44
,,,,,,,682,8639.65
,,,,,,,683,8846.01
,,,,,,,684,8918.37
,,,,,,,685,8890.23
,,,,,,,686,8799.78
,,,,,,,687,8705.31
,,,,,,,688,8742.83
,,,,,,,689,9246.67
,,,,,,,690,10271.77
,,,,,,,691,10431.9
,,,,,,,692,10185.34
,,,,,,,693,9801.43
,,,,,,,694,9182.35
,,,,,,,695,8429.94
,,,,,,,696,7731.13
,,,,,,,697,7258.78
,,,,,,,698,7024.95
,,,,,,,699,6933.83
,,,,,,,700,6961.3
,,,,,,,701,7212.55
,,,,,,,702,7924.09
,,,,,,,703,9266.1
,,,,,,,704,9984.34
,,,,,,,705,10079.48
,,,,,,,706,10164.57
,,,,,,,707,10157.2
,,,,,,,708,10112.31
,,,,,,,709,10033.92
,,,,,,,710,9958.88
,,,,,,,711,9853.69
,,,,,,,712,9888.53
,,,,,,,713,10304.6
,,,,,,,714,11284.81
,,,,,,,715,11408.09
,,,,,,,716,11138.75
,,,,,,,717,10721.34
,,,,,,,718,9989.03
,,,,,,,719,9059.07
,,,,,,,720,8223.58
,,,,,,,721,7701.65
,,,,,,,722,7416.23
,,,,,,,723,7278.21
,,,,,,,724,7265.48
,,,,,,,725,7475.19
,,,,,,,726,8151.89
,,,,,,,727,9440.97
,,,,,,,728,10155.19
,,,,,,,729,10224.2
,,,,,,,730,10213.48
,,,,,,,731,10164.57
,,,,,,,732,10047.99
,,,,,,,733,9875.8
,,,,,,,734,9736.44
,,,,,,,735,9572.96
,,,,,,,736,9517.35
,,,,,,,737,9844.31
,,,,,,,738,10759.53
,,,,,,,739,10882.14
,,,,,,,740,10620.84
,,,,,,,741,10188.02
,,,,,,,742,9499.26
,,,,,,,743,8588.73
,,,,,,,744,7778.03
,,,,,,,745,7256.1
,,,,,,,746,6968.67
,,,,,,,747,6830.65
,,,,,,,748,6831.32
,,,,,,,749,7023.61
,,,,,,,750,7712.37
,,,,,,,751,9000.11
,,,,,,,752,9743.81
,,,,,,,753,9817.51
,,,,,,,754,9824.21
,,,,,,,755,9816.84
,,,,,,,756,9796.74
,,,,,,,757,9695.57
,,,,,,,758,9602.44
,,,,,,,759,9409.48
,,,,,,,760,9328.41
,,,,,,,761,9597.75
,,,,,,,762,10450.66
,,,,,,,763,10567.24
,,,,,,,764,10307.95
,,,,,,,765,9892.55
,,,,,,,766,9219.87
,,,,,,,767,8324.08
,,,,,,,768,7530.13
,,,,,,,769,7016.24
,,,,,,,770,6751.59
,,,,,,,771,6630.99
,,,,,,,772,6641.04
,,,,,,,773,6862.14
,,,,,,,774,7576.36
,,,,,,,775,8912.34
,,,,,,,776,9620.53
,,,,,,,777,9751.18
,,,,,,,778,9840.29
,,,,,,,779,9936.1
,,,,,,,780,9957.54
,,,,,,,781,9917.34
,,,,,,,782,9900.59
,,,,,,,783,9868.43
,,,,,,,784,9958.21
,,,,,,,785,10389.69
,,,,,,,786,11032.22
,,,,,,,787,11063.04
,,,,,,,788,10809.78
,,,,,,,789,10417.16
,,,,,,,790,9741.8
,,,,,,,791,8863.43
,,,,,,,792,8076.18
,,,,,,,793,7559.61
,,,,,,,794,7284.24
,,,,,,,795,7185.75
,,,,,,,796,7199.82
,,,,,,,797,7422.26
,,,,,,,798,8141.84
,,,,,,,799,9469.78
,,,,,,,800,10123.7
,,,,,,,801,10203.43
,,,,,,,802,10179.31
,,,,,,,803,10156.53
,,,,,,,804,10057.37
,,,,,,,805,9874.46
,,,,,,,806,9750.51
,,,,,,,807,9599.09
,,,,,,,808,9549.51
,,,,,,,809,9833.59
,,,,,,,810,10620.17
,,,,,,,811,10727.37
,,,,,,,812,10462.05
,,,,,,,813,10110.3
,,,,,,,814,9585.02
,,,,,,,815,8868.79
,,,,,,,816,8096.95
,,,,,,,817,7526.78
,,,,,,,818,7211.88
,,,,,,,819,7037.01
,,,,,,,820,6969.34
,,,,,,,821,7021.6
,,,,,,,822,7276.2
,,,,,,,823,7776.69
,,,,,,,824,8290.58
,,,,,,,825,8833.28
,,,,,,,826,9164.26
,,,,,,,827,9277.49
,,,,,,,828,9206.47
,,,,,,,829,9053.71
,,,,,,,830,8862.76
,,,,,,,831,8744.17
,,,,,,,832,8754.22
,,,,,,,833,9099.27
,,,,,,,834,9977.64
,,,,,,,835,10168.59
,,,,,,,836,9934.09
,,,,,,,837,9654.03
,,,,,,,838,9226.57
,,,,,,,839,8657.07
,,,,,,,840,8058.76
,,,,,,,841,7579.71
,,,,,,,842,7307.69
,,,,,,,843,7181.73
,,,,,,,844,7146.22
,,,,,,,845,7200.49
,,,,,,,846,7410.87
,,,,,,,847,7759.94
,,,,,,,848,8187.4
,,,,,,,849,8754.22
,,,,,,,850,9117.36
,,,,,,,851,9268.11
,,,,,,,852,9319.03
,,,,,,,853,9280.84
,,,,,,,854,9149.52
,,,,,,,855,9056.39
,,,,,,,856,9106.64
,,,,,,,857,9503.28
,,,,,,,858,10355.52
,,,,,,,859,10219.51
,,,,,,,860,9721.7
,,,,,,,861,9469.78
,,,,,,,862,9061.08
,,,,,,,863,8749.53
,,,,,,,864,8031.96
,,,,,,,865,7493.28
,,,,,,,866,7239.35
,,,,,,,867,7147.56
,,,,,,,868,7172.35
,,,,,,,869,7400.82
,,,,,,,870,8094.94
,,,,,,,871,9361.91
,,,,,,,872,9992.38
,,,,,,,873,10081.49
,,,,,,,874,10027.89
,,,,,,,875,10001.09
,,,,,,,876,9911.98
,,,,,,,877,9736.44
,,,,,,,878,9600.43
,,,,,,,879,9429.58
,,,,,,,880,9359.23
,,,,,,,881,9650.68
,,,,,,,882,10569.25
,,,,,,,883,10833.9
,,,,,,,884,10565.23
,,,,,,,885,10100.25
,,,,,,,886,9376.65
,,,,,,,887,8504.98
,,,,,,,888,7712.37
,,,,,,,889,7211.88
,,,,,,,890,6949.91
,,,,,,,891,6846.73
,,,,,,,892,6860.13
,,,,,,,893,7088.6
,,,,,,,894,7808.85
,,,,,,,895,9091.9
,,,,,,,896,9734.43
,,,,,,,897,9802.77
,,,,,,,898,9808.8
,,,,,,,899,9818.85
,,,,,,,900,9786.69
,,,,,,,901,9687.53
,,,,,,,902,9613.83
,,,,,,,903,9493.23
,,,,,,,904,9500.6
,,,,,,,905,9828.9
,,,,,,,906,10695.21
,,,,,,,907,10911.62
,,,,,,,908,10691.86
,,,,,,,909,10301.92
,,,,,,,910,9633.26
,,,,,,,911,8755.56
,,,,,,,912,7999.8
,,,,,,,913,7522.76
,,,,,,,914,7295.63
,,,,,,,915,7220.59
,,,,,,,916,7266.82
,,,,,,,917,7511.37
,,,,,,,918,8268.47
,,,,,,,919,9603.11
,,,,,,,920,10251
,,,,,,,921,10330.73
,,,,,,,922,10278.47
,,,,,,,923,10214.82
,,,,,,,924,10099.58
,,,,,,,925,9942.13
,,,,,,,926,9858.38
,,,,,,,927,9771.95
,,,,,,,928,9865.08
,,,,,,,929,10273.11
,,,,,,,930,11067.73
,,,,,,,931,11193.69
,,,,,,,932,10913.63
,,,,,,,933,10483.49
,,,,,,,934,9772.62
,,,,,,,935,8825.91
,,,,,,,936,8025.26
,,,,,,,937,7499.98
,,,,,,,938,7235.33
,,,,,,,939,7112.05
,,,,,,,940,7120.09
,,,,,,,941,7359.28
,,,,,,,942,8104.99
,,,,,,,943,9424.89
,,,,,,,944,10033.25
,,,,,,,945,10034.59
,,,,,,,946,9953.52
,,,,,,,947,9897.24
,,,,,,,948,9787.36
,,,,,,,949,9628.57
,,,,,,,950,9526.73
,,,,,,,951,9375.98
,,,,,,,952,9350.52
,,,,,,,953,9627.23
,,,,,,,954,10494.21
,,,,,,,955,10820.5
,,,,,,,956,10622.85
,,,,,,,957,10267.75
,,,,,,,958,9633.93
,,,,,,,959,8752.21
,,,,,,,960,7986.4
,,,,,,,961,7509.36
,,,,,,,962,7260.79
,,,,,,,963,7154.93
,,,,,,,964,7175.7
,,,,,,,965,7406.85
,,,,,,,966,8103.65
,,,,,,,967,9369.28
,,,,,,,968,10007.12
,,,,,,,969,10007.79
,,,,,,,970,9898.58
,,,,,,,971,9822.2
,,,,,,,972,9695.57
,,,,,,,973,9498.59
,,,,,,,974,9386.7
,,,,,,,975,9258.73
,,,,,,,976,9216.52
,,,,,,,977,9488.54
,,,,,,,978,10245.64
,,,,,,,979,10370.93
,,,,,,,980,10075.46
,,,,,,,981,9696.91
,,,,,,,982,9170.96
,,,,,,,983,8473.49
,,,,,,,984,7776.02
,,,,,,,985,7252.75
,,,,,,,986,6959.96
,,,,,,,987,6785.09
