Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,132,41973.0,1861.0
,,,,,,,,133,41747.0,1849.0
,,,,,,,,134,41346.0,1830.0
,,,,,,,,135,40336.0,1781.0
,,,,,,,,136,39696.0,1752.0
,,,,,,,,137,39424.0,1742.0
,,,,,,,,138,39880.0,1767.0
,,,,,,,,139,40759.0,1810.0
,,,,,,,,140,43070.0,1914.0
,,,,,,,,141,43866.0,1949.0
,,,,,,,,142,43725.0,1942.0
,,,,,,,,143,43841.0,1948.0
,,,,,,,,144,41981.0,1866.0
,,,,,,,,145,50972.0,2265.0
,,,,,,,,146,48171.0,2141.0
,,,,,,,,147,46144.0,2050.0
,,,,,,,,148,44951.0,1998.0
,,,,,,,,149,44588.0,1981.0
,,,,,,,,150,45556.0,2024.0
,,,,,,,,151,47186.0,2096.0
,,,,,,,,152,47660.0,2113.0
,,,,,,,,153,50015.0,2214.0
,,,,,,,,154,53607.0,2372.0
,,,,,,,,155,57869.0,2561.0
,,,,,,,,156,61623.0,2728.0
,,,,,,,,157,65103.0,2883.0
,,,,,,,,158,68300.0,3025.0
,,,,,,,,159,70275.0,3110.0
,,,,,,,,160,71704.0,3174.0
,,,,,,,,161,72203.0,3197.0
,,,,,,,,162,71716.0,3177.0
,,,,,,,,163,69899.0,3101.0
,,,,,,,,164,67131.0,2983.0
,,,,,,,,165,64805.0,2880.0
,,,,,,,,166,62808.0,2791.0
,,,,,,,,167,58985.0,2621.0
,,,,,,,,168,55004.0,2444.0
,,,,,,,,169,51114.0,2272.0
,,,,,,,,170,47747.0,2122.0
,,,,,,,,171,45350.0,2015.0
,,,,,,,,172,43705.0,1942.0
,,,,,,,,173,42640.0,1894.0
,,,,,,,,174,42410.0,1884.0
,,,,,,,,175,42511.0,1889.0
,,,,,,,,176,42356.0,1877.0
,,,,,,,,177,45519.0,2014.0
,,,,,,,,178,50267.0,2224.0
,,,,,,,,179,55495.0,2456.0
,,,,,,,,180,60151.0,2663.0
,,,,,,,,181,63917.0,2830.0
,,,,,,,,182,66987.0,2966.0
,,,,,,,,183,68935.0,3050.0
,,,,,,,,184,70408.0,3115.0
,,,,,,,,185,71297.0,3156.0
,,,,,,,,186,71312.0,3159.0
,,,,,,,,187,70379.0,3121.0
,,,,,,,,188,68518.0,3044.0
,,,,,,,,189,66081.0,2937.0
,,,,,,,,190,63824.0,2836.0
,,,,,,,,191,59671.0,2652.0
,,,,,,,,192,55405.0,2462.0
,,,,,,,,193,42346.0,1881.0
,,,,,,,,194,39830.0,1770.0
,,,,,,,,195,38304.0,1702.0
,,,,,,,,196,37649.0,1672.0
,,,,,,,,197,37782.0,1678.0
,,,,,,,,198,39249.0,1744.0
,,,,,,,,199,41440.0,1841.0
,,,,,,,,200,42785.0,1899.0
,,,,,,,,201,44579.0,1976.0
,,,,,,,,202,46891.0,2075.0
,,,,,,,,203,49977.0,2212.0
,,,,,,,,204,52844.0,2339.0
,,,,,,,,205,55696.0,2465.0
,,,,,,,,206,58869.0,2607.0
,,,,,,,,207,61549.0,2723.0
,,,,,,,,208,64122.0,2838.0
,,,,,,,,209,65573.0,2902.0
,,,,,,,,210,65647.0,2906.0
,,,,,,,,211,64574.0,2865.0
,,,,,,,,212,62387.0,2771.0
,,,,,,,,213,60344.0,2682.0
,,,,,,,,214,58977.0,2620.0
,,,,,,,,215,55100.0,2448.0
,,,,,,,,216,50282.0,2234.0
,,,,,,,,217,46311.0,2058.0
,,,,,,,,218,43673.0,1940.0
